label,pkl_path,fold,history_present,metric,n_iter,start_metric,end_metric,delta,metric_finite,metric_nonincreasing,metric_final_lower,pi_range_ok,mu_positive_ok,phi_positive_ok,posterior_range_ok,sanity_pass,pi_mean_last,mu_mean_last,phi_mean_last,posterior_mean_last
ZIT-only,4_output\01_zit\zit_only\seed_sweep_hp003_iso_v2\run_0529_144121\best\fold_models.pkl,1,True,rmse,18,0.00523748235929,0.00542789407206,0.000190411712765,True,False,False,True,True,True,True,True,0.375390277913,0.00393592000201,0.0312717874655,0.375360305591
ZIT-only,4_output\01_zit\zit_only\seed_sweep_hp003_iso_v2\run_0529_144121\best\fold_models.pkl,2,True,rmse,18,0.00526646404815,0.00545175706833,0.000185293020182,True,False,False,True,True,True,True,True,0.374571835177,0.00396605869101,0.0310505092517,0.374540969063
ZIT-only,4_output\01_zit\zit_only\seed_sweep_hp003_iso_v2\run_0529_144121\best\fold_models.pkl,3,True,rmse,18,0.00517461793447,0.0053560732915,0.000181455357028,True,False,False,True,True,True,True,True,0.393821837773,0.00411947684415,0.0294753433065,0.393794046285
ZIT-only,4_output\01_zit\zit_only\seed_sweep_hp003_iso_v2\run_0529_144121\best\fold_models.pkl,4,True,rmse,18,0.00521774198178,0.00540282236994,0.000185080388159,True,False,False,True,True,True,True,True,0.373612676765,0.0039129870278,0.0309409769018,0.373582854653
ZIT-only,4_output\01_zit\zit_only\seed_sweep_hp003_iso_v2\run_0529_144121\best\fold_models.pkl,5,True,rmse,18,0.00517294795943,0.00536037792728,0.000187429967846,True,False,False,True,True,True,True,True,0.394282031551,0.00408552972379,0.0297450956489,0.394254631857
ZIT-only EQL,4_output\01_zit\zit_only\seed_sweep_hp003_eql_iso_v2\run_0607_145704\best\fold_models.pkl,1,True,rmse,18,0.00522531686192,0.0053983250948,0.000173008232883,True,False,False,True,True,True,True,True,0.471341987544,0.00468181300854,0.0243761472872,0.471331477574
ZIT-only EQL,4_output\01_zit\zit_only\seed_sweep_hp003_eql_iso_v2\run_0607_145704\best\fold_models.pkl,2,True,rmse,18,0.00520233189883,0.00537374111707,0.000171409218243,True,False,False,True,True,True,True,True,0.469133810001,0.00467167254245,0.0242925261167,0.469123709344
ZIT-only EQL,4_output\01_zit\zit_only\seed_sweep_hp003_eql_iso_v2\run_0607_145704\best\fold_models.pkl,3,True,rmse,18,0.00521981276849,0.00539257952941,0.000172766760925,True,False,False,True,True,True,True,True,0.468478267838,0.00471244101116,0.0243765160714,0.468466728159
ZIT-only EQL,4_output\01_zit\zit_only\seed_sweep_hp003_eql_iso_v2\run_0607_145704\best\fold_models.pkl,4,True,rmse,18,0.0051864324092,0.00535672053525,0.000170288126049,True,False,False,True,True,True,True,True,0.472910431104,0.00468664748475,0.0243390404303,0.472898896546
ZIT-only EQL,4_output\01_zit\zit_only\seed_sweep_hp003_eql_iso_v2\run_0607_145704\best\fold_models.pkl,5,True,rmse,18,0.00510074461189,0.00527050567919,0.000169761067299,True,False,False,True,True,True,True,True,0.477062393133,0.00470413505179,0.0240795136275,0.477052256281
BagZIT seed best,4_output\01_zit\bag_zit\seed\run_0605_193735\best\fold_models.pkl,1,True,unit_rmse,17,0.00538118355644,0.00549879551531,0.000117611958868,True,False,False,True,True,,,True,0.372611071435,0.000992074477657,,
BagZIT seed best,4_output\01_zit\bag_zit\seed\run_0605_193735\best\fold_models.pkl,2,True,unit_rmse,17,0.00532988203014,0.00545578030239,0.000125898272249,True,False,False,True,True,,,True,0.378562881089,0.00100224827271,,
BagZIT seed best,4_output\01_zit\bag_zit\seed\run_0605_193735\best\fold_models.pkl,3,True,unit_rmse,17,0.0053002586761,0.00542384435243,0.000123585676325,True,False,False,True,True,,,True,0.380854761547,0.000994635352657,,
BagZIT seed best,4_output\01_zit\bag_zit\seed\run_0605_193735\best\fold_models.pkl,4,True,unit_rmse,17,0.00518149590466,0.00530602573279,0.000124529828135,True,False,False,True,True,,,True,0.383073702995,0.000985403467678,,
BagZIT seed best,4_output\01_zit\bag_zit\seed\run_0605_193735\best\fold_models.pkl,5,True,unit_rmse,17,0.00527727152538,0.00540440090706,0.000127129381675,True,False,False,True,True,,,True,0.38466380384,0.00100558001611,,
BagZIT-EQL final param4,4_output\01_zit\bag_zit\seed_sweep_p4_005t26_tau088\run_0605_194155\best\fold_models.pkl,1,True,unit_rmse,25,0.0053209153438,0.0054266393564,0.000105724012598,True,False,False,True,True,,,True,0.375708369972,0.000981750947302,,
BagZIT-EQL final param4,4_output\01_zit\bag_zit\seed_sweep_p4_005t26_tau088\run_0605_194155\best\fold_models.pkl,2,True,unit_rmse,25,0.00543331053738,0.00553932090488,0.000106010367498,True,False,False,True,True,,,True,0.368705778705,0.000987859446983,,
BagZIT-EQL final param4,4_output\01_zit\bag_zit\seed_sweep_p4_005t26_tau088\run_0605_194155\best\fold_models.pkl,3,True,unit_rmse,25,0.00527469967069,0.00538433036963,0.000109630698939,True,False,False,True,True,,,True,0.371813567422,0.000990050252858,,
BagZIT-EQL final param4,4_output\01_zit\bag_zit\seed_sweep_p4_005t26_tau088\run_0605_194155\best\fold_models.pkl,4,True,unit_rmse,25,0.00525373523399,0.00535707176739,0.000103336533398,True,False,False,True,True,,,True,0.372849321312,0.00097210587291,,
BagZIT-EQL final param4,4_output\01_zit\bag_zit\seed_sweep_p4_005t26_tau088\run_0605_194155\best\fold_models.pkl,5,True,unit_rmse,25,0.00536363897745,0.00546468885858,0.000101049881128,True,False,False,True,True,,,True,0.365972740159,0.000976070917294,,
