feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero
X5,0.0,0.0017807627149307413,0.00031735036254554544,False,False,False
X6,0.0,0.0008182154637273045,0.0,False,False,True
X7,0.0,0.0007064042634283518,0.0,False,False,True
X11,0.0,0.0007750812684787474,0.0,False,False,True
X13,0.0,0.0013513227552778232,3.276282785751281e-05,False,False,False
X14,0.0,0.0012649242503739455,2.7374829759107024e-05,False,False,False
X16,0.0,0.0005974689598222873,0.0,False,False,True
X18,0.0,0.0017777009534821475,0.0,False,False,True
X19,0.0,0.002329110041210502,0.0006714171134510822,False,False,False
X20,0.0,0.0007808673716372157,0.0,False,False,True
X27,0.0,0.0009029945915613845,5.7609036375324136e-05,False,False,False
X28,0.0,0.0009614998293558574,0.0,False,False,True
X29,0.0,0.002573857048670957,6.165532937519343e-05,False,False,False
X30,0.0,0.0017322015191078926,0.0,False,False,True
X34,0.0,0.0010620801352521378,9.70250824914752e-06,False,False,False
X35,0.0,0.0024603445760894333,0.0,False,False,True
X36,0.0,0.0009906199107810043,0.0,False,False,True
X38,0.0,0.0008323813923589077,0.0,False,False,True
X40,0.0,0.0018200906815849572,2.9181840499586167e-05,False,False,False
X41,0.0,0.0008403912986898773,4.568074713632263e-05,False,False,False
X42,0.0,0.0009401522194654045,0.0,False,False,True
X45,0.0,0.0007759501968436937,0.0,False,False,True
X46,0.0,0.0006208528407769143,0.0,False,False,True
X47,0.0,0.0015539877991240705,3.7561077072021645e-05,False,False,False
X48,0.0,0.0023274518924233075,0.0001995796047053558,False,False,False
X53,0.0,0.0015556836766230627,4.8667704848926234e-05,False,False,False
X54,0.0,0.0008142948576748542,4.964922300743216e-06,False,False,False
X55,0.0,0.0005935148166825493,0.0,False,False,True
X56,0.0,0.0008225445076308821,5.101371639190727e-05,False,False,False
X57,0.0,0.0007916385831340104,0.0,False,False,True
X58,0.0,0.0007471533608958665,0.0,False,False,True
X59,0.0,0.0017376544633717515,7.86211225811557e-05,False,False,False
X60,0.0,0.0010361085602096534,3.6750064117289972e-06,False,False,False
X61,0.0,0.0008485966645834337,0.0,False,False,True
X62,0.0,0.0005514805972590074,4.07370494644519e-05,False,False,False
X63,0.0,0.0009322456749881721,0.0,False,False,True
X64,0.0,0.0019141022538149552,0.0,False,False,True
X65,0.0,0.0009376302159754994,5.580210094124774e-05,False,False,False
X66,0.0,0.0009078314118831591,3.357464666198873e-05,False,False,False
X67,0.0,0.0006237218539665903,0.0,False,False,True
X69,0.0,0.001897400760453285,4.5788632698959436e-05,False,False,False
X70,0.0,0.0007260519488336111,0.0,False,False,True
X73,0.0,0.0011934030751638697,0.0,False,False,True
X74,0.0,0.0016448256117123443,0.0,False,False,True
X75,0.0,0.000749961504986824,0.0,False,False,True
X76,0.0,0.0014114113563366997,0.0,False,False,True
X77,0.0,0.0006120885491865062,0.0,False,False,True
X78,0.0,0.0007084809559477626,0.0,False,False,True
X79,0.0,0.0010143325442883487,6.727036392920414e-05,False,False,False
X80,0.0,0.0008173242699867058,0.0,False,False,True
X81,0.0,0.0008679530368873744,0.0,False,False,True
X82,0.0,0.001149195243217347,0.00011739887641869532,False,False,False
X83,0.0,0.0006337541276024224,0.0,False,False,True
X85,0.0,0.0013340002971157221,3.562620079579914e-05,False,False,False
X95,0.0,0.004583659278645974,0.0006580422276577921,False,False,False
X104,0.0,0.0006765491074226388,0.0,False,False,True
X105,0.0,0.0023255930103778743,0.0001655125049575057,False,False,False
X110,0.0,0.004133047005977343,0.00019572520282644677,False,False,False
X111,0.0,0.0025095986196894847,0.0,False,False,True
X112,0.0,0.003253751887609389,3.048304870177637e-05,False,False,False
X113,0.0,0.0014638625369458916,8.310850846502604e-05,False,False,False
X116,0.0,0.0020353570999010716,0.0001333316320569987,False,False,False
X117,0.0,0.0008628640195168279,2.7242169660306357e-05,False,False,False
X120,0.0,0.0008789535002023602,1.6138190234199816e-05,False,False,False
X121,0.0,0.0011795349986272793,9.960702832304035e-05,False,False,False
X122,0.0,0.001531385446575549,3.124575071099265e-05,False,False,False
X123,0.0,0.0013382827860500452,0.00015008850648670082,False,False,False
X125,0.0,0.0008981821137636995,0.0,False,False,True
X126,0.0,0.000887215936912463,0.0,False,False,True
X127,0.0,0.0018040320026080727,0.0,False,False,True
X128,0.0,0.0014104477910715217,3.2933645544620185e-05,False,False,False
X130,0.0,0.0026423473856468337,0.0004850738194696184,False,False,False
X132,0.0,0.0016442199968778315,0.0,False,False,True
X145,0.0,0.0014151948781628938,0.00021318122308846974,False,False,False
X146,0.0,0.0006413441742123954,0.0,False,False,True
X150,0.0,0.0012872828507201263,0.0,False,False,True
X154,0.0,0.002122766743743007,0.0,False,False,True
X155,0.0,0.0015729800179636719,0.0,False,False,True
X160,0.0,0.0008013190399993974,0.0,False,False,True
X161,0.0,0.0012278331343556085,0.0,False,False,True
X165,0.0,0.001438724532373607,4.159105193221941e-06,False,False,False
X166,0.0,0.0018982895534649753,3.7840918404926785e-05,False,False,False
X170,0.0,0.0038816164861773545,0.00047359589797115896,False,False,False
X173,0.0,0.002594002937391678,0.00024473350974442523,False,False,False
X177,0.0,0.0015651175096732723,1.2675796193988635e-05,False,False,False
X180,0.0,0.0007986972178709269,0.0,False,False,True
X183,0.0,0.001158135796018984,0.0,False,False,True
X184,0.0,0.0010455870487921235,0.0,False,False,True
X185,0.0,0.0009078441096027502,9.529562555762372e-05,False,False,False
X190,0.0,0.0038421031179787825,0.00032932490657934115,False,False,False
X191,0.0,0.001601423111996591,0.0,False,False,True
X193,0.0,0.00195878282345399,0.0,False,False,True
