ufs_serial,position,split,health,clf_proba
S00084,1,train,0.0,0.20833333333333334
S00248,1,train,0.0048394556829523,0.36271186440677966
S00273,1,train,0.0023947190902958,0.25203252032520324
S00327,1,train,0.0044787484736659,0.36271186440677966
S00331,1,train,0.0,0.2840909090909091
S00379,1,train,0.0024318042813455,0.36271186440677966
S00403,1,train,0.0043498619334567,0.36271186440677966
S00408,1,train,0.0022408584697236,0.4413793103448276
S00457,1,train,0.0047714366632584,0.2236842105263158
S00467,1,train,0.0047907539412867,0.2236842105263158
S00472,1,train,0.0,0.36271186440677966
S00518,1,train,0.0,0.36271186440677966
S00537,1,train,0.0,0.36271186440677966
S00561,1,train,0.0,0.2840909090909091
S00566,1,train,0.0,0.36271186440677966
S00629,1,train,0.0,0.36271186440677966
S00647,1,train,0.0,0.36271186440677966
S00656,1,train,0.0,0.36271186440677966
S00691,1,train,0.0,0.2236842105263158
S00702,1,train,0.0,0.25203252032520324
S00800,1,train,0.0,0.4413793103448276
S00803,1,train,0.0,0.17647058823529413
S00816,1,train,0.0,0.2840909090909091
S00829,1,train,0.0,0.36271186440677966
S00853,1,train,0.0,0.36271186440677966
S00897,1,train,0.0,0.36271186440677966
S00920,1,train,0.0257126597340783,0.2236842105263158
S01079,1,train,0.0,0.2236842105263158
S01145,1,train,0.0,0.36271186440677966
S01258,1,train,0.0088358697198122,0.2236842105263158
S01286,1,train,0.0,0.36271186440677966
S01322,1,train,0.0,0.15384615384615385
S01419,1,train,0.0,0.25203252032520324
S01439,1,train,0.0014258991484771,0.36271186440677966
S01462,1,train,0.0,0.36271186440677966
S01478,1,train,0.0014308746473196,0.36271186440677966
S01488,1,train,0.0014427752376805,0.2840909090909091
S01513,1,train,0.0,0.36271186440677966
S01591,1,train,0.0,0.4413793103448276
S01609,1,train,0.0029240798267909,0.36271186440677966
S01624,1,train,0.002882964406701,0.36271186440677966
S01690,1,train,0.0071382815843825,0.36271186440677966
S01802,1,train,0.0248257583771141,0.17647058823529413
S01878,1,train,0.0100184588448391,0.4413793103448276
S01906,1,train,0.0,0.2236842105263158
S01924,1,train,0.0,0.17647058823529413
S01926,1,train,0.0,0.2236842105263158
S01937,1,train,0.0,0.2236842105263158
S02065,1,train,0.0,0.4413793103448276
S02082,1,train,0.0,0.15384615384615385
S02121,1,train,0.0,0.25203252032520324
S02158,1,train,0.0,0.20833333333333334
S02319,1,train,0.0085486746974136,0.36271186440677966
S02337,1,train,0.0,0.15384615384615385
S02475,1,train,0.0,0.36271186440677966
S02482,1,train,0.0,0.36271186440677966
S02505,1,train,0.0,0.4090909090909091
S02517,1,train,0.0,0.36271186440677966
S02529,1,train,0.0,0.25203252032520324
S02556,1,train,0.0,0.36271186440677966
S02567,1,train,0.0,0.2236842105263158
S02613,1,train,0.0029144090258719,0.36271186440677966
S02650,1,train,0.0,0.36271186440677966
S02715,1,train,0.0,0.36271186440677966
S02745,1,train,0.0,0.2236842105263158
S02763,1,train,0.0,0.15384615384615385
S02783,1,train,0.0,0.36271186440677966
S02833,1,train,0.0,0.2840909090909091
S02861,1,train,0.0,0.25203252032520324
S02868,1,train,0.0,0.2840909090909091
S02898,1,train,0.0,0.36271186440677966
S02944,1,train,0.0,0.2840909090909091
S02974,1,train,0.0,0.2840909090909091
S03106,1,train,0.0030980788171198,0.4413793103448276
S03122,1,train,0.0,0.20833333333333334
S03133,1,train,0.0,0.17647058823529413
S03152,1,train,0.0122039183908998,0.2236842105263158
S03268,1,train,0.0,0.4413793103448276
S03315,1,train,0.0,0.2236842105263158
S03368,1,train,0.0028596251992243,0.36271186440677966
S03388,1,train,0.0,0.25203252032520324
S03452,1,train,0.0,0.17647058823529413
S03495,1,train,0.0,0.2236842105263158
S03576,1,train,0.0,0.4413793103448276
S03682,1,train,0.0,0.4413793103448276
S03697,1,train,0.0,0.2236842105263158
S03704,1,train,0.0,0.17647058823529413
S03723,1,train,0.0,0.36271186440677966
S03729,1,train,0.0,0.36271186440677966
S03781,1,train,0.0,0.25203252032520324
S03808,1,train,0.0,0.2840909090909091
S03825,1,train,0.0,0.2236842105263158
S03826,1,train,0.0,0.36271186440677966
S03838,1,train,0.0,0.25203252032520324
S03843,1,train,0.0,0.36271186440677966
S03866,1,train,0.0,0.17647058823529413
S03938,1,train,0.0,0.36271186440677966
S03990,1,train,0.0,0.17647058823529413
S04020,1,train,0.0,0.2236842105263158
S04080,1,train,0.0,0.4413793103448276
S04088,1,train,0.0,0.36271186440677966
