ufs_serial,position,split,health,clf_proba
S00084,1,train,0.0,0.46483720881876744
S00248,1,train,0.0048394556829523,0.5891346348938734
S00273,1,train,0.0023947190902958,0.18301980718039748
S00327,1,train,0.0044787484736659,0.4392728456588246
S00331,1,train,0.0,0.6591074976391847
S00379,1,train,0.0024318042813455,0.5589698008089048
S00403,1,train,0.0043498619334567,0.19692934471336132
S00408,1,train,0.0022408584697236,0.44871212185895487
S00457,1,train,0.0047714366632584,0.5803403450844169
S00467,1,train,0.0047907539412867,0.41604701024265456
S00472,1,train,0.0,0.3406716777829829
S00518,1,train,0.0,0.7153146423344672
S00537,1,train,0.0,0.6744043807088274
S00561,1,train,0.0,0.5490954590898262
S00566,1,train,0.0,0.3556145008912107
S00629,1,train,0.0,0.44414190071312276
S00647,1,train,0.0,0.3539833417290973
S00656,1,train,0.0,0.3594252209339757
S00691,1,train,0.0,0.20374493880247918
S00702,1,train,0.0,0.3078360113251957
S00800,1,train,0.0,0.7354300937487523
S00803,1,train,0.0,0.2640383819961099
S00816,1,train,0.0,0.5946473559454384
S00829,1,train,0.0,0.7151175539534493
S00853,1,train,0.0,0.25684391056395894
S00897,1,train,0.0,0.4070733339849975
S00920,1,train,0.0257126597340783,0.5307026315044079
S01079,1,train,0.0,0.4791312492425998
S01145,1,train,0.0,0.28337419697950783
S01258,1,train,0.0088358697198122,0.26173726790549195
S01286,1,train,0.0,0.19328301576833457
S01322,1,train,0.0,0.09905479345427841
S01419,1,train,0.0,0.29188722673925954
S01439,1,train,0.0014258991484771,0.6071693626134348
S01462,1,train,0.0,0.5683245362007324
S01478,1,train,0.0014308746473196,0.5513111561830873
S01488,1,train,0.0014427752376805,0.16900971105869078
S01513,1,train,0.0,0.31190404370863706
S01591,1,train,0.0,0.6110771597328066
S01609,1,train,0.0029240798267909,0.29552394444110935
S01624,1,train,0.002882964406701,0.7713343661853121
S01690,1,train,0.0071382815843825,0.4224102605753805
S01802,1,train,0.0248257583771141,0.17946331773506946
S01878,1,train,0.0100184588448391,0.4832866810880738
S01906,1,train,0.0,0.10991378718956583
S01924,1,train,0.0,0.48358113496869193
S01926,1,train,0.0,0.13246681709384162
S01937,1,train,0.0,0.46850774454069344
S02065,1,train,0.0,0.726789807219439
S02082,1,train,0.0,0.36817481335003494
S02121,1,train,0.0,0.29113771409134537
S02158,1,train,0.0,0.2253312189095942
S02319,1,train,0.0085486746974136,0.24375146583589002
S02337,1,train,0.0,0.13494752218239633
S02475,1,train,0.0,0.9108239325669781
S02482,1,train,0.0,0.6571238015829829
S02505,1,train,0.0,0.9120927403781254
