ufs_serial,position,split,health,clf_proba_mean,lds_weight
S00084,1,train,0.0,0.34923866556585176,1.0
S00248,1,train,0.0048394556829523,0.42895303125303047,0.7123574168267589
S00273,1,train,0.0023947190902958,0.25668830732134634,0.7605606737829103
S00327,1,train,0.0044787484736659,0.37899910150801414,0.7170909714423457
S00331,1,train,0.0,0.4392479537585161,1.0
S00379,1,train,0.0024318042813455,0.40627484078618054,0.7595291934744884
S00403,1,train,0.0043498619334567,0.3113955545551985,0.7189717346484831
S00408,1,train,0.0022408584697236,0.40836800888740693,0.7649476465607791
S00457,1,train,0.0047714366632584,0.37967905002305696,0.7131908438945044
S00467,1,train,0.0047907539412867,0.3249146050758029,0.7129513742306168
S00472,1,train,0.0,0.3461320455494003,1.0
S00518,1,train,0.0,0.47101303373322834,1.0
S00537,1,train,0.0,0.45737627985801516,1.0
S00561,1,train,0.0,0.3767764084411975,1.0
S00566,1,train,0.0,0.35111298658547624,1.0
S00629,1,train,0.0,0.3679988740875865,1.0
S00647,1,train,0.0,0.36374688689377715,1.0
S00656,1,train,0.0,0.35238322659973126,1.0
S00691,1,train,0.0,0.24152400215721737,1.0
S00702,1,train,0.0,0.28567046293108533,1.0
S00800,1,train,0.0,0.5171182862130115,1.0
S00803,1,train,0.0,0.24588394245808706,1.0
S00816,1,train,0.0,0.40458361983159524,1.0
S00829,1,train,0.0,0.4709473376062225,1.0
S00853,1,train,0.0,0.30556621070453194,1.0
S00897,1,train,0.0,0.38144355097907723,1.0
S00920,1,train,0.0257126597340783,0.3505098997245269,2.2842800497445355
S01079,1,train,0.0,0.3459426847424513,1.0
S01145,1,train,0.0,0.3144096395097149,1.0
S01258,1,train,0.0088358697198122,0.27347802429674867,0.7087399295692113
S01286,1,train,0.0,0.2843792457726571,1.0
S01322,1,train,0.0,0.10702758849408349,1.0
S01419,1,train,0.0,0.30615506720330576,1.0
S01439,1,train,0.0014258991484771,0.4481422271885564,0.7911877720851386
S01462,1,train,0.0,0.4220163316886501,1.0
S01478,1,train,0.0014308746473196,0.40372195924424137,0.7910116459817204
S01488,1,train,0.0014427752376805,0.2500811590974857,0.7905912003781181
S01513,1,train,0.0,0.34972045422029047,1.0
S01591,1,train,0.0,0.47566730820769626,1.0
S01609,1,train,0.0029240798267909,0.33108280110210914,0.7467677648085631
S01624,1,train,0.002882964406701,0.47706302924498295,0.7477684943610641
S01690,1,train,0.0071382815843825,0.3733782398135328,0.6996307121789841
S01802,1,train,0.0248257583771141,0.2434931201719394,2.06576325116455
S01878,1,train,0.0100184588448391,0.40726961619191954,0.7243694424236865
S01906,1,train,0.0,0.2102469516195796,1.0
S01924,1,train,0.0,0.24274451379526807,1.0
S01926,1,train,0.0,0.24356549405520397,1.0
S01937,1,train,0.0,0.34240151650848255,1.0
S02065,1,train,0.0,0.5142381907032404,1.0
S02082,1,train,0.0,0.24976456482297205,1.0
S02121,1,train,0.0,0.28010436385313525,1.0
S02158,1,train,0.0,0.2562257155671219,1.0
S02319,1,train,0.0085486746974136,0.3270029282627081,0.7061053421834281
S02337,1,train,0.0,0.11899183140345611,1.0
S02475,1,train,0.0,0.523559551372205,1.0
S02482,1,train,0.0,0.45161608681606696,1.0
S02505,1,train,0.0,0.5652430346714964,1.0
S02517,1,train,0.0,0.322297315767067,1.0
S02529,1,train,0.0,0.3135274685960231,1.0
S02556,1,train,0.0,0.34176004840639046,1.0
S02567,1,train,0.0,0.2717062395397197,1.0
S02613,1,train,0.0029144090258719,0.3624719504720571,0.7470020974992567
S02650,1,train,0.0,0.30468397528477165,1.0
S02715,1,train,0.0,0.42012224547627275,1.0
S02745,1,train,0.0,0.4282809850725695,1.0
S02763,1,train,0.0,0.14456682975520918,1.0
S02783,1,train,0.0,0.41608844554995206,1.0
S02833,1,train,0.0,0.3207346889010935,1.0
S02861,1,train,0.0,0.35555200501747986,1.0
S02868,1,train,0.0,0.2781866129117864,1.0
S02898,1,train,0.0,0.36831819416565437,1.0
S02944,1,train,0.0,0.22700100433449846,1.0
S02974,1,train,0.0,0.38523825758938285,1.0
S03106,1,train,0.0030980788171198,0.39447527505763946,0.7426611608049379
S03122,1,train,0.0,0.21065119885422298,1.0
S03133,1,train,0.0,0.20639035244053194,1.0
S03152,1,train,0.0122039183908998,0.3175846446882085,0.7746405433632356
S03268,1,train,0.0,0.4324349397256359,1.0
S03315,1,train,0.0,0.24405241382420398,1.0
S03368,1,train,0.0028596251992243,0.39285478961361947,0.7483417630253064
S03388,1,train,0.0,0.34173585914144017,1.0
S03452,1,train,0.0,0.2872656309588435,1.0
S03495,1,train,0.0,0.23770797181512396,1.0
S03576,1,train,0.0,0.37557305955143166,1.0
S03682,1,train,0.0,0.4770147828401777,1.0
S03697,1,train,0.0,0.39458008784788,1.0
S03704,1,train,0.0,0.17654346563003262,1.0
S03723,1,train,0.0,0.4385661153787603,1.0
S03729,1,train,0.0,0.38266376693031406,1.0
S03781,1,train,0.0,0.288143622403279,1.0
S03808,1,train,0.0,0.3456948434410461,1.0
