ufs_serial,position,split,health,reg_pred_die
S00084,1,train,0.0,0.0008437117354625402
S00248,1,train,0.0048394556829523,0.0012662827610925536
S00273,1,train,0.0023947190902958,0.0012375438827347013
S00327,1,train,0.0044787484736659,0.001953468479203732
S00331,1,train,0.0,0.002480889756460882
S00379,1,train,0.0024318042813455,0.0014675047946201925
S00403,1,train,0.0043498619334567,0.00397535602343139
S00408,1,train,0.0022408584697236,0.003971054130086811
S00457,1,train,0.0047714366632584,0.00011141149644620391
S00467,1,train,0.0047907539412867,0.004068081786801671
S00472,1,train,0.0,0.0
S00518,1,train,0.0,0.0006372282336221032
S00537,1,train,0.0,0.0
S00561,1,train,0.0,0.0007472266716901744
S00566,1,train,0.0,0.0030394665055783567
S00629,1,train,0.0,0.0
S00647,1,train,0.0,0.001257625372032598
S00656,1,train,0.0,0.003642097771510281
S00691,1,train,0.0,0.0005685221450572305
S00702,1,train,0.0,0.0
S00800,1,train,0.0,0.0062315840693046255
S00803,1,train,0.0,0.0007689597511176916
S00816,1,train,0.0,0.0069985664868257025
S00829,1,train,0.0,0.0029449019826595837
S00853,1,train,0.0,0.0018051610970028038
S00897,1,train,0.0,0.0003377563180460312
S00920,1,train,0.0257126597340783,0.0022503223102054914
S01079,1,train,0.0,0.0006959764587573657
S01145,1,train,0.0,0.0017947589151830214
S01258,1,train,0.0088358697198122,0.0004255943516787371
S01286,1,train,0.0,0.0020221075277253087
S01322,1,train,0.0,0.0
S01419,1,train,0.0,0.0005157240123969018
S01439,1,train,0.0014258991484771,0.0035330390949185144
S01462,1,train,0.0,0.003129703539874004
S01478,1,train,0.0014308746473196,0.001901226686924114
S01488,1,train,0.0014427752376805,0.0015585305359928534
S01513,1,train,0.0,0.0014358745706233864
S01591,1,train,0.0,0.0
S01609,1,train,0.0029240798267909,0.0008828232701567154
S01624,1,train,0.002882964406701,0.0005509839167830166
S01690,1,train,0.0071382815843825,0.0
S01802,1,train,0.0248257583771141,0.0011600037946711411
S01878,1,train,0.0100184588448391,0.0032746989506631306
S01906,1,train,0.0,0.0005143385277317067
S01924,1,train,0.0,0.0022025141847395488
S01926,1,train,0.0,0.0003591996175578439
S01937,1,train,0.0,0.0028793474368052616
S02065,1,train,0.0,0.0
S02082,1,train,0.0,0.0008026968474908757
S02121,1,train,0.0,0.00037716955863341015
S02158,1,train,0.0,0.0006196558752577819
S02319,1,train,0.0085486746974136,0.0017151560852326335
S02337,1,train,0.0,0.0007094673370256061
S02475,1,train,0.0,0.0003350045502115235
S02482,1,train,0.0,0.0
S02505,1,train,0.0,0.004781320331474532
S02517,1,train,0.0,0.004450988571027094
S02529,1,train,0.0,0.0
S02556,1,train,0.0,0.0019486649771356535
S02567,1,train,0.0,0.0
S02613,1,train,0.0029144090258719,0.0001289216732020029
S02650,1,train,0.0,0.0012412174290077189
S02715,1,train,0.0,0.0
S02745,1,train,0.0,0.0013637149488212714
S02763,1,train,0.0,2.3069852737696006e-05
S02783,1,train,0.0,0.002248935783977785
S02833,1,train,0.0,0.001312753299880601
S02861,1,train,0.0,0.000891730484751461
S02868,1,train,0.0,0.0
S02898,1,train,0.0,0.0031891646810358475
S02944,1,train,0.0,0.0007672261651174376
S02974,1,train,0.0,0.0011311066832149074
S03106,1,train,0.0030980788171198,0.004375873559732041
S03122,1,train,0.0,0.002599706458291641
S03133,1,train,0.0,0.0006819779225040166
S03152,1,train,0.0122039183908998,0.000381139695238946
S03268,1,train,0.0,0.003649248262276013
S03315,1,train,0.0,0.0007839543769086043
S03368,1,train,0.0028596251992243,0.002314890526952011
S03388,1,train,0.0,0.0009394668103687086
S03452,1,train,0.0,0.0010220854107993735
S03495,1,train,0.0,0.0
