ufs_serial,position,split,health,reg_pred_die
S00084,1,train,0.0,0.0021491129225245467
S00248,1,train,0.0048394556829523,0.0029527827999613616
S00273,1,train,0.0023947190902958,0.0016554239800401756
S00327,1,train,0.0044787484736659,0.0024991626942805867
S00331,1,train,0.0,0.0027030038386081675
S00379,1,train,0.0024318042813455,0.0027966730026971905
S00403,1,train,0.0043498619334567,0.002008239774019951
S00408,1,train,0.0022408584697236,0.0026928245721117355
S00457,1,train,0.0047714366632584,0.002336434173158691
S00467,1,train,0.0047907539412867,0.002236613772192084
S00472,1,train,0.0,0.002232260964444737
S00518,1,train,0.0,0.0031059129104587507
S00537,1,train,0.0,0.0028145602718600473
S00561,1,train,0.0,0.0025936147251984826
S00566,1,train,0.0,0.002264383850447346
S00629,1,train,0.0,0.002426625957680556
S00647,1,train,0.0,0.0022383922865038238
S00656,1,train,0.0,0.0024256994465317056
S00691,1,train,0.0,0.0015576269488029116
S00702,1,train,0.0,0.0018837431565787949
S00800,1,train,0.0,0.003182195160359691
S00803,1,train,0.0,0.001692590617569623
S00816,1,train,0.0,0.0026092245228849322
S00829,1,train,0.0,0.0031054797028096603
S00853,1,train,0.0,0.001880365368616788
S00897,1,train,0.0,0.002625741921433844
S00920,1,train,0.0257126597340783,0.0022604944467496044
S01079,1,train,0.0,0.002281184964891856
S01145,1,train,0.0,0.00193478525105979
S01258,1,train,0.0088358697198122,0.0018825399227322742
S01286,1,train,0.0,0.0018340072743884036
S01322,1,train,0.0,0.0007057519539200586
S01419,1,train,0.0,0.001883989019820978
S01439,1,train,0.0014258991484771,0.003084875415178448
S01462,1,train,0.0,0.002721650871971303
S01478,1,train,0.0014308746473196,0.00266218799831044
S01488,1,train,0.0014427752376805,0.0015389265384619405
S01513,1,train,0.0,0.0024073697276362424
S01591,1,train,0.0,0.0030676546070421582
S01609,1,train,0.0029240798267909,0.0021831972211543995
S01624,1,train,0.002882964406701,0.0029357067876431254
S01690,1,train,0.0071382815843825,0.002570222761174296
