ufs_serial,run_wf_xy,pred,health
S00000,0000000_25_24_25,0.0007866274049846709,0.0
S00002,0000000_8_37_24,0.0006978480661958308,0.0
S00003,0000000_13_34_27,0.0009228387386003725,0.0
S00004,0000000_10_22_15,0.0010188335368714755,0.0
S00009,0000000_7_41_19,0.0008104705942881407,0.0
S00012,0000000_20_50_26,0.0009284673426685331,0.0
S00013,0000000_22_24_20,0.0006914771143843907,0.0
S00015,0000001_4_49_31,0.0020093712574694783,0.0
S00017,0000002_3_19_16,0.0024776011206134253,0.0
S00018,0000003_16_17_20,0.0028261849521010337,0.0
S00020,0000003_22_63_22,0.0030941558149694226,0.0
S00021,0000004_25_33_23,0.003116952272641152,0.0
S00022,0000005_19_42_14,0.001896179849957487,0.0
S00023,0000003_5_58_18,0.0026603073938208646,0.0
S00024,0000003_12_32_17,0.002894822999863325,0.0
S00025,0000003_13_45_17,0.002769958094968048,0.0
S00026,0000003_14_35_23,0.0038192842943461235,0.0
S00027,0000003_5_58_21,0.0025330128342151217,0.0
S00028,0000003_16_58_21,0.0027338346908504694,0.0
S00029,0000004_7_52_18,0.0031211900362501073,0.0
S00031,0000004_8_26_15,0.0028212548140737212,0.0
S00032,0000004_5_36_15,0.0034602399929542517,0.0024556306573382
S00034,0000004_7_41_27,0.002748477771317913,0.0
S00035,0000004_7_30_25,0.002740090326462162,0.0
S00037,0000004_8_47_19,0.0027186950667288288,0.0024203995363741
S00038,0000003_14_50_14,0.003458959715754771,0.0
S00039,0000006_11_28_31,0.0027548241837825685,0.0024294149851399
S00041,0000004_23_41_11,0.0035517479717417635,0.0024488066378919
S00042,0000007_16_21_29,0.0029660670020012305,0.0024355223631917
S00043,0000008_3_54_30,0.0023956774657831388,0.0
S00044,0000009_3_57_14,0.0023963606129680753,0.0
S00047,0000004_21_17_27,0.0028995663877338556,0.0024454088310256
S00049,0000003_15_41_11,0.002921162361565255,0.0
S00051,0000011_21_22_29,0.002503667288441999,0.0023918839575332
S00052,0000011_20_50_12,0.0017907787219787192,0.0
S00056,0000011_18_45_11,0.002868682273323158,0.0024112401634015
S00057,0000014_24_59_15,0.0018968853505659305,0.0
S00058,0000011_18_16_26,0.0028735731289904476,0.0
S00059,0000013_13_17_27,0.0023072905339053943,0.00240752581914
S00061,0000015_18_56_14,0.0031726626605273114,0.0
S00062,0000015_15_42_16,0.0024491174409312214,0.0
S00063,0000015_18_44_28,0.002872382194513897,0.0
S00064,0000015_11_27_14,0.0029154617449121197,0.0
S00065,0000015_13_43_15,0.002890682743841306,0.0
S00068,0000015_14_26_20,0.00285343646013353,0.0096413121496052
S00069,0000012_8_41_16,0.0031990008226083907,0.0024141213958187
S00071,0000015_13_30_26,0.003410826267426638,0.0
S00072,0000012_10_49_25,0.003412097063874297,0.0
S00075,0000012_6_37_16,0.0027906966303918156,0.0
S00079,0000012_4_27_19,0.0033776851454715017,0.0
S00080,0000012_10_34_31,0.0029190368375959083,0.0024551575598599
S00081,0000012_5_31_25,0.0034180928179589646,0.0048692551117381
S00084,0000004_21_17_18,0.0031174419075139666,0.0
S00086,0000004_20_42_12,0.0030515463245816797,0.0
S00087,0000005_13_32_29,0.0029727952284342722,0.0071833265884257
S00092,0000003_22_33_16,0.0025857391068537703,0.0
S00096,0000004_19_42_16,0.002851896279193935,0.0
S00098,0000004_9_61_16,0.0032871748146699586,0.0
S00099,0000005_7_33_16,0.003157336856902045,0.002429023161249
S00101,0000005_12_36_19,0.001927471284934066,0.0047811447811447
S00103,0000003_18_48_19,0.003000696311802441,0.0023947190902958
S00106,0000005_18_38_23,0.0032195734273557397,0.0
S00108,0000005_10_54_18,0.00396440169776625,0.0
S00109,0000006_11_43_18,0.0023118284479311073,0.0024466006035276
S00111,0000005_10_55_15,0.0033150994375428446,0.0
S00113,0000005_11_51_20,0.003145911242358039,0.0
S00114,0000004_25_46_27,0.002966144124181956,0.0
S00116,0000006_5_51_22,0.0029012098710066766,0.0
S00120,0000006_16_30_16,0.0028968154938644242,0.0
S00121,0000005_17_50_27,0.0035480595500867553,0.0
S00122,0000006_16_18_16,0.0029198064372237334,0.0
S00123,0000006_24_29_23,0.002367974923907841,0.0120079634300735
S00124,0000005_17_31_19,0.0033849772924797418,0.0
S00126,0000017_6_56_26,0.0021510910044566078,0.0145181549966406
S00127,0000017_11_44_20,0.0026496746330964545,0.0
S00128,0000017_19_43_26,0.0026026036612507887,0.0023878847281078
S00129,0000017_24_13_21,0.0018152013846499673,0.0071621056878935
S00130,0000017_9_33_16,0.0021715977333399794,0.0048756321399316
S00131,0000017_3_63_24,0.0025473201303662816,0.0
S00132,0000017_9_37_26,0.0023546786978416653,0.0
S00133,0000017_9_35_15,0.002103587890118875,0.0
S00134,0000017_11_39_25,0.0030736640130608825,0.0
S00135,0000018_24_27_14,0.00351975551059489,0.0024002704530087
S00136,0000001_22_29_23,0.0025085393812205306,0.0024124339857098
S00137,0000001_1_62_25,0.0027840526631412532,0.0
S00138,0000009_20_36_24,0.0020066546417365416,0.0024209654634906
S00139,0000018_24_19_25,0.003440933573041006,0.0023857183316292
S00142,0000001_17_25_28,0.0032504541916304353,0.0023883666839667
S00144,0000020_8_25_17,0.002975126832385206,0.0
S00145,0000001_17_60_25,0.0029815489429801975,0.0048074365336157
S00146,0000001_1_48_16,0.003164150505991083,0.0
S00148,0000001_17_21_22,0.0025185009962890594,0.0023848940713548
S00149,0000001_17_45_19,0.0026209163367705954,0.0
S00150,0000020_10_45_21,0.0010438551957363139,0.0024284534611569
S00151,0000001_9_37_22,0.0020722789795374645,0.0
S00152,0000017_25_45_27,0.0015798560715461654,0.0
S00153,0000001_7_47_24,0.0015407844227476124,0.0
S00154,0000001_15_48_24,0.002630331376043547,0.0024048348309115
S00155,0000001_10_39_13,0.002153045886820429,0.0
S00156,0000001_11_25_17,0.002284923125335771,0.0
S00157,0000009_7_29_17,0.001990893703713015,0.0023905723905723
S00158,0000001_11_39_30,0.0020172271311130574,0.0
S00162,0000001_23_16_22,0.002572482892032065,0.0
S00164,0000017_19_41_12,0.0017513596381031453,0.0
S00165,0000001_23_55_25,0.0024039860076374227,0.0
S00166,0000001_23_33_21,0.0022798236018126603,0.0
S00168,0000007_10_25_22,0.003049153399437497,0.0044468304030778
S00169,0000007_5_44_15,0.0036039355106358027,0.002185201306724
S00170,0000007_5_32_12,0.0033921266973630376,0.0
S00171,0000007_10_37_22,0.002930973469354836,0.002232734493277
S00174,0000007_20_40_22,0.0034660016281422763,0.0
S00175,0000007_21_46_13,0.0027996512471264723,0.0
S00177,0000021_19_40_29,0.003224415700343661,0.0043713251623854
S00178,0000021_19_46_28,0.003005127595926398,0.0
S00180,0000021_22_54_28,0.0021632465768244525,0.0
S00181,0000021_22_33_20,0.0032647618930726533,0.0
S00183,0000021_22_55_14,0.0023087148253311185,0.0
S00185,0000021_24_54_16,0.0028712139939886193,0.0
S00186,0000021_25_55_25,0.0026172184147229163,0.0
S00187,0000021_11_35_14,0.0021693208917288186,0.0023849627379564
S00188,0000021_24_34_12,0.00240568240181421,0.0
S00189,0000021_11_40_25,0.002000129010477334,0.0
S00191,0000021_9_31_21,0.002574174054719869,0.0
S00192,0000021_8_42_14,0.0024166396193785822,0.0
S00193,0000021_9_17_24,0.002968898376020182,0.0
S00194,0000021_8_47_20,0.0021011177348334697,0.0023942345675443
S00199,0000008_6_28_27,0.0029691749679532564,0.0
S00201,0000008_6_35_28,0.00288608073097372,0.0
S00202,0000008_6_40_24,0.0031346220682685975,0.0
S00205,0000008_24_19_24,0.00312565430834963,0.0024191978193146
S00206,0000016_3_14_20,0.002237678229901559,0.0
S00207,0000016_3_47_21,0.002869552839891083,0.0024246859373094
S00208,0000008_12_60_17,0.002873153219194544,0.0
S00210,0000008_12_51_18,0.002769894996536906,0.0
S00211,0000016_15_26_16,0.0035977360041414205,0.0024002356770644
S00214,0000002_16_54_27,0.002045610633856552,0.0
S00216,0000002_14_39_30,0.0019931755538619505,0.0
S00217,0000002_22_35_18,0.0022071442397784318,0.0
S00218,0000004_22_56_15,0.0032145354416134287,0.0
S00220,0000004_10_33_26,0.003577770365467993,0.0048111362800333
S00221,0000006_23_50_17,0.0031734866007671,0.0024405814181889
S00223,0000004_4_32_29,0.0028359855903144016,0.0
S00226,0000004_4_37_16,0.0032856884069811737,0.0
S00227,0000009_6_47_25,0.0019642983878617407,0.0
S00229,0000003_10_41_20,0.0024791800865420046,0.0
S00233,0000011_23_16_18,0.0019624374699575044,0.0
S00237,0000011_19_38_25,0.0023288059775239426,0.0
S00238,0000016_25_37_23,0.0016440663668979374,0.0
S00245,0000009_7_47_29,0.001835008158910292,0.0
S00247,0000008_22_40_17,0.0027131313628566806,0.0
S00248,0000009_2_61_20,0.0028073916264821155,0.0048394556829523
S00249,0000009_2_17_26,0.002519329565774709,0.0072902762090563
S00252,0000001_16_16_19,0.0024865235798634867,0.0
S00253,0000008_14_19_17,0.0028256461570784165,0.0
S00257,0000019_14_46_22,0.0018647562408385745,0.0122792453576052
S00258,0000022_7_29_26,0.002969107220793542,0.004889013491513
S00259,0000022_6_51_28,0.0025429969808943662,0.0
S00260,0000022_7_18_22,0.0031521110803841273,0.0
S00261,0000022_6_22_20,0.0027077767964714615,0.0
S00262,0000022_7_37_31,0.0022550835595283023,0.0
S00264,0000022_6_30_20,0.002610244214824192,0.0
S00265,0000022_5_40_28,0.0024206391431433826,0.0021986286219862
S00267,0000022_3_51_13,0.0030260088648570663,0.0022214176846302
S00268,0000022_7_32_31,0.0024897413520948044,0.0
S00269,0000022_7_34_16,0.002570502989902824,0.0
S00270,0000022_7_23_24,0.002839174959122804,0.0021931566452205
S00271,0000022_1_58_22,0.002833853339529233,0.0
S00273,0000022_5_27_13,0.0020647472118756737,0.0023947190902958
S00275,0000022_1_37_16,0.001670662171140311,0.0
S00277,0000003_10_28_21,0.0036616782950046273,0.0
S00278,0000003_10_58_21,0.0032837684356273977,0.0024270303793883
S00283,0000012_21_38_24,0.0025802066796463403,0.0
S00284,0000012_15_62_18,0.00228965810714124,0.0
S00289,0000023_4_30_31,0.003014217319472098,0.0
S00290,0000023_12_31_31,0.002547245435979408,0.0024540301396377
S00294,0000013_13_46_19,0.0031884996564397754,0.0
S00296,0000012_10_16_24,0.002868422092472675,0.0
S00297,0000024_4_14_24,0.0031121459244230504,0.0048750582407611
S00302,0000008_14_50_23,0.002795599443896088,0.0
S00303,0000001_13_52_15,0.002539667479975449,0.0044147169073886
