feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero,lgbm_rank,et_rank,enet_rank
X4,0.0,0.002093056215070323,0.0,False,False,True,302.5,109.0,297.5
X6,0.0,0.0027264794604694525,0.0,False,False,True,302.5,27.0,297.5
X7,0.0,0.0022921646492424907,0.0,False,False,True,302.5,75.0,297.5
X10,0.0,0.001363697234227869,0.0,False,False,True,302.5,452.0,297.5
X12,0.0,0.002664684247661547,0.0,False,False,True,302.5,31.0,297.5
X14,0.0,0.0017010048952112726,0.0,False,False,True,302.5,239.0,297.5
X17,0.0,0.0013768053321586479,0.0,False,False,True,302.5,445.0,297.5
X18,0.0,0.0018944141771989292,0.0,False,False,True,302.5,168.0,297.5
X19,0.0,0.0017150368822643255,0.0,False,False,True,302.5,231.0,297.5
X21,0.0,0.002187030214791966,0.0,False,False,True,302.5,90.0,297.5
X23,0.0,0.0015022670826467994,0.0,False,False,True,302.5,363.0,297.5
X24,0.0,0.001343990442731821,0.0,False,False,True,302.5,468.0,297.5
X27,0.0,0.0015241357595145225,0.0,False,False,True,302.5,345.0,297.5
X28,0.0,0.0011648730368068892,0.0,False,False,True,302.5,528.0,297.5
X29,0.0,0.0021325615111204266,0.0,False,False,True,302.5,100.0,297.5
X31,0.0,0.0016896803984261266,0.0,False,False,True,302.5,248.0,297.5
X32,0.0,0.001532182779214868,0.0,False,False,True,302.5,340.0,297.5
X33,0.0,0.0014788033215435766,0.0,False,False,True,302.5,378.0,297.5
X35,0.0,0.0014286430887203241,0.0,False,False,True,302.5,411.0,297.5
X36,0.0,0.0012891761761557937,0.0,False,False,True,302.5,491.0,297.5
X37,0.0,0.0019494134372295964,0.0,False,False,True,302.5,153.0,297.5
X38,0.0,0.001757285586352128,0.0,False,False,True,302.5,213.0,297.5
X39,0.0,0.0014582625138314128,0.0,False,False,True,302.5,394.0,297.5
X40,0.0,0.0013059502157685122,0.0,False,False,True,302.5,479.0,297.5
X41,0.0,0.0016934744121745021,0.0,False,False,True,302.5,247.0,297.5
X42,0.0,0.001635362537385982,0.0,False,False,True,302.5,281.0,297.5
X45,0.0,0.0013094228067835865,0.0,False,False,True,302.5,476.0,297.5
X46,0.0,0.0012366646453165452,0.0,False,False,True,302.5,510.0,297.5
X47,0.0,0.0013473935750945444,0.0,False,False,True,302.5,466.0,297.5
X50,0.0,0.0015913946069263118,0.0,False,False,True,302.5,302.0,297.5
X52,0.0,0.0017787326699579594,0.0,False,False,True,302.5,205.0,297.5
X53,0.0,0.001430656135653156,0.0,False,False,True,302.5,410.0,297.5
X57,0.0,0.0014699550893668453,0.0,False,False,True,302.5,388.0,297.5
X58,0.0,0.0015890873120179053,0.0,False,False,True,302.5,304.0,297.5
X59,0.0,0.0017240089235635368,0.0,False,False,True,302.5,229.0,297.5
X61,0.0,0.0012998954874126416,0.0,False,False,True,302.5,483.0,297.5
X62,0.0,0.0015017026650489416,0.0,False,False,True,302.5,365.0,297.5
X63,0.0,0.0014735326907677423,0.0,False,False,True,302.5,382.0,297.5
X64,0.0,0.001596391786463878,0.0,False,False,True,302.5,299.0,297.5
X65,0.0,0.001577267921681671,0.0,False,False,True,302.5,310.0,297.5
X66,0.0,0.0013386861821842147,0.0,False,False,True,302.5,469.0,297.5
X67,0.0,0.0013716326452554294,0.0,False,False,True,302.5,450.0,297.5
X69,0.0,0.0013764041145931179,0.0,False,False,True,302.5,446.0,297.5
X71,0.0,0.0013631621445436967,0.0,False,False,True,302.5,456.0,297.5
X73,0.0,0.0017735216953119759,0.0,False,False,True,302.5,207.0,297.5
X74,0.0,0.0012177690140871185,0.0,False,False,True,302.5,517.0,297.5
X75,0.0,0.0014338735087711528,0.0,False,False,True,302.5,408.0,297.5
X76,0.0,0.0018433724653683348,0.0,False,False,True,302.5,182.0,297.5
X77,0.0,0.001337330296402032,0.0,False,False,True,302.5,470.0,297.5
X78,0.0,0.0015750257411562521,0.0,False,False,True,302.5,313.0,297.5
X79,0.0,0.0013245668698003768,0.0,False,False,True,302.5,473.0,297.5
X80,0.0,0.0017032935779364169,0.0,False,False,True,302.5,237.0,297.5
X81,0.0,0.0012793312135783667,0.0,False,False,True,302.5,495.0,297.5
X82,0.0,0.001515196620630822,0.0,False,False,True,302.5,349.0,297.5
X83,0.0,0.0013700219591461919,0.0,False,False,True,302.5,451.0,297.5
X86,0.0,0.0017248947899022589,0.0,False,False,True,302.5,226.0,297.5
X91,0.0,0.0016318689901721692,0.0,False,False,True,302.5,283.0,297.5
X95,0.0,0.0023064909791735014,0.0,False,False,True,302.5,72.0,297.5
X104,0.0,0.001024413782094536,0.0,False,True,True,302.5,550.0,297.5
X105,0.0,0.0017138314546822867,0.0,False,False,True,302.5,233.0,297.5
X106,0.0,0.001653907856995753,0.0,False,False,True,302.5,267.0,297.5
X110,0.0,0.002249104966418941,0.0,False,False,True,302.5,79.0,297.5
X111,0.0,0.0011687191769991264,0.0,False,False,True,302.5,527.0,297.5
X112,0.0,0.001805451528442962,0.0,False,False,True,302.5,193.0,297.5
X113,0.0,0.0019235084119697415,0.0,False,False,True,302.5,159.0,297.5
X119,0.0,0.0016954141744142004,0.0,False,False,True,302.5,241.0,297.5
X120,0.0,0.0017381772902318078,0.0,False,False,True,302.5,221.0,297.5
X121,0.0,0.001890097844839614,0.0,False,False,True,302.5,170.0,297.5
X122,0.0,0.0014235356451266505,0.0,False,False,True,302.5,416.0,297.5
X123,0.0,0.0015617721558421993,0.0,False,False,True,302.5,323.0,297.5
X125,0.0,0.0014153706544967613,0.0,False,False,True,302.5,422.0,297.5
X126,0.0,0.001444882277925488,0.0,False,False,True,302.5,400.0,297.5
X127,0.0,0.0018756728618188612,0.0,False,False,True,302.5,174.0,297.5
X128,0.0,0.0017308215921141297,0.0,False,False,True,302.5,224.0,297.5
X131,0.0,0.0014924232624912016,0.0,False,False,True,302.5,368.0,297.5
X145,0.0,0.0013823945845486281,0.0,False,False,True,302.5,442.0,297.5
X146,0.0,0.0014327674213292499,0.0,False,False,True,302.5,409.0,297.5
X150,0.0,0.0015365002446089916,0.0,False,False,True,302.5,337.0,297.5
X155,0.0,0.002372624349008343,0.0,False,False,True,302.5,59.0,297.5
X158,0.0,0.00210998367641492,0.0,False,False,True,302.5,106.0,297.5
X160,0.0,0.001489485911909683,0.0,False,False,True,302.5,371.0,297.5
X161,0.0,0.0015337879018748556,0.0,False,False,True,302.5,339.0,297.5
X165,0.0,0.0014674871773727993,0.0,False,False,True,302.5,389.0,297.5
X167,0.0,0.0015613559691665321,0.0,False,False,True,302.5,325.0,297.5
