ufs_serial,position,split,health,clf_proba
S00013,1,train,0.0,0.022099447513812154
S00027,1,train,0.0,0.26834170854271355
S00043,1,train,0.0,0.26834170854271355
S00044,1,train,0.0,0.36923076923076925
S00052,1,train,0.0,0.26834170854271355
S00056,1,train,0.0024112401634015,0.3338983050847458
S00068,1,train,0.0096413121496052,0.24404761904761904
S00071,1,train,0.0,0.24416135881104037
S00084,1,train,0.0,0.26834170854271355
S00087,1,train,0.0071833265884257,0.372960372960373
S00098,1,train,0.0,0.3338983050847458
S00121,1,train,0.0,0.38308457711442784
S00128,1,train,0.0023878847281078,0.21264367816091953
S00136,1,train,0.0024124339857098,0.26834170854271355
S00148,1,train,0.0023848940713548,0.372960372960373
S00153,1,train,0.0,0.26834170854271355
S00156,1,train,0.0,0.3338983050847458
S00158,1,train,0.0,0.3338983050847458
S00164,1,train,0.0,0.16666666666666666
S00187,1,train,0.0023849627379564,0.26834170854271355
S00189,1,train,0.0,0.16666666666666666
S00201,1,train,0.0,0.3338983050847458
S00210,1,train,0.0,0.3338983050847458
S00211,1,train,0.0024002356770644,0.4322429906542056
S00220,1,train,0.0048111362800333,0.372960372960373
S00237,1,train,0.0,0.372960372960373
S00238,1,train,0.0,0.24416135881104037
S00248,1,train,0.0048394556829523,0.372960372960373
S00273,1,train,0.0023947190902958,0.26834170854271355
S00275,1,train,0.0,0.24416135881104037
S00294,1,train,0.0,0.3338983050847458
S00308,1,train,0.0,0.3338983050847458
S00325,1,train,0.0,0.24416135881104037
S00327,1,train,0.0044787484736659,0.24416135881104037
S00331,1,train,0.0,0.26834170854271355
S00332,1,train,0.0,0.36923076923076925
S00343,1,train,0.0071593200806683,0.24416135881104037
S00347,1,train,0.0,0.24416135881104037
S00357,1,train,0.0,0.372960372960373
S00362,1,train,0.0,0.4322429906542056
S00363,1,train,0.0,0.372960372960373
S00379,1,train,0.0024318042813455,0.36923076923076925
S00403,1,train,0.0043498619334567,0.345679012345679
S00408,1,train,0.0022408584697236,0.372960372960373
S00411,1,train,0.0,0.022099447513812154
S00430,1,train,0.0065350023668016,0.4322429906542056
S00434,1,train,0.002191705914519,0.4322429906542056
S00441,1,train,0.0,0.16666666666666666
S00457,1,train,0.0047714366632584,0.24404761904761904
S00464,1,train,0.0,0.24416135881104037
S00467,1,train,0.0047907539412867,0.26834170854271355
S00472,1,train,0.0,0.26834170854271355
S00484,1,train,0.0,0.372960372960373
S00485,1,train,0.0,0.21264367816091953
