ufs_serial,position,split,health,clf_proba
S00013,1,train,0.0,0.1351370160115785
S00027,1,train,0.0,0.6981381522585574
S00043,1,train,0.0,0.30661859151906573
S00044,1,train,0.0,0.44402800391752933
S00052,1,train,0.0,0.4862086565874076
S00056,1,train,0.0024112401634015,0.5232374239604348
S00068,1,train,0.0096413121496052,0.3425955842318083
S00071,1,train,0.0,0.3759020597484324
S00084,1,train,0.0,0.19944764117420294
S00087,1,train,0.0071833265884257,0.6020215005427789
S00098,1,train,0.0,0.45846671381432247
S00121,1,train,0.0,0.6714766608744779
S00128,1,train,0.0023878847281078,0.29697342576739777
S00136,1,train,0.0024124339857098,0.45305893310743406
S00148,1,train,0.0023848940713548,0.8512091886520298
S00153,1,train,0.0,0.1131660307215182
S00156,1,train,0.0,0.4175897219626508
S00158,1,train,0.0,0.5415113876441742
S00164,1,train,0.0,0.15316207722705533
S00187,1,train,0.0023849627379564,0.38058440461674775
S00189,1,train,0.0,0.30967457753367394
S00201,1,train,0.0,0.6580535325938786
S00210,1,train,0.0,0.578706074560038
S00211,1,train,0.0024002356770644,0.5931861821338279
S00220,1,train,0.0048111362800333,0.6284885355447247
S00237,1,train,0.0,0.3878636665728455
S00238,1,train,0.0,0.17700740135898257
S00248,1,train,0.0048394556829523,0.7156147920186263
S00273,1,train,0.0023947190902958,0.19358986761320435
S00275,1,train,0.0,0.5637157485369626
S00294,1,train,0.0,0.17818275720062163
S00308,1,train,0.0,0.6046897504006568
S00325,1,train,0.0,0.4147128271618479
S00327,1,train,0.0044787484736659,0.27256162857895727
S00331,1,train,0.0,0.35635835423966455
S00332,1,train,0.0,0.4177641944640701
S00343,1,train,0.0071593200806683,0.6659561368051202
S00347,1,train,0.0,0.07800091487572129
S00357,1,train,0.0,0.3895639200089295
S00362,1,train,0.0,0.7623208725428104
S00363,1,train,0.0,0.5718867538693969
S00379,1,train,0.0024318042813455,0.5965634653908816
S00403,1,train,0.0043498619334567,0.3129351923813367
S00408,1,train,0.0022408584697236,0.4345488421002129
S00411,1,train,0.0,0.6152802932844447
S00430,1,train,0.0065350023668016,0.7253793860895914
S00434,1,train,0.002191705914519,0.519921266851874
S00441,1,train,0.0,0.5215815670041212
S00457,1,train,0.0047714366632584,0.3499536123877475
S00464,1,train,0.0,0.3434222851376303
S00467,1,train,0.0047907539412867,0.5790876228511566
S00472,1,train,0.0,0.4326310653746224
S00484,1,train,0.0,0.5520494487258921
S00485,1,train,0.0,0.5524615711246773
S00516,1,train,0.0,0.34531789406670776
S00518,1,train,0.0,0.6008031837437048
S00519,1,train,0.0,0.5617703964359995
S00521,1,train,0.004380398378283,0.8809974289717293
S00531,1,train,0.0,0.14374501926260225
S00537,1,train,0.0,0.4018111049474788
S00540,1,train,0.0043980160257686,0.25117644643522274
S00553,1,train,0.0,0.26475519091465305
S00561,1,train,0.0,0.7387915316807938
S00565,1,train,0.0,0.4653406787715171
S00566,1,train,0.0,0.3499710655479465
S00567,1,train,0.0,0.35752849947353643
S00571,1,train,0.0,0.4028525203822775
S00577,1,train,0.0,0.26197963437149985
S00580,1,train,0.0022136704169895,0.8490587982108996
S00586,1,train,0.0,0.20499062732700948
S00599,1,train,0.0,0.4926518761910456
S00603,1,train,0.0,0.7396868714255553
S00612,1,train,0.0,0.815253013395486
S00624,1,train,0.0,0.794931628785308
S00629,1,train,0.0,0.6157927788399773
S00630,1,train,0.0,0.3620380620625137
S00634,1,train,0.0,0.6403684352741765
S00647,1,train,0.0,0.1450332892735181
S00656,1,train,0.0,0.4367307298685653
S00666,1,train,0.0,0.7734737926197859
S00667,1,train,0.0,0.7593192370590416
S00670,1,train,0.0,0.4362454295952337
S00691,1,train,0.0,0.39067872641579254
S00692,1,train,0.0,0.7392573407893852
S00702,1,train,0.0,0.5215967809181347
S00719,1,train,0.0,0.8373354666003742
S00733,1,train,0.0,0.7849358043465641
S00738,1,train,0.0,0.30446469347185834
S00748,1,train,0.0,0.44714017378524656
S00752,1,train,0.0,0.19862275721007397
S00755,1,train,0.0,0.23517665302929855
S00772,1,train,0.0,0.49223212964112595
S00777,1,train,0.0,0.25868510759328533
S00786,1,train,0.0,0.848631029104628
S00791,1,train,0.0,0.5889098288644484
S00795,1,train,0.0,0.7564543903621478
S00798,1,train,0.0,0.23710545775599096
S00800,1,train,0.0,0.49209961386251944
S00803,1,train,0.0,0.2992772912768262
S00816,1,train,0.0,0.29013542616378796
S00829,1,train,0.0,0.6205753872172004
S00834,1,train,0.0,0.16454745094891382
S00843,1,train,0.0,0.15651132638499957
S00853,1,train,0.0,0.20783831289249435
S00864,1,train,0.0,0.08566344739802162
S00868,1,train,0.0,0.2539242805827534
S00884,1,train,0.0,0.713560238016695
S00897,1,train,0.0,0.2680485145402931
S00899,1,train,0.0,0.6133773961561622
S00915,1,train,0.0,0.6760889267427503
S00920,1,train,0.0257126597340783,0.8276278785642804
S00928,1,train,0.0,0.6052680440274065
S00945,1,train,0.0,0.283050868972056
S00965,1,train,0.0,0.07139020057954525
S00985,1,train,0.0,0.41764141744899197
S01010,1,train,0.0,0.970036944350561
S01014,1,train,0.0,0.5529257788511451
S01017,1,train,0.0,0.24267517694560792
S01037,1,train,0.0,0.0595172801615997
S01051,1,train,0.0,0.3864829784150175
S01053,1,train,0.0,0.16648095263222312
S01069,1,train,0.0,0.2594596227194748
S01076,1,train,0.0,0.8168094392835922
S01079,1,train,0.0,0.6105970204440812
S01102,1,train,0.0,0.19205551635207005
S01116,1,train,0.0,0.2529441113868807
S01130,1,train,0.0,0.3790959180035949
S01137,1,train,0.0,0.054249010264767465
S01145,1,train,0.0,0.6951001470399085
S01157,1,train,0.0,0.4162317557516094
S01160,1,train,0.0,0.40630240365908565
S01165,1,train,0.0,0.5684010044298081
S01183,1,train,0.0,0.6925021677163334
S01194,1,train,0.0,0.33371142742677085
S01203,1,train,0.0,0.6583965476115662
S01215,1,train,0.0,0.32568409684541066
S01223,1,train,0.0057164382104212,0.6573785741370077
S01226,1,train,0.0100747716597455,0.6222660082361571
S01233,1,train,0.0042819726367301,0.524246006613813
S01246,1,train,0.0,0.3245888400297923
S01258,1,train,0.0088358697198122,0.6674657678431344
S01259,1,train,0.0014739945251631,0.8777609851918204
S01262,1,train,0.0,0.4874193912335487
S01267,1,train,0.0029844203649159,0.6335988550701537
S01271,1,train,0.0100710969071687,0.6929661920453026
S01273,1,train,0.0119137511536202,0.4339702276057321
S01275,1,train,0.0072729720553975,0.8857499584243762
S01281,1,train,0.0,0.44021169471177607
S01286,1,train,0.0,0.5491157297814322
S01308,1,train,0.0044133056280746,0.484261351874415
S01322,1,train,0.0,0.048228256013221144
S01323,1,train,0.0,0.0339356938542347
S01355,1,train,0.0,0.44899530715595337
S01364,1,train,0.0,0.5934756485839884
S01370,1,train,0.0,0.42927195363967574
S01379,1,train,0.0,0.2818532891273244
S01380,1,train,0.0,0.563082199814286
S01392,1,train,0.0042994567286065,0.42943325735363247
S01397,1,train,0.0,0.5107136393877325
S01405,1,train,0.0,0.28362380386150676
S01419,1,train,0.0,0.1828785470510262
S01423,1,train,0.0,0.5210813887982921
S01439,1,train,0.0014258991484771,0.6045147163200436
S01448,1,train,0.0129361953183293,0.9369366438804644
S01462,1,train,0.0,0.26785039056532095
S01478,1,train,0.0014308746473196,0.6536965429951563
S01480,1,train,0.0174992297874213,0.41323170145246635
S01488,1,train,0.0014427752376805,0.621522896113494
S01496,1,train,0.0,0.12887989925038523
S01513,1,train,0.0,0.12408230807090666
S01518,1,train,0.0014647415777359,0.6049635853204565
S01524,1,train,0.0029565646741086,0.5806004738209123
S01527,1,train,0.0014726580440612,0.2445461145669751
S01535,1,train,0.0,0.5762453652533147
S01537,1,train,0.0014751101138535,0.4862764545674035
S01544,1,train,0.0118101348541555,0.2980546878387765
S01546,1,train,0.0059233833602984,0.13636882935625666
S01568,1,train,0.0057707491523849,0.29639126331294874
S01581,1,train,0.0028471422597258,0.4924190645065535
S01591,1,train,0.0,0.8987836477677204
S01594,1,train,0.0103059495455784,0.5487697769256326
S01609,1,train,0.0029240798267909,0.6293020100248646
S01624,1,train,0.002882964406701,0.7401842429568362
S01625,1,train,0.0159773914212484,0.8755695240108137
S01628,1,train,0.0058928846678286,0.2988389962960573
S01630,1,train,0.0103005486322683,0.4765243423582282
S01640,1,train,0.004374191390676,0.5445809927262836
S01641,1,train,0.0028930586964936,0.1385249158651719
S01662,1,train,0.0043318719439384,0.815268003097567
S01670,1,train,0.0074376702283679,0.34897007566485716
S01690,1,train,0.0071382815843825,0.5635669716233819
S01694,1,train,0.0014354868524423,0.2852219876757667
S01723,1,train,0.0028739370914253,0.43416974755659615
S01733,1,train,0.0,0.3233328833613945
S01755,1,train,0.019165339242226,0.7346603395080112
S01761,1,train,0.008808776873859,0.5342395500489862
S01765,1,train,0.0,0.25709528142024146
S01782,1,train,0.0043739989087004,0.3053105049311903
S01786,1,train,0.0147239627308951,0.14319323869938452
S01802,1,train,0.0248257583771141,0.37800626220639044
S01815,1,train,0.0086634418442497,0.6584352592019369
S01819,1,train,0.0,0.51487326469805
S01826,1,train,0.0056856369028722,0.4078894665855154
S01832,1,train,0.0,0.48444953711875943
S01835,1,train,0.0,0.7415400848819962
S01856,1,train,0.0044068097180351,0.687296322416287
S01862,1,train,0.0029190306703785,0.6424358306882114
S01874,1,train,0.0073207304822255,0.8503998601713211
S01878,1,train,0.0100184588448391,0.47909811166257804
S01891,1,train,0.0,0.06495316451872866
S01906,1,train,0.0,0.3914513130304679
S01912,1,train,0.0,0.4672568474873855
S01915,1,train,0.0,0.6502634133104732
S01924,1,train,0.0,0.4619542322366336
S01926,1,train,0.0,0.11520091273488496
S01936,1,train,0.0,0.7180601963122342
S01937,1,train,0.0,0.6443427553290566
S01952,1,train,0.0,0.38943881449835294
S01986,1,train,0.0,0.4212841325900954
S02034,1,train,0.0,0.6171107459718576
S02035,1,train,0.0,0.5260725017213419
S02047,1,train,0.0,0.7749190137546813
S02065,1,train,0.0,0.772829453047089
S02068,1,train,0.0,0.7870082959660297
S02076,1,train,0.0,0.417148264275829
S02080,1,train,0.0,0.3811785124406115
S02082,1,train,0.0,0.43444449401774926
S02087,1,train,0.0,0.4214036086946152
S02102,1,train,0.0,0.17183098626031362
S02118,1,train,0.0,0.15927887247068642
S02121,1,train,0.0,0.12400458092053245
S02130,1,train,0.0065224381057369,0.3471564245874185
S02131,1,train,0.0,0.7011061483011113
S02155,1,train,0.0,0.29229591278782063
S02158,1,train,0.0,0.25647960006274173
S02159,1,train,0.0,0.6418498278557258
S02171,1,train,0.0,0.38546091725617926
S02177,1,train,0.0,0.06824833970344435
S02180,1,train,0.0,0.7556778582507069
S02213,1,train,0.0,0.22404061561084262
S02215,1,train,0.0,0.6781872768743464
S02224,1,train,0.0,0.5540666804299996
S02231,1,train,0.0,0.27174039949682355
S02240,1,train,0.0,0.5548184421066209
S02243,1,train,0.0,0.6484606075924735
S02260,1,train,0.0,0.019397838383772303
S02261,1,train,0.0,0.19906804065703557
S02271,1,train,0.0,0.18511150668485238
S02282,1,train,0.0,0.6924387774118346
S02291,1,train,0.0069640447908784,0.5620339177964684
S02307,1,train,0.0,0.19959112665249823
S02319,1,train,0.0085486746974136,0.19725875022200456
S02321,1,train,0.0,0.591732067953639
S02324,1,train,0.0,0.27782186995881697
S02336,1,train,0.0,0.12654840304207615
S02337,1,train,0.0,0.22471016048386017
S02339,1,train,0.0,0.637188618689646
S02340,1,train,0.0,0.7606662240037985
S02349,1,train,0.0,0.20286285485594205
S02363,1,train,0.0,0.23934219197557707
S02368,1,train,0.0,0.3158454709297574
S02397,1,train,0.0,0.4955559013573056
S02418,1,train,0.0,0.34880462301006454
S02424,1,train,0.0,0.5043467391492354
S02426,1,train,0.0,0.25854132339484504
S02437,1,train,0.0,0.8082455091938121
S02456,1,train,0.0,0.6766875091522425
S02457,1,train,0.0,0.4048086158766487
S02458,1,train,0.0029008346465884,0.5435974816077199
S02466,1,train,0.0,0.3430416220157666
S02475,1,train,0.0,0.3920817136709585
S02476,1,train,0.0,0.2866793356921076
S02482,1,train,0.0,0.6263362311271201
S02485,1,train,0.0,0.45024195870227457
S02491,1,train,0.0,0.5888993958517582
S02505,1,train,0.0,0.6922807951412069
S02507,1,train,0.0,0.7103727848571708
S02517,1,train,0.0,0.5464489528645955
S02520,1,train,0.0,0.5940284059638498
S02524,1,train,0.0,0.5642706512784353
S02528,1,train,0.0,0.5688213826576319
S02529,1,train,0.0,0.457385079602116
S02554,1,train,0.0,0.32481711874688124
S02556,1,train,0.0,0.3717251115601539
S02567,1,train,0.0,0.4590506847417928
S02575,1,train,0.0,0.40794715840043055
S02581,1,train,0.0,0.30295847472064286
S02587,1,train,0.0,0.3149020607621598
S02593,1,train,0.0,0.7698568619449478
S02611,1,train,0.0,0.047943568235911234
S02613,1,train,0.0029144090258719,0.3484466299171747
S02616,1,train,0.0,0.5287618186052921
S02642,1,train,0.0,0.5650600727253612
S02650,1,train,0.0,0.40721580233400695
S02654,1,train,0.0,0.22379883190436092
S02691,1,train,0.0,0.2469923006523275
S02696,1,train,0.0,0.4609244524719617
S02715,1,train,0.0,0.3952647538137503
S02718,1,train,0.0,0.22627997497872146
S02723,1,train,0.0,0.19330135442763924
S02733,1,train,0.0,0.22470218938295713
S02739,1,train,0.0,0.6502588821666052
S02745,1,train,0.0,0.33073088680831286
S02757,1,train,0.0,0.7170359054120639
S02763,1,train,0.0,0.4213710338095114
S02764,1,train,0.0,0.4818544354840364
S02769,1,train,0.0,0.6218655075454388
S02773,1,train,0.0,0.07966880580418109
S02783,1,train,0.0,0.8872194154140934
S02784,1,train,0.0,0.4364785136588351
S02816,1,train,0.0,0.28315709407554945
S02817,1,train,0.0,0.5968232180277745
S02820,1,train,0.0,0.41459752059501376
S02828,1,train,0.0,0.41548223535108564
S02831,1,train,0.0,0.6641108751546427
S02833,1,train,0.0,0.6905764456428513
S02858,1,train,0.0,0.7461267230628976
S02861,1,train,0.0,0.18077747997937718
S02868,1,train,0.0,0.339058342543794
S02878,1,train,0.0,0.19458040174031827
S02887,1,train,0.0,0.23410544372890094
S02893,1,train,0.0,0.5681216689701661
S02898,1,train,0.0,0.38592560383848473
S02907,1,train,0.0,0.2555437069977162
S02925,1,train,0.0,0.7045553629802087
S02937,1,train,0.0,0.15426453383517982
S02944,1,train,0.0,0.5935174485877333
S02948,1,train,0.0,0.1151884381149766
S02957,1,train,0.0,0.40976674012303516
S02974,1,train,0.0,0.7564189095743981
S02990,1,train,0.0,0.5292545069018199
S02998,1,train,0.0,0.3181807757747584
S03003,1,train,0.0,0.7871527848470542
S03008,1,train,0.0,0.6561212040605996
S03036,1,train,0.0,0.5417847533232013
S03039,1,train,0.0057347918397489,0.6298271598567106
S03051,1,train,0.0077735442982538,0.7504325743494676
S03069,1,train,0.0091540345900944,0.4736292778337328
S03074,1,train,0.0045328517748349,0.3682844131444307
S03104,1,train,0.0,0.6164641970016309
S03106,1,train,0.0030980788171198,0.2051148887405418
S03112,1,train,0.0031048431179621,0.8519742839603651
S03114,1,train,0.0,0.44837236536475544
S03119,1,train,0.0085736958321832,0.30248996988098836
S03122,1,train,0.0,0.755635246488921
S03126,1,train,0.0,0.663472368605247
S03133,1,train,0.0,0.2814972341498226
S03140,1,train,0.0,0.23883535161769148
S03152,1,train,0.0122039183908998,0.5717185150631408
S03181,1,train,0.0,0.38544949650697047
S03206,1,train,0.0,0.6283460477727224
S03212,1,train,0.0,0.4496627995633143
S03229,1,train,0.0075538573308893,0.6399254032005693
S03238,1,train,0.0,0.3304252562172267
S03249,1,train,0.0,0.38606718508170784
S03251,1,train,0.0,0.7703437207547879
S03253,1,train,0.0,0.8095698967922925
S03268,1,train,0.0,0.4976954458179228
S03289,1,train,0.0056852954466159,0.4983234593834233
S03296,1,train,0.0,0.7115532772740988
S03310,1,train,0.0,0.09093699345428213
S03315,1,train,0.0,0.6365250903230425
S03319,1,train,0.0,0.5991128485587693
S03341,1,train,0.0028432331622816,0.4354942241325173
S03347,1,train,0.0,0.7143175250008675
S03348,1,train,0.0,0.4473703723729998
S03352,1,train,0.0,0.5728600940947043
S03368,1,train,0.0028596251992243,0.35115273018500537
S03371,1,train,0.0,0.6030626663432194
S03381,1,train,0.0,0.659632527760045
S03383,1,train,0.0,0.28153378636910364
S03388,1,train,0.0,0.38164755580270204
S03397,1,train,0.0,0.2348183477117928
S03401,1,train,0.0057922370038867,0.19069114572273674
