ufs_serial,position,split,health,clf_proba_mean,lds_weight
S00013,1,train,0.0,0.111852713949023,1.0
S00027,1,train,0.0,0.4133466900751182,1.0
S00043,1,train,0.0,0.29540234355444955,1.0
S00044,1,train,0.0,0.37483516791662264,1.0
S00052,1,train,0.0,0.3555732257664777,1.0
S00056,1,train,0.0024112401634015,0.3897683470714976,0.5664259568236047
S00068,1,train,0.0096413121496052,0.2867344709011704,0.5819644338383193
S00071,1,train,0.0,0.2978745426611855,1.0
S00084,1,train,0.0,0.2596786934394953,1.0
S00087,1,train,0.0071833265884257,0.42905039522415467,0.5094579619718544
S00098,1,train,0.0,0.3849550062996894,1.0
S00121,1,train,0.0,0.44270714913766324,1.0
S00128,1,train,0.0023878847281078,0.25068044878418655,0.5675352093168807
S00136,1,train,0.0024124339857098,0.3442157907505723,0.5663695499428663
S00148,1,train,0.0023848940713548,0.5234687069173959,0.5676780383731262
S00153,1,train,0.0,0.21835598289610517,1.0
S00156,1,train,0.0,0.33130408982387965,1.0
S00158,1,train,0.0,0.39555214111016307,1.0
S00164,1,train,0.0,0.18741766210598812,1.0
S00187,1,train,0.0023849627379564,0.3200576145870102,0.5676747569491181
S00189,1,train,0.0,0.27419260111337523,1.0
S00201,1,train,0.0,0.42183734903423603,1.0
S00210,1,train,0.0,0.39778715914552726,1.0
S00211,1,train,0.0024002356770644,0.45722191064260614,0.5669472481106181
S00220,1,train,0.0048111362800333,0.4375652130355557,0.5011708949000052
S00237,1,train,0.0,0.3576644505675102,1.0
S00238,1,train,0.0,0.2315763231980356,1.0
S00248,1,train,0.0048394556829523,0.4604700186482438,0.5008899184714621
S00273,1,train,0.0023947190902958,0.24756289131590536,0.5672094848073098
S00275,1,train,0.0,0.3901257024493343,1.0
S00294,1,train,0.0,0.2618804239031504,1.0
S00308,1,train,0.0,0.41661159536232395,1.0
S00325,1,train,0.0,0.3172363589795401,1.0
S00327,1,train,0.0044787484736659,0.26342773227136046,0.5052222299521196
S00331,1,train,0.0,0.3122897916505634,1.0
S00332,1,train,0.0,0.3777438409448748,1.0
S00343,1,train,0.0071593200806683,0.40712140873924324,0.5090681586658973
S00347,1,train,0.0,0.20097312382618657,1.0
S00357,1,train,0.0,0.3579236745236239,1.0
S00362,1,train,0.0,0.5022443917887761,1.0
S00363,1,train,0.0,0.4190054796663607,1.0
S00379,1,train,0.0024318042813455,0.4256803217410734,0.5654582905763225
S00403,1,train,0.0043498619334567,0.3232869784428617,0.5071757350231648
S00408,1,train,0.0022408584697236,0.3729186485540517,0.5747723504356039
S00411,1,train,0.0,0.2932679944074998,1.0
S00430,1,train,0.0065350023668016,0.501286311961194,0.501069699196829
S00434,1,train,0.002191705914519,0.44277034883230176,0.5772915689875533
S00441,1,train,0.0,0.3270277082121733,1.0
S00457,1,train,0.0047714366632584,0.2891871469531501,0.501581523681567
S00464,1,train,0.0,0.22967763977032984,1.0
S00467,1,train,0.0047907539412867,0.3736631802726513,0.5013792711059161
S00472,1,train,0.0,0.33126922162768935,1.0
S00484,1,train,0.0,0.4237487936086833,1.0
S00485,1,train,0.0,0.358783993295722,1.0
