ufs_serial,position,split,health,reg_pred_die
S00013,1,train,0.0,0.0004941895126718276
S00027,1,train,0.0,0.0018008171448232425
S00043,1,train,0.0,0.001514493100837185
S00044,1,train,0.0,0.0018664514704790686
S00052,1,train,0.0,0.0017131572205620474
S00056,1,train,0.0024112401634015,0.0018043232397135886
S00068,1,train,0.0096413121496052,0.0012492088689927828
S00071,1,train,0.0,0.001527167775133929
S00084,1,train,0.0,0.0012930421708190402
S00087,1,train,0.0071833265884257,0.002092063068544364
S00098,1,train,0.0,0.002215490681064025
S00121,1,train,0.0,0.0019287311195307776
S00128,1,train,0.0023878847281078,0.0012852092018980235
S00136,1,train,0.0024124339857098,0.0017139855696555895
S00148,1,train,0.0023848940713548,0.002552449692322074
S00153,1,train,0.0,0.00110526741120996
S00156,1,train,0.0,0.0014433842085356426
S00158,1,train,0.0,0.0020279493436797928
S00164,1,train,0.0,0.0009332261243674997
S00187,1,train,0.0023849627379564,0.0015606108809993564
S00189,1,train,0.0,0.0012606343714161913
S00201,1,train,0.0,0.0018378081854957776
S00210,1,train,0.0,0.002039408018496236
S00211,1,train,0.0024002356770644,0.0022766874095548196
S00220,1,train,0.0048111362800333,0.0021335815849631854
S00237,1,train,0.0,0.0018746232407652007
S00238,1,train,0.0,0.0010089027520079183
S00248,1,train,0.0048394556829523,0.0023607756729140234
S00273,1,train,0.0023947190902958,0.0012327128350864925
S00275,1,train,0.0,0.001902265056201098
S00294,1,train,0.0,0.001496623049088152
S00308,1,train,0.0,0.001815041275700777
S00325,1,train,0.0,0.0016264335320706875
S00327,1,train,0.0044787484736659,0.0014289063737419699
S00331,1,train,0.0,0.001522734734818808
S00332,1,train,0.0,0.0019798651562032013
S00343,1,train,0.0071593200806683,0.001773695617954467
S00347,1,train,0.0,0.0010303655882552398
S00357,1,train,0.0,0.001782242505010864
S00362,1,train,0.0,0.0024489592717794354
S00363,1,train,0.0,0.002196129385920811
S00379,1,train,0.0024318042813455,0.001854550768184181
S00403,1,train,0.0043498619334567,0.0016574543470132157
S00408,1,train,0.0022408584697236,0.0018922798470433215
S00411,1,train,0.0,0.0014299838599739964
S00430,1,train,0.0065350023668016,0.0026273871199356267
S00434,1,train,0.002191705914519,0.0019290064600533592
S00441,1,train,0.0,0.0016766326289440578
S00457,1,train,0.0047714366632584,0.0014399763466015412
S00464,1,train,0.0,0.001119915313404872
S00467,1,train,0.0047907539412867,0.001958477228715052
S00472,1,train,0.0,0.001443232299140899
S00484,1,train,0.0,0.0021725102674757177
S00485,1,train,0.0,0.001820557171349978
S00516,1,train,0.0,0.001453734547757198
S00518,1,train,0.0,0.002246649187740947
S00519,1,train,0.0,0.001774943442291763
S00521,1,train,0.004380398378283,0.002576652577228879
S00531,1,train,0.0,0.001202118394535381
S00537,1,train,0.0,0.0019183779779860398
S00540,1,train,0.0043980160257686,0.0014514266650840714
S00553,1,train,0.0,0.0013179612023201956
S00561,1,train,0.0,0.0026440722547565994
S00565,1,train,0.0,0.0019095478815225318
S00566,1,train,0.0,0.0016808949702045181
S00567,1,train,0.0,0.0017296014188524643
S00571,1,train,0.0,0.0010691261275211927
S00577,1,train,0.0,0.0008825113264332645
S00580,1,train,0.0022136704169895,0.0024800758499384495
S00586,1,train,0.0,0.0013412092972603113
S00599,1,train,0.0,0.0016058547101486023
S00603,1,train,0.0,0.0018364914254218334
S00612,1,train,0.0,0.002266114467183772
S00624,1,train,0.0,0.0026611889318782977
S00629,1,train,0.0,0.0021480476961897505
