ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00000,0000000_25_24_25,1,0.9236360170293801,0.07636398297061986,0.0017051203389737669,0.0001302097805282503,0.0,0.0
S00002,0000000_8_37_24,1,0.9553963834793614,0.0446036165206386,0.001693291528438097,7.55269259920989e-05,0.0,0.0
S00003,0000000_13_34_27,1,0.9223737184477923,0.07762628155220774,0.0021125396442776214,0.00016398859721689543,0.0,0.0
S00004,0000000_10_22_15,1,0.9185571313989507,0.08144286860104932,0.0016331512406539668,0.0001330085218982217,0.0,0.0
S00009,0000000_7_41_19,1,0.9464486054531209,0.05355139454687907,0.0016947590254783487,9.075670923527534e-05,0.0,0.0
S00012,0000000_20_50_26,1,0.931368194319312,0.06863180568068805,0.0016306406086014824,0.00011191380938457584,0.0,0.0
S00013,0000000_22_24_20,1,0.9490728116703867,0.05092718832961329,0.0017612429082404161,8.96951492821555e-05,0.0,0.0
S00015,0000001_4_49_31,1,0.5531071547655599,0.44689284523444006,0.0016846611314377867,0.0007528630062841035,0.0007528630062841035,0.0
S00017,0000002_3_19_16,1,0.6809482323715261,0.31905176762847387,0.0016789776068936268,0.0005356807732880365,0.0005356807732880365,0.0
S00018,0000003_16_17_20,1,0.5394177609216545,0.4605822390783455,0.00153587574100162,0.0007073970877366392,0.0007073970877366392,0.0
S00020,0000003_22_63_22,1,0.5262226338713114,0.4737773661286886,0.001595842026428815,0.000756073832038913,0.000756073832038913,0.0
S00021,0000004_25_33_23,1,0.48592701160330704,0.514072988396693,0.0017213486342070854,0.0008848988364594025,0.0008848988364594025,0.0
S00022,0000005_19_42_14,1,0.8613895380746469,0.1386104619253531,0.0015776698181909664,0.0002186815422651377,0.0002186815422651377,0.0
S00023,0000003_5_58_18,1,0.6393170264778478,0.3606829735221522,0.0015766902113318476,0.0005686853137464412,0.0005686853137464412,0.0
S00024,0000003_12_32_17,1,0.5305042870505001,0.4694957129494999,0.0016408022346350588,0.0007703496149591195,0.0007703496149591195,0.0
S00025,0000003_13_45_17,1,0.5806555114386128,0.4193444885613872,0.0017050658284187166,0.0007150099577817446,0.0007150099577817446,0.0
S00026,0000003_14_35_23,1,0.4423069939838699,0.55769300601613,0.001626290620477707,0.0009069709047900497,0.0009069709047900497,0.0
S00027,0000003_5_58_21,1,0.6825586687946514,0.31744133120534856,0.001697455526659975,0.0005388425420448185,0.0005388425420448185,0.0
S00028,0000003_16_58_21,1,0.5770365540332955,0.42296344596670454,0.0016187107797210163,0.0006846554894142522,0.0006846554894142522,0.0
S00029,0000004_7_52_18,1,0.5434571309746982,0.45654286902530183,0.0017651386860329514,0.0008058614799490351,0.0008058614799490351,0.0
S00031,0000004_8_26_15,1,0.5979316979278789,0.4020683020721211,0.001744433370716718,0.0007013813634420177,0.0007013813634420177,0.0
S00032,0000004_5_36_15,1,0.5187426307293521,0.4812573692706479,0.0017046534706593051,0.0008203770448075768,0.0008203770448075768,0.0024556306573382
S00034,0000004_7_41_27,1,0.5807945665132894,0.4192054334867106,0.0017108932558835006,0.0007172157489821325,0.0007172157489821325,0.0
S00035,0000004_7_30_25,1,0.5755923279392319,0.4244076720607681,0.0017057660290150647,0.0007239401894546243,0.0007239401894546243,0.0
S00037,0000004_8_47_19,1,0.6334109083064052,0.36658909169359477,0.0016299685550091338,0.0005975286920699195,0.0005975286920699195,0.0024203995363741
S00038,0000003_14_50_14,1,0.5403448059432581,0.45965519405674193,0.001635374768806372,0.0007517085067111924,0.0007517085067111924,0.0
S00039,0000006_11_28_31,1,0.6520351697309995,0.3479648302690005,0.0019033966872905146,0.0006623151052276217,0.0006623151052276217,0.0024294149851399
S00041,0000004_23_41_11,1,0.6172389088331649,0.3827610911668351,0.0018757074715941965,0.00071794783853718,0.00071794783853718,0.0024488066378919
S00042,0000007_16_21_29,1,0.4610835995572988,0.5389164004427012,0.0015611636837951231,0.0008413367129727351,0.0008413367129727351,0.0024355223631917
S00043,0000008_3_54_30,1,0.793863666893043,0.206136333106957,0.0015845686687854103,0.00032663717493959673,0.00032663717493959673,0.0
S00044,0000009_3_57_14,1,0.7713443632181991,0.2286556367818009,0.0017443641018927787,0.00039885868449760756,0.00039885868449760756,0.0
S00047,0000004_21_17_27,1,0.6748111872725018,0.3251888127274982,0.0016450668647063793,0.0005349573405912155,0.0005349573405912155,0.0024454088310256
S00049,0000003_15_41_11,1,0.575902880904093,0.42409711909590697,0.0016287489752470567,0.0006907477481326874,0.0006907477481326874,0.0
S00051,0000011_21_22_29,1,0.5615392236065815,0.4384607763934185,0.0016809394898862058,0.0007370260338058626,0.0007370260338058626,0.0023918839575332
S00052,0000011_20_50_12,1,0.7077123468182507,0.2922876531817493,0.0015282843935026142,0.0004466986587711722,0.0004466986587711722,0.0
S00056,0000011_18_45_11,1,0.4334296932138824,0.5665703067861176,0.001722813969262802,0.0009760952391006349,0.0009760952391006349,0.0024112401634015
S00057,0000014_24_59_15,1,0.6063211660922476,0.3936788339077524,0.0017398744235076812,0.0006849517341924268,0.0006849517341924268,0.0
S00058,0000011_18_16_26,1,0.5471641967877959,0.45283580321220407,0.001755036492790786,0.0007947433598796452,0.0007947433598796452,0.0
S00059,0000013_13_17_27,1,0.6597570251714016,0.34024297482859844,0.0017551278794574448,0.0005971699309112108,0.0005971699309112108,0.00240752581914
S00061,0000015_18_56_14,1,0.4213366406478732,0.5786633593521269,0.0016980696930162602,0.000982610712974824,0.000982610712974824,0.0
S00062,0000015_15_42_16,1,0.5019504811979156,0.49804951880208437,0.0016027008503359528,0.0007982243872935127,0.0007982243872935127,0.0
S00063,0000015_18_44_28,1,0.5337220325423003,0.46627796745769967,0.0017285764158655396,0.0008059970977850992,0.0008059970977850992,0.0
S00064,0000015_11_27_14,1,0.6053138149612701,0.3946861850387299,0.0018078427812473602,0.0007135305704803277,0.0007135305704803277,0.0
S00065,0000015_13_43_15,1,0.4297143586617971,0.5702856413382029,0.001674385142023722,0.0009548778045661562,0.0009548778045661562,0.0
S00068,0000015_14_26_20,1,0.5815189579557806,0.41848104204421943,0.0017548517960959996,0.000734372208263424,0.000734372208263424,0.0096413121496052
