ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00000,0000000_25_24_25,1,0.925216238059581,0.07478376194041902,0.0016252405111192184,0.00012154159947946457,0.0,0.0
S00002,0000000_8_37_24,1,0.9564146974272605,0.043585302572739515,0.0016806522386110846,7.325173633941612e-05,0.0,0.0
S00003,0000000_13_34_27,1,0.9345532115775458,0.06544678842245422,0.0021523132555693065,0.00014086199025608803,0.0,0.0
S00004,0000000_10_22_15,1,0.9311460248759476,0.06885397512405245,0.001568501131199691,0.00010799753786967164,0.0,0.0
S00009,0000000_7_41_19,1,0.9371189425024736,0.06288105749752637,0.0017027381103436236,0.00010706997301974681,0.0,0.0
S00012,0000000_20_50_26,1,0.9331397307468083,0.06686026925319166,0.0016250361553709208,0.00010865035489427117,0.0,0.0
S00013,0000000_22_24_20,1,0.9481649704707944,0.0518350295292056,0.0017541544022957982,9.09266452417887e-05,0.0,0.0
S00015,0000001_4_49_31,1,0.7051537659099202,0.2948462340900798,0.001644277304284943,0.00048480897096820366,0.00048480897096820366,0.0
S00017,0000002_3_19_16,1,0.722359227084113,0.27764077291588696,0.0016603061068476022,0.0004609686707821355,0.0004609686707821355,0.0
S00018,0000003_16_17_20,1,0.5237568847638108,0.47624311523618923,0.0015326293281439892,0.0007299041657376411,0.0007299041657376411,0.0
S00020,0000003_22_63_22,1,0.5270105620942521,0.4729894379057479,0.0015826427410500015,0.0007485733004948523,0.0007485733004948523,0.0
S00021,0000004_25_33_23,1,0.5116227746270569,0.48837722537294315,0.0017591667518228682,0.0008591369772235853,0.0008591369772235853,0.0
S00022,0000005_19_42_14,1,0.8636280706036982,0.13637192939630183,0.001592085426237301,0.0002171157613397143,0.0002171157613397143,0.0
S00023,0000003_5_58_18,1,0.6178471299309365,0.3821528700690635,0.001577467280398216,0.0006028336486442184,0.0006028336486442184,0.0
S00024,0000003_12_32_17,1,0.6123231250782948,0.3876768749217052,0.0016401448417806338,0.0006358462266804708,0.0006358462266804708,0.0
S00025,0000003_13_45_17,1,0.5309937123172761,0.4690062876827239,0.0017003975506875405,0.0007974971428327597,0.0007974971428327597,0.0
S00026,0000003_14_35_23,1,0.45362886402680264,0.5463711359731973,0.0016420485820293454,0.0008971679490865514,0.0008971679490865514,0.0
S00027,0000003_5_58_21,1,0.6217472537756172,0.37825274622438276,0.0017209432756761973,0.0006509515201209066,0.0006509515201209066,0.0
S00028,0000003_16_58_21,1,0.539178080671673,0.46082191932832695,0.0016733275750685304,0.0007711060248080953,0.0007711060248080953,0.0
S00029,0000004_7_52_18,1,0.5292161909989657,0.47078380900103434,0.0017316706978517291,0.0008152425270701163,0.0008152425270701163,0.0
S00031,0000004_8_26_15,1,0.6846269556935236,0.3153730443064764,0.0017200563983880003,0.000542459422738457,0.000542459422738457,0.0
S00032,0000004_5_36_15,1,0.519653928625409,0.48034607137459095,0.0017160427171605138,0.0008242943774990311,0.0008242943774990311,0.0024556306573382
S00034,0000004_7_41_27,1,0.6169135968474738,0.3830864031525262,0.0016649463911878998,0.0006378183244419513,0.0006378183244419513,0.0
S00035,0000004_7_30_25,1,0.531491527301168,0.468508472698832,0.0016823127230778743,0.000788177764491028,0.000788177764491028,0.0
S00037,0000004_8_47_19,1,0.6697769494744125,0.33022305052558754,0.0016536186171326064,0.0005460629841554329,0.0005460629841554329,0.0024203995363741
S00038,0000003_14_50_14,1,0.489613376072995,0.510386623927005,0.0016639496868055303,0.0008492576630330719,0.0008492576630330719,0.0
S00039,0000006_11_28_31,1,0.644464721949139,0.35553527805086105,0.001877400847336927,0.0006674822322708565,0.0006674822322708565,0.0024294149851399
S00041,0000004_23_41_11,1,0.605476660414024,0.39452333958597596,0.0019304416886218674,0.0007616043018710899,0.0007616043018710899,0.0024488066378919
S00042,0000007_16_21_29,1,0.5196319732199138,0.48036802678008617,0.0015620423969726343,0.0007503552239805804,0.0007503552239805804,0.0024355223631917
S00043,0000008_3_54_30,1,0.751141746038785,0.24885825396121497,0.0015732014372701936,0.00039150416280833424,0.00039150416280833424,0.0
S00044,0000009_3_57_14,1,0.8263152937332482,0.1736847062667518,0.0017807436106612488,0.00030928793095409403,0.00030928793095409403,0.0
S00047,0000004_21_17_27,1,0.6515064598365422,0.3484935401634578,0.0015628631814742276,0.0005446477229030782,0.0005446477229030782,0.0024454088310256
S00049,0000003_15_41_11,1,0.5071087446607627,0.4928912553392373,0.0016454237858872939,0.0008110149953910286,0.0008110149953910286,0.0
S00051,0000011_21_22_29,1,0.5027753102647294,0.49722468973527056,0.0017004727761361995,0.000845517048517596,0.000845517048517596,0.0023918839575332
S00052,0000011_20_50_12,1,0.7076935154353579,0.29230648456464214,0.0014583415070050624,0.00042628267920735225,0.00042628267920735225,0.0
S00056,0000011_18_45_11,1,0.5577705162037804,0.4422294837962196,0.001702765554752,0.0007530131323039605,0.0007530131323039605,0.0024112401634015
S00057,0000014_24_59_15,1,0.6369768628276824,0.3630231371723176,0.0017118801052554069,0.000621452086272695,0.000621452086272695,0.0
S00058,0000011_18_16_26,1,0.5157339696149027,0.4842660303850973,0.0017162079007568736,0.0008311011874150722,0.0008311011874150722,0.0
S00059,0000013_13_17_27,1,0.6215750414779465,0.3784249585220535,0.001673033414550399,0.0006331176005072443,0.0006331176005072443,0.00240752581914
S00061,0000015_18_56_14,1,0.40516583373272264,0.5948341662672774,0.00170304458790891,0.0010130291075647955,0.0010130291075647955,0.0
S00062,0000015_15_42_16,1,0.49333856176998925,0.5066614382300108,0.0016142571490900465,0.0008178818488310399,0.0008178818488310399,0.0
S00063,0000015_18_44_28,1,0.5611099899862948,0.4388900100137052,0.0016539429628170514,0.0007258990435128729,0.0007258990435128729,0.0
S00064,0000015_11_27_14,1,0.5095547110608939,0.4904452889391061,0.0017974471075132142,0.0008815494659970788,0.0008815494659970788,0.0
S00065,0000015_13_43_15,1,0.4248373088151967,0.5751626911848033,0.001677304167541744,0.0009647227789387957,0.0009647227789387957,0.0
S00068,0000015_14_26_20,1,0.5418600346779264,0.4581399653220736,0.001745195413579793,0.0007995437662576882,0.0007995437662576882,0.0096413121496052
S00069,0000012_8_41_16,1,0.4883046648632466,0.5116953351367535,0.0018235366032352863,0.0009330951733266168,0.0009330951733266168,0.0024141213958187
S00071,0000015_13_30_26,1,0.4819873152617956,0.5180126847382044,0.0017753920779124794,0.0009196756167423828,0.0009196756167423828,0.0
S00072,0000012_10_49_25,1,0.44882709251941666,0.5511729074805833,0.0018052247608219153,0.0009949909800781556,0.0009949909800781556,0.0
S00075,0000012_6_37_16,1,0.5846950711693529,0.41530492883064707,0.0017952013084742984,0.0007455559516526029,0.0007455559516526029,0.0
