ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,health
S00000,0000000_25_24_25,1,0.9206260563800975,0.07937394361990247,0.0010886285241983123,8.640873910273446e-05,0.0
S00002,0000000_8_37_24,1,0.9779028926501527,0.022097107349847267,0.001060569970061982,2.3435528480483918e-05,0.0
S00003,0000000_13_34_27,1,0.9128370792063745,0.08716292079362553,0.0010931113127794038,9.52787747744072e-05,0.0
S00004,0000000_10_22_15,1,0.9730154225859391,0.026984577414060906,0.0010911453647268663,2.9444096564465847e-05,0.0
S00009,0000000_7_41_19,1,0.9586180930630332,0.04138190693696675,0.0010262090413808468,4.2466487048296065e-05,0.0
S00012,0000000_20_50_26,1,0.8937884196606605,0.10621158033933953,0.001050054935742085,0.00011152799416829047,0.0
S00013,0000000_22_24_20,1,0.9403642103287231,0.05963578967127692,0.001209131596858212,7.210751759513152e-05,0.0
S00015,0000001_4_49_31,1,0.36038670657922883,0.6396132934207712,0.0010690707027932699,0.0006837918331132619,0.0
S00017,0000002_3_19_16,1,0.8050629794972122,0.19493702050278783,0.0011314343487709246,0.00022055844084391613,0.0
S00018,0000003_16_17_20,1,0.5457574280630038,0.45424257193699624,0.001024538608582207,0.0004653890526111332,0.0
S00020,0000003_22_63_22,1,0.30126368195238673,0.6987363180476133,0.0010193493949462078,0.0007122564430287756,0.0
S00021,0000004_25_33_23,1,0.2084344731017324,0.7915655268982675,0.0011888404068758096,0.000941045083066601,0.0
S00022,0000005_19_42_14,1,0.3048486391289789,0.6951513608710211,0.001166525827879594,0.0008109120167416943,0.0
S00023,0000003_5_58_18,1,0.5110671702479724,0.48893282975202756,0.0010466668374879157,0.0005117497786605723,0.0
S00024,0000003_12_32_17,1,0.16460746098762408,0.835392539012376,0.0010457040704669389,0.0008735733784829525,0.0
S00025,0000003_13_45_17,1,0.2365730146455092,0.7634269853544908,0.0010231585830709463,0.0007811068726134249,0.0
S00026,0000003_14_35_23,1,0.14348364965448474,0.8565163503455153,0.0012296515121793515,0.001053216625408702,0.0
S00027,0000003_5_58_21,1,0.3558353824081787,0.6441646175918213,0.0010225678062857806,0.0006587019998977874,0.0
S00028,0000003_16_58_21,1,0.24505044605626314,0.7549495539437369,0.0010686067443197102,0.0008067441849654341,0.0
S00029,0000004_7_52_18,1,0.2420907173141958,0.7579092826858043,0.001153325400088424,0.0008741160266843356,0.0
