ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00000,0000000_25_24_25,1,0.8473669767663653,0.1526330232336347,0.0008614985692932875,0.0001314931311426854,0.0001314931311426854,0.0
S00002,0000000_8_37_24,1,0.8911355045117436,0.10886449548825639,0.0008573314488849079,9.333295564907136e-05,0.0,0.0
S00003,0000000_13_34_27,1,0.8473418213248279,0.15265817867517206,0.0008700979386174467,0.00013282756657836107,0.00013282756657836107,0.0
S00004,0000000_10_22_15,1,0.8493555339789692,0.15064446602103077,0.0007825055199316027,0.00011788012620860534,0.00011788012620860534,0.0
S00009,0000000_7_41_19,1,0.8762597976523431,0.12374020234765692,0.0008887481619533125,0.00010997387739621105,0.00010997387739621105,0.0
S00012,0000000_20_50_26,1,0.888907408641831,0.11109259135816896,0.0008552592312775515,9.501296428561874e-05,0.0,0.0
S00013,0000000_22_24_20,1,0.9001803998729784,0.09981960012702162,0.0009170152290961493,9.153609347876675e-05,0.0,0.0
S00015,0000001_4_49_31,1,0.367942719158642,0.632057280841358,0.0008080236000540484,0.0005107171995058068,0.0005107171995058068,0.0
S00017,0000002_3_19_16,1,0.3656471510728553,0.6343528489271447,0.0008851734713167822,0.000561512313324531,0.000561512313324531,0.0
S00018,0000003_16_17_20,1,0.1252492094649432,0.8747507905350568,0.0008413166834146492,0.0007359424339072965,0.0007359424339072965,0.0
S00020,0000003_22_63_22,1,0.15373017370735623,0.8462698262926438,0.000877681615310835,0.0007427554681293474,0.0007427554681293474,0.0
S00021,0000004_25_33_23,1,0.12246754317258048,0.8775324568274195,0.0008791530517069741,0.0007714853373917445,0.0007714853373917445,0.0
S00022,0000005_19_42_14,1,0.7273763229422889,0.27262367705771107,0.0009040781111373506,0.0002464730990056545,0.0002464730990056545,0.0
S00023,0000003_5_58_18,1,0.1468508657207006,0.8531491342792994,0.0008586072724532558,0.0007325200511794057,0.0007325200511794057,0.0
S00024,0000003_12_32_17,1,0.11649422203412926,0.8835057779658707,0.0009131553543362936,0.0008067780317365874,0.0008067780317365874,0.0
S00025,0000003_13_45_17,1,0.21125369320115706,0.7887463067988429,0.0009324801497913957,0.0007354902743111953,0.0007354902743111953,0.0
S00026,0000003_14_35_23,1,0.12101582457952383,0.8789841754204761,0.0008986898691744967,0.0007899341736150806,0.0007899341736150806,0.0
S00027,0000003_5_58_21,1,0.4301627430956493,0.5698372569043507,0.0008837820704901263,0.0005036119507493411,0.0005036119507493411,0.0
S00028,0000003_16_58_21,1,0.13155473114680746,0.8684452688531925,0.0008606197350952234,0.0007474011372251345,0.0007474011372251345,0.0
S00029,0000004_7_52_18,1,0.16759064550817687,0.8324093544918232,0.0009297079066180048,0.0007738975584138376,0.0007738975584138376,0.0
S00031,0000004_8_26_15,1,0.17562736918591193,0.8243726308140881,0.0008943797136273313,0.0007373021574697138,0.0007373021574697138,0.0
S00032,0000004_5_36_15,1,0.12841295683622697,0.871587043163773,0.0009530147733990816,0.0008306353284382987,0.0008306353284382987,0.0024556306573382
S00034,0000004_7_41_27,1,0.2499652640784119,0.7500347359215881,0.0009036387800954096,0.0006777604737973666,0.0006777604737973666,0.0
S00035,0000004_7_30_25,1,0.18289213213676966,0.8171078678632303,0.0009732192772474563,0.0007952251285950631,0.0007952251285950631,0.0
S00037,0000004_8_47_19,1,0.12938350961441464,0.8706164903855853,0.0008444253339046473,0.0007351706205967401,0.0007351706205967401,0.0024203995363741
S00038,0000003_14_50_14,1,0.140125996984037,0.8598740030159631,0.0010322459418729431,0.0008876014501352708,0.0008876014501352708,0.0
S00039,0000006_11_28_31,1,0.19973688290691932,0.8002631170930807,0.0008944686649136663,0.0007158102819258969,0.0007158102819258969,0.0024294149851399
S00041,0000004_23_41_11,1,0.25565939357365886,0.7443406064263411,0.001035575120303461,0.0007708206130467093,0.0007708206130467093,0.0024488066378919
S00042,0000007_16_21_29,1,0.18456098907266083,0.8154390109273392,0.0008541366654563747,0.0006964963576765218,0.0006964963576765218,0.0024355223631917
S00043,0000008_3_54_30,1,0.40065770913032445,0.5993422908696755,0.0007817456161506346,0.0004685332084610473,0.0004685332084610473,0.0
S00044,0000009_3_57_14,1,0.48269166021153564,0.5173083397884644,0.0009216076159849113,0.00047675530576155907,0.00047675530576155907,0.0
S00047,0000004_21_17_27,1,0.4418372240505376,0.5581627759494624,0.0008631345502665726,0.00048176957659468097,0.00048176957659468097,0.0024454088310256
S00049,0000003_15_41_11,1,0.2223496546614571,0.7776503453385429,0.0009227981931505433,0.0007176143335813034,0.0007176143335813034,0.0
S00051,0000011_21_22_29,1,0.2720103781877413,0.7279896218122587,0.000870236893101456,0.0006335234266960039,0.0006335234266960039,0.0023918839575332
S00052,0000011_20_50_12,1,0.5386332095023992,0.46136679049760076,0.0007926381175368006,0.00036569690431401374,0.00036569690431401374,0.0
S00056,0000011_18_45_11,1,0.3140011726611203,0.6859988273388797,0.0010242654048451699,0.0007026448666075694,0.0007026448666075694,0.0024112401634015
S00057,0000014_24_59_15,1,0.14763132228548448,0.8523686777145155,0.001003368375068636,0.0008552397751178154,0.0008552397751178154,0.0
S00058,0000011_18_16_26,1,0.1657084680132274,0.8342915319867726,0.0009304279947643534,0.0007762481971553333,0.0007762481971553333,0.0
S00059,0000013_13_17_27,1,0.2085552312073877,0.7914447687926123,0.0008496485895722652,0.0006724499315289905,0.0006724499315289905,0.00240752581914
S00061,0000015_18_56_14,1,0.2115720850724728,0.7884279149275272,0.000961200817454972,0.0007578375563326582,0.0007578375563326582,0.0
S00062,0000015_15_42_16,1,0.2066124325939382,0.7933875674060618,0.0008517610166610934,0.0006757766010200589,0.0006757766010200589,0.0
S00063,0000015_18_44_28,1,0.21358435599447995,0.7864156440055201,0.00084458605339626,0.0006641956850997004,0.0006641956850997004,0.0
S00064,0000015_11_27_14,1,0.19258559461743102,0.8074144053825689,0.0010549710120318152,0.0008517987923755151,0.0008517987923755151,0.0
S00065,0000015_13_43_15,1,0.18283666580864463,0.8171633341913553,0.0009568775246717828,0.0007819252284735649,0.0007819252284735649,0.0
S00068,0000015_14_26_20,1,0.18260000652700883,0.8173999934729912,0.0009376184583848088,0.0007664093217638989,0.0007664093217638989,0.0096413121496052
S00069,0000012_8_41_16,1,0.12460836881684903,0.875391631183151,0.0009088968928588718,0.0007956407336170253,0.0007956407336170253,0.0024141213958187
S00071,0000015_13_30_26,1,0.17675887741608257,0.8232411225839175,0.0009711032915556289,0.0007994521638851933,0.0007994521638851933,0.0
S00072,0000012_10_49_25,1,0.15967679285083466,0.8403232071491653,0.0008517193232525449,0.0007157195133064952,0.0007157195133064952,0.0
S00075,0000012_6_37_16,1,0.15425996169619444,0.8457400383038056,0.0009306420497079949,0.0007870812427671717,0.0007870812427671717,0.0
