ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00000,0000000_25_24_25,1,0.8936633986713042,0.10633660132869582,0.0010263525223181587,0.00010913883898844743,0.00010913883898844743,0.0
S00002,0000000_8_37_24,1,0.9217757190649344,0.07822428093506562,0.0010136490865706002,7.929197091747128e-05,7.929197091747128e-05,0.0
S00003,0000000_13_34_27,1,0.8590790105967236,0.14092098940327635,0.0011282662103716846,0.00015899639067586295,0.00015899639067586295,0.0
S00004,0000000_10_22_15,1,0.8263789981307496,0.17362100186925045,0.000985713418281204,0.00017114055123794618,0.00017114055123794618,0.0
S00009,0000000_7_41_19,1,0.8615784779698853,0.1384215220301147,0.001013808513848071,0.00014033291753393862,0.00014033291753393862,0.0
S00012,0000000_20_50_26,1,0.8611097491667874,0.1388902508332126,0.0010498281655894847,0.00014581089725049497,0.00014581089725049497,0.0
S00013,0000000_22_24_20,1,0.9125847045569937,0.0874152954430063,0.00104960418765068,9.175146016170081e-05,9.175146016170081e-05,0.0
S00015,0000001_4_49_31,1,0.5044528191992647,0.49554718080073534,0.0010222053897304916,0.000506550999080262,0.000506550999080262,0.0
S00017,0000002_3_19_16,1,0.5020700251417441,0.49792997485825585,0.001031018674285813,0.0005133751025655272,0.0005133751025655272,0.0
S00018,0000003_16_17_20,1,0.2088508515009698,0.7911491484990302,0.0010049388771258942,0.0007950565369317228,0.0007950565369317228,0.0
S00020,0000003_22_63_22,1,0.18981715069480024,0.8101828493051998,0.0010451464403642041,0.000846759720995458,0.000846759720995458,0.0
S00021,0000004_25_33_23,1,0.15795689283671002,0.84204310716329,0.0010150122829429488,0.0008546840965381851,0.0008546840965381851,0.0
S00022,0000005_19_42_14,1,0.37414205379172616,0.6258579462082738,0.0010271464988960645,0.0006428477982541099,0.0006428477982541099,0.0
S00023,0000003_5_58_18,1,0.2350313583518651,0.7649686416481349,0.0010331549301343206,0.000790331123516925,0.000790331123516925,0.0
S00024,0000003_12_32_17,1,0.23787246090891137,0.7621275390910887,0.0010417743239600809,0.000793964901807979,0.000793964901807979,0.0
S00025,0000003_13_45_17,1,0.27762191212456017,0.7223780878754398,0.0010104298294810474,0.0007299123681528257,0.0007299123681528257,0.0
S00026,0000003_14_35_23,1,0.14035671788298146,0.8596432821170186,0.0010408147748792943,0.0008947294291531224,0.0008947294291531224,0.0
S00027,0000003_5_58_21,1,0.3574745217571377,0.6425254782428623,0.001053086060969561,0.0006766346249553592,0.0006766346249553592,0.0
S00028,0000003_16_58_21,1,0.1958783956280798,0.8041216043719202,0.0010162612986433796,0.0008171976659262055,0.0008171976659262055,0.0
S00029,0000004_7_52_18,1,0.23045602382582478,0.7695439761741752,0.0010641220822394928,0.000818888738301322,0.000818888738301322,0.0
S00031,0000004_8_26_15,1,0.25058078540018375,0.7494192145998162,0.0010393879457209286,0.0007789372979466947,0.0007789372979466947,0.0
S00032,0000004_5_36_15,1,0.1637548769974953,0.8362451230025048,0.0010711940476288765,0.0008957807981189608,0.0008957807981189608,0.0024556306573382
S00034,0000004_7_41_27,1,0.24211741349330143,0.7578825865066986,0.0010413560989500264,0.0007892256537467715,0.0007892256537467715,0.0
S00035,0000004_7_30_25,1,0.18454790285688794,0.8154520971431121,0.0010621609912826319,0.000866141407845029,0.000866141407845029,0.0
S00037,0000004_8_47_19,1,0.18600484126612815,0.8139951587338718,0.0009966848109147937,0.0008112966108682265,0.0008112966108682265,0.0024203995363741
S00038,0000003_14_50_14,1,0.1494283110404676,0.8505716889595324,0.0010600092296565139,0.0009016138407816339,0.0009016138407816339,0.0
S00039,0000006_11_28_31,1,0.36212328505953206,0.6378767149404679,0.0010674437790296031,0.0006808975311510421,0.0006808975311510421,0.0024294149851399
S00041,0000004_23_41_11,1,0.5298650555626242,0.4701349444373758,0.0013959050530419183,0.0006562637445517144,0.0006562637445517144,0.0024488066378919
S00042,0000007_16_21_29,1,0.25377797983332034,0.7462220201666796,0.0010181765122643839,0.0007597857338681926,0.0007597857338681926,0.0024355223631917
S00043,0000008_3_54_30,1,0.5468233835402017,0.45317661645979834,0.0010536065577239134,0.0004774698549091783,0.0004774698549091783,0.0
S00044,0000009_3_57_14,1,0.6251333246357959,0.37486667536420415,0.0010736364798371192,0.0004024705377462683,0.0004024705377462683,0.0
S00047,0000004_21_17_27,1,0.2522107904149055,0.7477892095850944,0.0010053571104476774,0.0007517951989724232,0.0007517951989724232,0.0024454088310256
S00049,0000003_15_41_11,1,0.4080704863575457,0.5919295136424543,0.001073222831264543,0.0006352722685403988,0.0006352722685403988,0.0
S00051,0000011_21_22_29,1,0.25922450192542656,0.7407754980745734,0.0010113109247367764,0.000749154353980143,0.000749154353980143,0.0023918839575332
S00052,0000011_20_50_12,1,0.4743795056379249,0.525620494362075,0.0009884582815888497,0.0005195539306250183,0.0005195539306250183,0.0
S00056,0000011_18_45_11,1,0.36694727417940104,0.6330527258205989,0.0011337615718673268,0.000717730853501258,0.000717730853501258,0.0024112401634015
S00057,0000014_24_59_15,1,0.526765729883493,0.473234270116507,0.0011086958773049824,0.0005246728842776037,0.0005246728842776037,0.0
S00058,0000011_18_16_26,1,0.2013147485958671,0.7986852514041329,0.0010375129316678566,0.000828646276664181,0.000828646276664181,0.0
S00059,0000013_13_17_27,1,0.3373054717499092,0.6626945282500908,0.0009976179225133404,0.0006611159385338137,0.0006611159385338137,0.00240752581914
S00061,0000015_18_56_14,1,0.2707303772706797,0.7292696227293203,0.0010836739134012553,0.0007902904659877395,0.0007902904659877395,0.0
S00062,0000015_15_42_16,1,0.24008487005571671,0.7599151299442832,0.0010006545252434957,0.0007604125135797461,0.0007604125135797461,0.0
S00063,0000015_18_44_28,1,0.303811431996173,0.696188568003827,0.001036907411230172,0.0007218830857768888,0.0007218830857768888,0.0
S00064,0000015_11_27_14,1,0.2916771473462326,0.7083228526537674,0.001118447926672257,0.0007922222259651847,0.0007922222259651847,0.0
S00065,0000015_13_43_15,1,0.2295618953760482,0.7704381046239518,0.0010578300099464088,0.0008149925478774472,0.0008149925478774472,0.0
S00068,0000015_14_26_20,1,0.2927042667488828,0.7072957332511172,0.001076739803779526,0.0007615734690349038,0.0007615734690349038,0.0096413121496052
S00069,0000012_8_41_16,1,0.15589477882661362,0.8441052211733864,0.001051378404080396,0.0008874740003132047,0.0008874740003132047,0.0024141213958187
S00071,0000015_13_30_26,1,0.18811788660433554,0.8118821133956644,0.001092076465431056,0.0008866373487438331,0.0008866373487438331,0.0
S00072,0000012_10_49_25,1,0.2399048856984308,0.7600951143015692,0.001050476125241344,0.0007984617704863889,0.0007984617704863889,0.0
S00075,0000012_6_37_16,1,0.31548489610920777,0.6845151038907922,0.0010315178122050773,0.0007060895223867611,0.0007060895223867611,0.0
S00079,0000012_4_27_19,1,0.19064552101355212,0.8093544789864479,0.0010612581151903,0.000858934008889985,0.000858934008889985,0.0
S00080,0000012_10_34_31,1,0.3904119521932545,0.6095880478067455,0.0009874086250063906,0.0006019124961051884,0.0006019124961051884,0.0024551575598599
S00081,0000012_5_31_25,1,0.1782149898571437,0.8217850101428563,0.0010053250496333853,0.0008261610561098391,0.0008261610561098391,0.0048692551117381
S00084,0000004_21_17_18,1,0.13058273731448625,0.8694172626855138,0.0011566079003291244,0.001005574874704587,0.001005574874704587,0.0
S00086,0000004_20_42_12,1,0.2846164549581723,0.7153835450418278,0.001113392403424566,0.000796502604584507,0.000796502604584507,0.0
S00087,0000005_13_32_29,1,0.24971433780852326,0.7502856621914767,0.001053651967409848,0.0007905399640874501,0.0007905399640874501,0.0071833265884257
S00092,0000003_22_33_16,1,0.2872220942888635,0.7127779057111365,0.0010106938880033098,0.0007204002728060452,0.0007204002728060452,0.0
S00096,0000004_19_42_16,1,0.20303302192906042,0.7969669780709396,0.0010618365238925977,0.0008462486456520347,0.0008462486456520347,0.0
S00098,0000004_9_61_16,1,0.20972166358678815,0.7902783364132119,0.0010626669462821374,0.0008398026664691555,0.0008398026664691555,0.0
S00099,0000005_7_33_16,1,0.21884008040116518,0.7811599195988348,0.0010121517915762013,0.000790652412129482,0.000790652412129482,0.002429023161249
S00101,0000005_12_36_19,1,0.6351381804346544,0.3648618195653456,0.0010588483574609556,0.0003863333383469817,0.0003863333383469817,0.0047811447811447
S00103,0000003_18_48_19,1,0.20497569525492795,0.795024304745072,0.0010500311892926283,0.000834800316228013,0.000834800316228013,0.0023947190902958
S00106,0000005_18_38_23,1,0.1337348544359187,0.8662651455640813,0.0010538854654388674,0.00091294424612627,0.00091294424612627,0.0
S00108,0000005_10_54_18,1,0.13323764875053576,0.8667623512494642,0.0010546862912568311,0.0009141623696403482,0.0009141623696403482,0.0
S00109,0000006_11_43_18,1,0.5937799373731572,0.40622006262684285,0.0010444200469795653,0.00042426437689276915,0.00042426437689276915,0.0024466006035276
S00111,0000005_10_55_15,1,0.252439273237727,0.747560726762273,0.0010884649313644356,0.0008136936351460451,0.0008136936351460451,0.0
