ufs_serial,run_wf_xy,position,pred,health
S00000,0000000_25_24_25,1,2.1469793686475453e-05,0.0
S00002,0000000_8_37_24,1,0.0009761624569672527,0.0
S00003,0000000_13_34_27,1,0.0018567302229800984,0.0
S00004,0000000_10_22_15,1,0.0,0.0
S00009,0000000_7_41_19,1,0.001379209807597306,0.0
S00012,0000000_20_50_26,1,0.0003417336595133387,0.0
S00013,0000000_22_24_20,1,0.0,0.0
S00015,0000001_4_49_31,1,0.0011160015689264226,0.0
S00017,0000002_3_19_16,1,0.00248442988100997,0.0
S00018,0000003_16_17_20,1,0.0063125458642367595,0.0
S00020,0000003_22_63_22,1,0.006118390875635674,0.0
S00021,0000004_25_33_23,1,0.007729513796603011,0.0
S00022,0000005_19_42_14,1,0.008706093637478655,0.0
S00023,0000003_5_58_18,1,0.006317006158916325,0.0
S00024,0000003_12_32_17,1,0.006639251400379712,0.0
S00025,0000003_13_45_17,1,0.00559827362370824,0.0
S00026,0000003_14_35_23,1,0.008627924571944053,0.0
S00027,0000003_5_58_21,1,0.0031221796531656423,0.0
S00028,0000003_16_58_21,1,0.007498359046429743,0.0
S00029,0000004_7_52_18,1,0.007280001297230706,0.0
S00031,0000004_8_26_15,1,0.008466528271350252,0.0
S00032,0000004_5_36_15,1,0.006814671450321477,0.0024556306573382
S00034,0000004_7_41_27,1,0.005801940455081148,0.0
S00035,0000004_7_30_25,1,0.007540811891007238,0.0
S00037,0000004_8_47_19,1,0.007802376212934879,0.0024203995363741
S00038,0000003_14_50_14,1,0.006679768570640785,0.0
S00039,0000006_11_28_31,1,0.0023693917127094286,0.0024294149851399
S00041,0000004_23_41_11,1,0.004157617558502216,0.0024488066378919
S00042,0000007_16_21_29,1,0.004474719758550415,0.0024355223631917
S00043,0000008_3_54_30,1,0.0027021580711588935,0.0
S00044,0000009_3_57_14,1,0.004923160565044752,0.0
S00047,0000004_21_17_27,1,0.010256225035113276,0.0024454088310256
S00049,0000003_15_41_11,1,0.007491719802005657,0.0
S00051,0000011_21_22_29,1,0.003119251123902025,0.0023918839575332
S00052,0000011_20_50_12,1,0.0038620455825626636,0.0
S00056,0000011_18_45_11,1,0.005479796033864987,0.0024112401634015
S00057,0000014_24_59_15,1,0.012978254083638494,0.0
S00058,0000011_18_16_26,1,0.006714516775430954,0.0
S00059,0000013_13_17_27,1,0.005320361007928606,0.00240752581914
S00061,0000015_18_56_14,1,0.005409259207766606,0.0
S00062,0000015_15_42_16,1,0.0058364658497355015,0.0
S00063,0000015_18_44_28,1,0.00879761688251449,0.0
S00064,0000015_11_27_14,1,0.008888842345760362,0.0
S00065,0000015_13_43_15,1,0.008129547463524149,0.0
S00068,0000015_14_26_20,1,0.01109682510354313,0.0096413121496052
S00069,0000012_8_41_16,1,0.008338084262147875,0.0024141213958187
S00071,0000015_13_30_26,1,0.00770955941686423,0.0
S00072,0000012_10_49_25,1,0.004612785708318278,0.0
S00075,0000012_6_37_16,1,0.005154127413090187,0.0
S00079,0000012_4_27_19,1,0.010716521027976338,0.0
S00080,0000012_10_34_31,1,0.0016364563510781653,0.0024551575598599
S00081,0000012_5_31_25,1,0.006547297002283439,0.0048692551117381
S00084,0000004_21_17_18,1,0.012827896183999493,0.0
S00086,0000004_20_42_12,1,0.00806809577543486,0.0
S00087,0000005_13_32_29,1,0.0055708436018844145,0.0071833265884257
S00092,0000003_22_33_16,1,0.004987618676490379,0.0
S00096,0000004_19_42_16,1,0.008472797846200288,0.0
S00098,0000004_9_61_16,1,0.005681807188262565,0.0
S00099,0000005_7_33_16,1,0.007173428423858133,0.002429023161249
S00101,0000005_12_36_19,1,0.0019325532646002148,0.0047811447811447
S00103,0000003_18_48_19,1,0.009107029176876648,0.0023947190902958
S00106,0000005_18_38_23,1,0.006719223017214854,0.0
S00108,0000005_10_54_18,1,0.006063033780098064,0.0
S00109,0000006_11_43_18,1,0.0033559562039937245,0.0024466006035276
S00111,0000005_10_55_15,1,0.00562816440204333,0.0
S00113,0000005_11_51_20,1,0.009175616920220672,0.0
S00114,0000004_25_46_27,1,0.009863204230901323,0.0
S00116,0000006_5_51_22,1,0.002689268428493653,0.0
S00120,0000006_16_30_16,1,0.010128521670919668,0.0
S00121,0000005_17_50_27,1,0.008503683406862148,0.0
S00122,0000006_16_18_16,1,0.008053708518236146,0.0
S00123,0000006_24_29_23,1,0.00401699942889798,0.0120079634300735
S00124,0000005_17_31_19,1,0.010095907346282705,0.0
S00126,0000017_6_56_26,1,0.006762228874529156,0.0145181549966406
S00127,0000017_11_44_20,1,0.007538939493519494,0.0
S00128,0000017_19_43_26,1,0.005830822710713259,0.0023878847281078
S00129,0000017_24_13_21,1,0.0015310933181444197,0.0071621056878935
S00130,0000017_9_33_16,1,0.004159304541306642,0.0048756321399316
S00131,0000017_3_63_24,1,0.006661692126858352,0.0
S00132,0000017_9_37_26,1,0.00468135891738335,0.0
S00133,0000017_9_35_15,1,0.002834299186497564,0.0
S00134,0000017_11_39_25,1,0.00895482993654722,0.0
S00135,0000018_24_27_14,1,0.008760006960402467,0.0024002704530087
S00136,0000001_22_29_23,1,0.011613266146573178,0.0024124339857098
S00137,0000001_1_62_25,1,0.0040043268393223485,0.0
S00138,0000009_20_36_24,1,0.004481174008467058,0.0024209654634906
S00139,0000018_24_19_25,1,0.00869891825838277,0.0023857183316292
S00142,0000001_17_25_28,1,0.006794185508034388,0.0023883666839667
S00144,0000020_8_25_17,1,0.002246800014315472,0.0
S00145,0000001_17_60_25,1,0.006939597311095457,0.0048074365336157
S00146,0000001_1_48_16,1,0.006392029492404991,0.0
S00148,0000001_17_21_22,1,0.005769037020330357,0.0023848940713548
S00149,0000001_17_45_19,1,0.00624480655021213,0.0
S00150,0000020_10_45_21,1,0.00380780056199504,0.0024284534611569
S00151,0000001_9_37_22,1,0.005224217282059195,0.0
S00152,0000017_25_45_27,1,0.0007757528246329093,0.0
S00153,0000001_7_47_24,1,0.005269787293704661,0.0
S00154,0000001_15_48_24,1,0.007512987555787475,0.0024048348309115
S00155,0000001_10_39_13,1,0.0022999378627144565,0.0
S00156,0000001_11_25_17,1,0.006637764406078238,0.0
S00157,0000009_7_29_17,1,0.005775508204386847,0.0023905723905723
S00158,0000001_11_39_30,1,0.0038340854322314595,0.0
S00162,0000001_23_16_22,1,0.010818065340443727,0.0
S00164,0000017_19_41_12,1,0.0032519307626073216,0.0
S00165,0000001_23_55_25,1,0.0023831925884894036,0.0
S00166,0000001_23_33_21,1,0.0069830888114910256,0.0
S00168,0000007_10_25_22,1,0.002944628007664943,0.0044468304030778
S00169,0000007_5_44_15,1,0.0077951216498852735,0.002185201306724
S00170,0000007_5_32_12,1,0.00863835362944162,0.0
S00171,0000007_10_37_22,1,0.0026623257823116175,0.002232734493277
S00174,0000007_20_40_22,1,0.00654007175572638,0.0
S00175,0000007_21_46_13,1,0.006427890193577224,0.0
S00177,0000021_19_40_29,1,0.009343039042918815,0.0043713251623854
S00178,0000021_19_46_28,1,0.005564881143350313,0.0
S00180,0000021_22_54_28,1,0.003214956893780762,0.0
S00181,0000021_22_33_20,1,0.004707734190910313,0.0
S00183,0000021_22_55_14,1,0.007850754903125324,0.0
S00185,0000021_24_54_16,1,0.008418170324201304,0.0
S00186,0000021_25_55_25,1,0.002679584028597538,0.0
S00187,0000021_11_35_14,1,0.003036621852749241,0.0023849627379564
S00188,0000021_24_34_12,1,0.004780184380457069,0.0
S00189,0000021_11_40_25,1,0.0024805069983232114,0.0
S00191,0000021_9_31_21,1,0.007608843609497623,0.0
S00192,0000021_8_42_14,1,0.006679337977653297,0.0
S00193,0000021_9_17_24,1,0.007340584962027577,0.0
S00194,0000021_8_47_20,1,0.004117711382891107,0.0023942345675443
S00199,0000008_6_28_27,1,0.005635579602712495,0.0
S00201,0000008_6_35_28,1,0.003869445211316062,0.0
S00202,0000008_6_40_24,1,0.004649625905677011,0.0
S00205,0000008_24_19_24,1,0.009124760590075894,0.0024191978193146
S00206,0000016_3_14_20,1,0.0019278595370561308,0.0
S00207,0000016_3_47_21,1,0.007709124948008865,0.0024246859373094
S00208,0000008_12_60_17,1,0.005555124578261264,0.0
S00210,0000008_12_51_18,1,0.005848941064867161,0.0
S00211,0000016_15_26_16,1,0.007361742536195228,0.0024002356770644
S00214,0000002_16_54_27,1,0.00878856533423231,0.0
S00216,0000002_14_39_30,1,0.0041980939561356845,0.0
S00217,0000002_22_35_18,1,0.007282115065693606,0.0
S00218,0000004_22_56_15,1,0.00992691243542993,0.0
S00220,0000004_10_33_26,1,0.00509675857661016,0.0048111362800333
S00221,0000006_23_50_17,1,0.004734533814261626,0.0024405814181889
S00223,0000004_4_32_29,1,0.006704972331520312,0.0
S00226,0000004_4_37_16,1,0.0072407476943042275,0.0
S00227,0000009_6_47_25,1,0.004814298720791427,0.0
S00229,0000003_10_41_20,1,0.002620145568499681,0.0
S00233,0000011_23_16_18,1,0.0,0.0
S00237,0000011_19_38_25,1,0.002837157223353723,0.0
S00238,0000016_25_37_23,1,0.0003375263375290466,0.0
S00245,0000009_7_47_29,1,0.0058358159026400186,0.0
S00247,0000008_22_40_17,1,0.0043380817755410426,0.0
S00248,0000009_2_61_20,1,0.008456050324314061,0.0048394556829523
S00249,0000009_2_17_26,1,0.007720210158411169,0.0072902762090563
S00252,0000001_16_16_19,1,0.007537387176066827,0.0
S00253,0000008_14_19_17,1,0.007508243748283922,0.0
S00257,0000019_14_46_22,1,0.005719938984541971,0.0122792453576052
S00258,0000022_7_29_26,1,0.004453381746557256,0.004889013491513
S00259,0000022_6_51_28,1,0.006815553255897501,0.0
S00260,0000022_7_18_22,1,0.007910073032876207,0.0
S00261,0000022_6_22_20,1,0.008749426311935513,0.0
S00262,0000022_7_37_31,1,0.002324196344579025,0.0
S00264,0000022_6_30_20,1,0.0027434408518343637,0.0
S00265,0000022_5_40_28,1,0.008990111546965348,0.0021986286219862
S00267,0000022_3_51_13,1,0.009357141662700855,0.0022214176846302
S00268,0000022_7_32_31,1,0.004853087187869858,0.0
S00269,0000022_7_34_16,1,0.009572155560107706,0.0
S00270,0000022_7_23_24,1,0.006548558527273722,0.0021931566452205
S00271,0000022_1_58_22,1,0.006584813470909719,0.0
S00273,0000022_5_27_13,1,0.005043552451898412,0.0023947190902958
S00275,0000022_1_37_16,1,0.0017997841552411945,0.0
S00277,0000003_10_28_21,1,0.006841543428724824,0.0
S00278,0000003_10_58_21,1,0.009810114459780464,0.0024270303793883
S00283,0000012_21_38_24,1,0.0058102793302981445,0.0
S00284,0000012_15_62_18,1,0.010491984648116397,0.0
S00289,0000023_4_30_31,1,0.00140532182526972,0.0
S00290,0000023_12_31_31,1,0.006266335625319179,0.0024540301396377
