w_lgbm,w_et,w_enet,val_rmse
1.0,0.0,0.0,0.006011518409419386
0.975,0.0,0.025,0.006013148300050751
0.975,0.025,0.0,0.0060133985192255225
0.95,0.0,0.05,0.0060147977354160255
0.95,0.025,0.025,0.006015038894526587
0.95,0.05,0.0,0.006015288430559811
0.925,0.0,0.075,0.006016466699440437
0.925,0.025,0.05,0.006016698802687317
0.925,0.05,0.025,0.006016939281270793
0.925,0.075,0.0,0.006017188134186697
0.9,0.0,0.1,0.006018155175876834
0.9,0.025,0.075,0.006018378227545841
0.9,0.05,0.05,0.0060186096529115185
0.9,0.075,0.025,0.006018849451007959
0.9,0.1,0.0,0.006019097620834466
0.875,0.0,0.125,0.0060198631483064455
0.875,0.025,0.1,0.006020077152768401
0.875,0.05,0.075,0.0060202995292333574
0.875,0.075,0.05,0.006020530276773625
0.875,0.1,0.025,0.00602076939442673
