feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero
X1,0.0,0.0038116976108227333,0.0,False,False,True
X2,0.0,0.0025085562227558445,0.0,False,False,True
X4,0.0,0.002395957499793007,0.0,False,False,True
X5,0.0,0.0029095231829003748,0.0,False,False,True
X6,0.0,0.0016640781094719413,0.0,False,False,True
X7,0.0,0.0014195751334487713,0.0,False,False,True
X8,0.0,0.0018693956875457849,0.0,False,False,True
X9,0.0,0.001360401356386028,0.0,False,False,True
X10,0.0,0.0009164986734436257,0.0,False,False,True
X11,0.0,0.0005187118333991517,0.0,False,False,True
X12,0.0,0.0021295473560756146,0.0,False,False,True
X13,0.0,0.0007650475008389203,0.0,False,False,True
X14,0.0,0.001645158378469765,0.0,False,False,True
X15,0.0,0.001077680641083106,0.0,False,False,True
X16,0.0,0.0010092594865887168,0.0,False,False,True
X17,0.0,0.0018159152571737454,0.0,False,False,True
X18,0.0,0.0014621356846789319,0.0,False,False,True
X19,0.0,0.0007670360946774293,0.0,False,False,True
X20,0.0,0.0016551178679932812,0.0,False,False,True
X21,0.0,0.0007779184680332268,0.0,False,False,True
X22,0.0,0.001410045632498144,0.0,False,False,True
X23,0.0,0.0012255578365400089,0.0,False,False,True
X24,0.0,0.001138429684928821,0.0,False,False,True
X25,0.0,0.0008193424798172757,0.0,False,False,True
X27,0.0,0.0009097497518408043,0.0,False,False,True
X28,0.0,0.0016488909846319496,0.0,False,False,True
X29,0.0,0.001272218131371247,0.0,False,False,True
X30,0.0,0.001037224699189451,0.0,False,False,True
X31,0.0,0.0041610779031502725,0.0,False,False,True
X32,0.0,0.0016025825869293204,0.0,False,False,True
X33,0.0,0.0013686481470242208,0.0,False,False,True
X34,0.0,0.0014675768149986267,0.0,False,False,True
X35,0.0,0.0028185234878401995,0.0,False,False,True
X36,0.0,0.0016150162992502972,0.0,False,False,True
X37,0.0,0.0018472143753919211,0.0,False,False,True
X38,0.0,0.0014367694994455015,0.0,False,False,True
X39,0.0,0.0011527754827210363,0.0,False,False,True
X40,0.0,0.001084167180411214,0.0,False,False,True
X41,0.0,0.0010065651814098525,0.0,False,False,True
X42,0.0,0.0009434367576328206,0.0,False,False,True
X45,0.0,0.0009425541626464282,0.0,False,False,True
X46,0.0,0.0010587877277148001,0.0,False,False,True
X47,0.0,0.001813915748388542,0.0,False,False,True
X48,0.0,0.0019880737389666512,0.0,False,False,True
X49,0.0,0.001846553192960254,0.0,False,False,True
X50,0.0,0.0014139654774398618,0.0,False,False,True
X51,0.0,0.001054853089467759,0.0,False,False,True
X52,0.0,0.002418473072950642,0.0,False,False,True
X53,0.0,0.0016075987128200038,0.0,False,False,True
X54,0.0,0.0009879253607965213,0.0,False,False,True
X55,0.0,0.0009673389961736501,0.0,False,False,True
X56,0.0,0.0018842261802297095,0.0,False,False,True
X57,0.0,0.0013293189864778615,0.0,False,False,True
X58,0.0,0.0011862111897103617,0.0,False,False,True
X59,0.0,0.0016040607720723785,0.0,False,False,True
X60,0.0,0.0013469294994278439,0.0,False,False,True
X61,0.0,0.0009953111052993173,0.0,False,False,True
X62,0.0,0.000691407119094853,0.0,False,False,True
X63,0.0,0.0032893963752021306,0.0,False,False,True
X64,0.0,0.0009258466505122178,0.0,False,False,True
X65,0.0,0.0004786080903629697,0.0,False,False,True
X66,0.0,0.0018416651485197097,0.0,False,False,True
X67,0.0,0.0015509185227228519,0.0,False,False,True
X68,0.0,0.0030445192496078395,0.0,False,False,True
X69,0.0,0.0021126991504164757,0.0,False,False,True
X70,0.0,0.001032252455739117,0.0,False,False,True
X71,0.0,0.0007865089577661424,0.0,False,False,True
X72,0.0,0.0015172030514619662,0.0,False,False,True
X73,0.0,0.0011088256409803308,0.0,False,False,True
X74,0.0,0.0016226212825214137,0.0,False,False,True
X75,0.0,0.0013741959637105874,0.0,False,False,True
X76,0.0,0.0012977447949593058,0.0,False,False,True
X77,0.0,0.0011344525665998723,0.0,False,False,True
X78,0.0,0.0007823998434353921,0.0,False,False,True
X79,0.0,0.0008171219919531111,0.0,False,False,True
X80,0.0,0.0011001689624318052,0.0,False,False,True
X81,0.0,0.0009254996801682531,0.0,False,False,True
X82,0.0,0.000932583652411443,0.0,False,False,True
X83,0.0,0.0012334854891373076,0.0,False,False,True
X84,0.0,0.0010245396826281253,0.0,False,False,True
X85,0.0,0.0021037211725559463,0.0,False,False,True
X86,0.0,0.0006071644309295075,0.0,False,False,True
X91,0.0,0.0010021799199049673,0.0,False,False,True
X95,0.0,0.000961779440143701,0.0,False,False,True
X104,0.0,0.00040047763598802054,0.0,False,False,True
X105,0.0,0.0013778039075972675,0.0,False,False,True
X106,0.0,0.0012301392572831213,0.0,False,False,True
X107,0.0,0.0005166556002206599,0.0,False,False,True
X108,0.0,0.0005199683322447953,0.0,False,False,True
X109,0.0,0.0005934257615403343,0.0,False,False,True
X110,0.0,0.0004663232889524126,0.0,False,False,True
X111,0.0,0.0006562057282447503,0.0,False,False,True
X112,0.0,0.0015753550609123312,0.0,False,False,True
X113,0.0,0.002033257427019438,0.0,False,False,True
X114,0.0,0.0011869428002055835,0.0,False,False,True
X115,0.0,0.001736746195052408,0.0,False,False,True
X116,0.0,0.0016963773292830414,0.0,False,False,True
X119,0.0,0.001198427581724505,0.0,False,False,True
X120,0.0,0.0006912996596031012,0.0,False,False,True
X121,0.0,0.0024867385671684477,0.0,False,False,True
X122,0.0,0.0011322846659335443,0.0,False,False,True
X123,0.0,0.0014139319390385264,0.0,False,False,True
X125,0.0,0.0016842492594568287,0.0,False,False,True
X126,0.0,0.0005395497348035612,0.0,False,False,True
X127,0.0,0.0019459130817538286,0.0,False,False,True
X128,0.0,0.0010820593314401507,0.0,False,False,True
X130,0.0,0.0009510500303809335,0.0,False,False,True
X131,0.0,0.0010379541640825757,0.0,False,False,True
X132,0.0,0.0005416746289408039,0.0,False,False,True
X133,0.0,0.0006129100263234482,0.0,False,False,True
X134,0.0,0.0012082297921184623,0.0,False,False,True
X135,0.0,0.0011132419332903962,0.0,False,False,True
X136,0.0,0.0009014516995054855,0.0,False,False,True
X137,0.0,0.0006416675618836996,0.0,False,False,True
X138,0.0,0.0005366778839735258,0.0,False,False,True
X139,0.0,0.0007424412569886892,0.0,False,False,True
X140,0.0,0.0006954984877960002,0.0,False,False,True
X141,0.0,0.0005634356155771591,0.0,False,False,True
X142,0.0,0.001593715114699825,0.0,False,False,True
X143,0.0,0.0008870778381130882,0.0,False,False,True
X144,0.0,0.00040344826660015183,0.0,False,False,True
X145,0.0,0.0006563849895885624,0.0,False,False,True
X146,0.0,0.00039343722878573955,0.0,False,False,True
X147,0.0,0.0009882589958390144,0.0,False,False,True
X148,0.0,0.0013764423995864582,0.0,False,False,True
X150,0.0,0.001400695987119593,0.0,False,False,True
X151,0.0,0.0016118263183192388,0.0,False,False,True
X153,0.0,0.000801218537047284,0.0,False,False,True
X155,0.0,0.0023775809506503425,0.0,False,False,True
X156,0.0,0.0009053644366856187,0.0,False,False,True
X158,0.0,0.001190495370609901,0.0,False,False,True
X160,0.0,0.001513999093132015,0.0,False,False,True
X161,0.0,0.0015652281542630486,0.0,False,False,True
X164,0.0,0.0005691477083510981,0.0,False,False,True
X165,0.0,0.0006727541847413555,0.0,False,False,True
X166,0.0,0.0006020947835360989,0.0,False,False,True
X167,0.0,0.0004402171301471303,0.0,False,False,True
X168,0.0,0.0011171209160922987,0.0,False,False,True
X171,0.0,0.0005214069076637535,0.0,False,False,True
X172,0.0,0.000917387923302125,0.0,False,False,True
X173,0.0,0.0015874290563277229,0.0,False,False,True
X174,0.0,0.0009724352972621357,0.0,False,False,True
X175,0.0,0.0006111793998440442,0.0,False,False,True
X176,0.0,0.0005956758070440237,0.0,False,False,True
X178,0.0,0.001018230325654581,0.0,False,False,True
X179,0.0,0.0011119631419391595,0.0,False,False,True
X180,0.0,0.000882848580242274,0.0,False,False,True
X182,0.0,0.002036915002218693,0.0,False,False,True
X183,0.0,0.0012260156537471816,0.0,False,False,True
X185,0.0,0.0016180976744248142,0.0,False,False,True
X186,0.0,0.0015542844567135972,0.0,False,False,True
X187,0.0,0.001032411783844311,0.0,False,False,True
X188,0.0,0.0009904231987835487,0.0,False,False,True
X190,0.0,0.0013100696839148068,0.0,False,False,True
X191,0.0,0.0008132378077280754,0.0,False,False,True
X192,0.0,0.000601373690025073,0.0,False,False,True
X193,0.0,0.001066353536891378,0.0,False,False,True
X194,0.0,0.0011840320772730623,0.0,False,False,True
X195,0.0,0.0005202638822136877,0.0,False,False,True
X196,0.0,0.0009978213966942444,0.0,False,False,True
X197,0.0,0.0006961834710775594,0.0,False,False,True
X199,0.0,0.0007096427539893024,0.0,False,False,True
X200,0.0,0.0020136510768123737,0.0,False,False,True
X202,0.0,0.001167257450752449,0.0,False,False,True
X203,0.0,0.0007260951363139873,0.0,False,False,True
X204,0.0,0.0008081970525614773,0.0,False,False,True
X205,0.0,0.0006028353990476388,0.0,False,False,True
X206,0.0,0.0013084738067798544,0.0,False,False,True
X207,0.0,0.0007653688447571184,0.0,False,False,True
X208,0.0,0.0011971255552080766,0.0,False,False,True
X209,0.0,0.0008597149161962825,0.0,False,False,True
X210,0.0,0.000995456982951484,0.0,False,False,True
X211,0.0,0.0007246559092185218,0.0,False,False,True
X213,0.0,0.0014354990396680642,0.0,False,False,True
X214,0.0,0.0006495583707463552,0.0,False,False,True
X216,0.0,0.0009282697189257965,0.0,False,False,True
X222,0.0,0.000809093015213681,0.0,False,False,True
X225,0.0,0.003020911591607585,0.0,False,False,True
X229,0.0,0.0015293877134676605,0.0,False,False,True
X235,0.0,0.0019020979399142033,0.0,False,False,True
X240,0.0,0.0017774410150044658,0.0,False,False,True
X241,0.0,0.0007448429814168234,0.0,False,False,True
X245,0.0,0.0013749944218921267,0.0,False,False,True
X247,0.0,0.0025845381811382072,0.0,False,False,True
X250,0.0,0.0010496162576605044,0.0,False,False,True
X251,0.0,0.0017563563275580791,0.0,False,False,True
X253,0.0,0.001048587192521086,0.0,False,False,True
X254,0.0,0.0021924142702744957,0.0,False,False,True
X259,0.0,0.000937856940118339,0.0,False,False,True
X260,0.0,0.000815041287668518,0.0,False,False,True
