ufs_serial,position,split,health,reg_pred_die
S00000,1,train,0.0,0.0008750414678737476
S00004,1,train,0.0,0.000398755791417938
S00009,1,train,0.0,0.0012063993194220003
S00012,1,train,0.0,0.000611455797718541
S00013,1,train,0.0,0.0005712273522992478
S00017,1,train,0.0,0.0022102866685784414
S00024,1,train,0.0,0.002581515941068311
S00027,1,train,0.0,0.002647009572199405
S00029,1,train,0.0,0.0023719157572947443
S00031,1,train,0.0,0.0023802296789520363
S00034,1,train,0.0,0.0024536176791680785
S00039,1,train,0.0024294149851399,0.0024104039769818797
S00041,1,train,0.0024488066378919,0.0028493435792145637
S00043,1,train,0.0,0.0018313643265509213
S00044,1,train,0.0,0.002461236874844094
S00047,1,train,0.0024454088310256,0.002083472516617306
S00051,1,train,0.0023918839575332,0.001919349952365561
S00052,1,train,0.0,0.0022151788902299093
S00056,1,train,0.0024112401634015,0.002424909466506376
S00059,1,train,0.00240752581914,0.0020983060303269145
S00063,1,train,0.0,0.0018493352511612885
S00064,1,train,0.0,0.002176233172318403
S00068,1,train,0.0096413121496052,0.002089060367973585
S00071,1,train,0.0,0.0028808220210588486
S00072,1,train,0.0,0.0025707116884806955
S00079,1,train,0.0,0.002074350553880428
S00080,1,train,0.0024551575598599,0.002699301796458533
S00084,1,train,0.0,0.002446548058229591
S00087,1,train,0.0071833265884257,0.002691506628373286
S00098,1,train,0.0,0.0026517722453453904
S00101,1,train,0.0047811447811447,0.0021547404454817596
S00106,1,train,0.0,0.0028502865173898177
S00108,1,train,0.0,0.0027771973699443194
S00109,1,train,0.0024466006035276,0.0022748043637280274
S00111,1,train,0.0,0.0028147275651427307
S00121,1,train,0.0,0.0026899021280044942
S00124,1,train,0.0,0.0029273342769259927
S00128,1,train,0.0023878847281078,0.00183751625037673
S00132,1,train,0.0,0.0021759046899701468
S00136,1,train,0.0024124339857098,0.0026115486262477464
S00137,1,train,0.0,0.0022180081966943982
S00138,1,train,0.0024209654634906,0.0021893710925462197
S00142,1,train,0.0023883666839667,0.002442184391672532
S00144,1,train,0.0,0.0019879287921291465
S00146,1,train,0.0,0.0022598134877125733
S00148,1,train,0.0023848940713548,0.002232283683440528
S00151,1,train,0.0,0.0021295620260099427
S00153,1,train,0.0,0.0018784269047043335
S00155,1,train,0.0,0.0020271072618688922
S00156,1,train,0.0,0.0025179850216538293
S00158,1,train,0.0,0.0018640395184907302
S00162,1,train,0.0,0.002061444859700953
S00164,1,train,0.0,0.0018383122262868418
S00168,1,train,0.0044468304030778,0.0027909190614224984
S00171,1,train,0.002232734493277,0.0027444564381388223
S00175,1,train,0.0,0.002434380200511462
S00178,1,train,0.0,0.0018992692084479751
S00181,1,train,0.0,0.0017708493041738293
S00183,1,train,0.0,0.001995747075405983
S00187,1,train,0.0023849627379564,0.001936047270411341
S00189,1,train,0.0,0.0014474589373249514
S00192,1,train,0.0,0.0018501838684439325
S00201,1,train,0.0,0.0027617074054914923
S00202,1,train,0.0,0.0025330548474653733
S00205,1,train,0.0024191978193146,0.0025106049782570266
S00206,1,train,0.0,0.0021156929857163217
S00207,1,train,0.0024246859373094,0.0023516856693898093
S00210,1,train,0.0,0.0021063674336087575
S00211,1,train,0.0024002356770644,0.0027480021743172506
S00214,1,train,0.0,0.00238409517054925
S00217,1,train,0.0,0.002015975819092176
S00220,1,train,0.0048111362800333,0.0031521112355566306
S00221,1,train,0.0024405814181889,0.0027175194807939405
S00237,1,train,0.0,0.0024654167109926196
S00238,1,train,0.0,0.0021572333599526
S00247,1,train,0.0,0.002055334733641518
S00248,1,train,0.0048394556829523,0.0027847449270574
S00260,1,train,0.0,0.002887711422341229
S00264,1,train,0.0,0.0024425863707331352
S00269,1,train,0.0,0.0026035202401471606
S00273,1,train,0.0023947190902958,0.0015718550112864538
S00275,1,train,0.0,0.0020681009657422746
S00277,1,train,0.0,0.0031485786578528516
S00278,1,train,0.0024270303793883,0.0027488575546331566
S00289,1,train,0.0,0.0020033187657823885
S00294,1,train,0.0,0.002454404676251077
S00296,1,train,0.0,0.0028519516309808033
S00297,1,train,0.0048750582407611,0.00249709045430783
S00308,1,train,0.0,0.002116357481298109
S00309,1,train,0.0021791077496437,0.0022060983257297636
S00310,1,train,0.0156605896916497,0.0023463119311311173
S00311,1,train,0.0,0.002221409753713911
S00316,1,train,0.0,0.0019269562172033745
S00325,1,train,0.0,0.0021768078490230994
S00327,1,train,0.0044787484736659,0.0018592589404413176
S00331,1,train,0.0,0.002320708685292053
S00332,1,train,0.0,0.0022493312911495813
S00340,1,train,0.0,0.0026242134281479357
S00343,1,train,0.0071593200806683,0.0018732350805015033
S00347,1,train,0.0,0.002364052621665212
S00352,1,train,0.0,0.002006661419451082
S00356,1,train,0.0,0.002116782091384729
S00357,1,train,0.0,0.0025651012210216413
S00358,1,train,0.0,0.002417147680748705
S00360,1,train,0.0,0.0027033664097390526
S00362,1,train,0.0,0.002536143310132968
S00363,1,train,0.0,0.002660838257429039
S00369,1,train,0.0,0.002812539653750372
S00371,1,train,0.0087046378029984,0.002402746574816238
S00379,1,train,0.0024318042813455,0.0021825545513857797
S00380,1,train,0.0,0.002454587330319851
S00396,1,train,0.0,0.0028011794481295057
S00400,1,train,0.0,0.0028898647339759536
S00403,1,train,0.0043498619334567,0.0022073418424135515
S00405,1,train,0.0,0.0020704216592563416
S00408,1,train,0.0022408584697236,0.0023039626608557964
S00409,1,train,0.002175502182068,0.002700323080598786
S00411,1,train,0.0,0.0009405454684353723
S00412,1,train,0.0,0.000438298700471131
S00416,1,train,0.0,0.0019755510405882575
S00420,1,train,0.0067010031280336,0.002926137400683216
S00430,1,train,0.0065350023668016,0.002816413900130123
S00434,1,train,0.002191705914519,0.0025246206189113098
S00436,1,train,0.0,0.0027215991964344094
S00439,1,train,0.0,0.0025850801594022614
S00441,1,train,0.0,0.0009832217559607415
S00446,1,train,0.0,0.002207294124828154
S00450,1,train,0.0,0.0026524587562259173
S00456,1,train,0.0,0.0022006957846495826
S00457,1,train,0.0047714366632584,0.0022035821072271646
S00461,1,train,0.0,0.0018014463747126482
S00464,1,train,0.0,0.0008791213501163433
S00465,1,train,0.0,0.0022722387381068315
S00467,1,train,0.0047907539412867,0.002117306045075067
S00472,1,train,0.0,0.0024680951671136524
S00473,1,train,0.0,0.0014225293021661476
S00475,1,train,0.0,0.002249799200056169
S00476,1,train,0.0048258518065386,0.0017184425681715145
S00483,1,train,0.0,0.0016607296574071486
S00484,1,train,0.0,0.0025221428513294434
S00485,1,train,0.0,0.002141073844455386
S00487,1,train,0.0047925556278778,0.001713645656973733
S00491,1,train,0.0,0.0014852384237595507
S00498,1,train,0.0,0.0020029016206035985
S00499,1,train,0.0,0.001974860447911828
S00503,1,train,0.0,0.002369559949476606
S00513,1,train,0.0,0.002217163913952731
S00516,1,train,0.0,0.0025246037977886197
S00518,1,train,0.0,0.0024891872754350237
S00519,1,train,0.0,0.0027165221530844816
S00521,1,train,0.004380398378283,0.00233759178298248
S00522,1,train,0.0,0.0021971716199903624
S00531,1,train,0.0,0.0016216635840402853
S00537,1,train,0.0,0.0023538630947516877
S00540,1,train,0.0043980160257686,0.0024935265344987363
S00543,1,train,0.0024125042473666,0.00244657214130728
S00551,1,train,0.0,0.002162061157668403
S00552,1,train,0.0021787351938066,0.0020475008943445184
S00553,1,train,0.0,0.00253997718187444
S00554,1,train,0.0,0.002576352129636716
S00557,1,train,0.0086994954467681,0.002092461350177484
S00559,1,train,0.0,0.0028296949948628247
S00561,1,train,0.0,0.0029111374197030243
S00564,1,train,0.0,0.00262555851098082
S00565,1,train,0.0,0.0025275409829307242
S00566,1,train,0.0,0.0020368434991704675
S00567,1,train,0.0,0.0023357129860067326
S00570,1,train,0.0022028091356744,0.00047688292001189987
S00571,1,train,0.0,0.0009937914826566383
S00577,1,train,0.0,0.000777594822650537
S00580,1,train,0.0022136704169895,0.0020479939092466013
S00584,1,train,0.0,0.0011736356352934829
S00586,1,train,0.0,0.001401491864769541
S00587,1,train,0.0,0.0011823254162051308
S00588,1,train,0.0,0.0019403758795743817
S00598,1,train,0.0,0.0013846835610069822
S00599,1,train,0.0,0.0020434245987411286
S00603,1,train,0.0,0.001185661346666953
S00612,1,train,0.0,0.002694673609524987
S00618,1,train,0.0,0.002968245191960449
S00621,1,train,0.0,0.0024440544022097605
