ufs_serial,position,split,health,clf_proba_mean,lds_weight
S00000,1,train,0.0,0.13606120251826473,
S00002,1,train,0.0,0.14781157201006362,
S00003,1,train,0.0,0.2462629739046149,
S00004,1,train,0.0,0.09354579897109556,
S00009,1,train,0.0,0.15516932590538013,
S00012,1,train,0.0,0.13610694452916505,
S00013,1,train,0.0,0.09206938627952388,
S00015,1,train,0.0,0.400256452804537,
S00017,1,train,0.0,0.347779876408808,
S00018,1,train,0.0,0.3713197810144841,
S00020,1,train,0.0,0.3955456918724791,
S00021,1,train,0.0,0.5182254680855071,
S00022,1,train,0.0,0.294687000288738,
S00023,1,train,0.0,0.40111780342188563,
S00024,1,train,0.0,0.4695962693022287,
S00025,1,train,0.0,0.4431773323015363,
S00026,1,train,0.0,0.44678892521000746,
S00027,1,train,0.0,0.4502620064580998,
S00028,1,train,0.0,0.46095082753672106,
S00029,1,train,0.0,0.3804704425166315,
S00031,1,train,0.0,0.4667880280842511,
S00032,1,train,0.0024556306573382,0.49554416806642626,
S00034,1,train,0.0,0.4647624848709588,
S00035,1,train,0.0,0.5098237769197331,
S00037,1,train,0.0024203995363741,0.4363959741345857,
S00038,1,train,0.0,0.4699059720908254,
S00039,1,train,0.0024294149851399,0.31005437729216817,
S00041,1,train,0.0024488066378919,0.4609829987797369,
S00042,1,train,0.0024355223631917,0.47429093378788706,
S00043,1,train,0.0,0.3321877906931319,
S00044,1,train,0.0,0.3211841791182853,
S00047,1,train,0.0024454088310256,0.40158723023023724,
S00049,1,train,0.0,0.33384377926468023,
S00051,1,train,0.0023918839575332,0.33983947082137167,
S00052,1,train,0.0,0.3680105381172223,
S00056,1,train,0.0024112401634015,0.4108590001780659,
S00057,1,train,0.0,0.2949609773064609,
S00058,1,train,0.0,0.4753370758905649,
S00059,1,train,0.00240752581914,0.3688253568385494,
S00061,1,train,0.0,0.4057606528737076,
S00062,1,train,0.0,0.38075011764930927,
S00063,1,train,0.0,0.3774804926856659,
S00064,1,train,0.0,0.3921971810214597,
