ufs_serial,position,split,health,reg_pred_die
S00000,1,train,0.0,0.0011531792247062396
S00002,1,train,0.0,0.0012477629085361392
S00003,1,train,0.0,0.0020865770080861845
S00004,1,train,0.0,0.0007989011419508008
S00009,1,train,0.0,0.0013050418071718817
S00012,1,train,0.0,0.0011535669085991514
S00013,1,train,0.0,0.0007772109020223022
S00015,1,train,0.0,0.0033913580207293563
S00017,1,train,0.0,0.0029701145691893075
S00018,1,train,0.0,0.0031229615468543305
S00020,1,train,0.0,0.003352425716127031
S00021,1,train,0.0,0.004374640689782054
S00022,1,train,0.0,0.002496871980529773
S00023,1,train,0.0,0.003425631880161259
S00024,1,train,0.0,0.003949509739476836
S00025,1,train,0.0,0.003756125059987328
S00026,1,train,0.0,0.00377160354389451
S00027,1,train,0.0,0.003815053214837418
S00028,1,train,0.0,0.003936618710328604
S00029,1,train,0.0,0.0031999226069987993
S00031,1,train,0.0,0.003956236211098395
S00032,1,train,0.0024556306573382,0.0041831747274333
S00034,1,train,0.0,0.003937915228492141
S00035,1,train,0.0,0.004354004156837606
S00037,1,train,0.0024203995363741,0.003670280755581905
S00038,1,train,0.0,0.003982662173721327
S00039,1,train,0.0024294149851399,0.0026173481977994064
S00041,1,train,0.0024488066378919,0.0039058917835735414
S00042,1,train,0.0024355223631917,0.004050546072487267
S00043,1,train,0.0,0.0027938444158154873
S00044,1,train,0.0,0.002722178812243074
S00047,1,train,0.0024454088310256,0.003390029911791595
S00049,1,train,0.0,0.0028286459107575456
S00051,1,train,0.0023918839575332,0.0029023018062311816
S00052,1,train,0.0,0.003095129368646334
S00056,1,train,0.0024112401634015,0.003482212816877913
S00057,1,train,0.0,0.002489936085136244
S00058,1,train,0.0,0.004027513344447531
S00059,1,train,0.00240752581914,0.0031498474757778623
S00061,1,train,0.0,0.00341262432259613
S00062,1,train,0.0,0.003227026642063517
S00063,1,train,0.0,0.0031865310074440808
S00064,1,train,0.0,0.0033230721110050617
S00065,1,train,0.0,0.0034537992297753502
S00068,1,train,0.0096413121496052,0.003398881176458502
S00069,1,train,0.0024141213958187,0.003335232237676091
S00071,1,train,0.0,0.00419727021503499
