ufs_serial,position,split,health,reg_pred_die
S00000,1,train,0.0,0.0011447581454024055
S00002,1,train,0.0,0.0012443632728095983
S00003,1,train,0.0,0.002083020828836098
S00004,1,train,0.0,0.0008041742022584167
S00009,1,train,0.0,0.0012870075739853325
S00012,1,train,0.0,0.001145632953994201
S00013,1,train,0.0,0.0007886428693382456
S00015,1,train,0.0,0.0034383847854554494
S00017,1,train,0.0,0.003014465317896208
S00018,1,train,0.0,0.003162917334344877
S00020,1,train,0.0,0.0033441977032789443
S00021,1,train,0.0,0.004345488025644311
S00022,1,train,0.0,0.002497109318643701
S00023,1,train,0.0,0.0034483737742384843
S00024,1,train,0.0,0.003997645045959679
S00025,1,train,0.0,0.003728416351214865
S00026,1,train,0.0,0.0036935255933979116
S00027,1,train,0.0,0.0037946499198208143
S00028,1,train,0.0,0.003950165151448563
S00029,1,train,0.0,0.0032643573097426728
S00031,1,train,0.0,0.003955562997411688
S00032,1,train,0.0024556306573382,0.004135998012567058
S00034,1,train,0.0,0.0039337501231891565
S00035,1,train,0.0,0.004402630886153675
S00037,1,train,0.0024203995363741,0.003649291342478964
S00038,1,train,0.0,0.003980711795630112
S00039,1,train,0.0024294149851399,0.0026139769273661145
S00041,1,train,0.0024488066378919,0.004008852867464162
S00042,1,train,0.0024355223631917,0.004006138473688625
S00043,1,train,0.0,0.0027904862257353683
S00044,1,train,0.0,0.0027488076672858115
S00047,1,train,0.0024454088310256,0.003444640967072371
S00049,1,train,0.0,0.0029416971204660578
S00051,1,train,0.0023918839575332,0.0028807361288510714
S00052,1,train,0.0,0.00307178262666499
S00056,1,train,0.0024112401634015,0.0035131356783374926
S00057,1,train,0.0,0.002548963800765894
S00058,1,train,0.0,0.003970675133873261
S00059,1,train,0.00240752581914,0.0031781147918144774
S00061,1,train,0.0,0.0034983532937289128
S00062,1,train,0.0,0.0032202190818001798
S00063,1,train,0.0,0.0031743998643244875
S00064,1,train,0.0,0.003350444374486292
S00065,1,train,0.0,0.003492220976986405
S00068,1,train,0.0096413121496052,0.0033915340887560688
S00069,1,train,0.0024141213958187,0.0033520800227220273
S00071,1,train,0.0,0.004270571374240757
S00072,1,train,0.0,0.0037080581827696347
S00075,1,train,0.0,0.003091135984013927
S00079,1,train,0.0,0.0034014856841934203
