split,model,p50,p95,p99,max
oof,zit_only,0.0025689452716277,0.0035488351827784,0.0037230831584165597,0.0040946970501224
oof,bag_zit_combined_best,0.0024172870017533,0.0037638376807684,0.004209272441566118,0.0066243871937478
oof,bag_zit_combined_best_xy,0.002410911609257,0.0037824469474092,0.004231440957308619,0.0067559432701803
oof,bag_zit_pp_hpo,0.0025563102916199,0.0035351538939332,0.0037430920117369378,0.0045569830633244
oof,bag_zit_hpo,0.0025207218879932,0.0033648056012754,0.0037102976816146935,0.0072958411565032
oof,bag_zit_fixed_ge,0.0024169848920343,0.0041039820604265,0.0045016060741890785,0.0054603433117287
oof,lgbm,0.00242880860426,0.0035680049328476,0.0039336864961509194,0.0052581821244909
oof,enet,0.0024347194952845,0.0034252933807881,0.0037874691219550584,0.0046799232917425
oof,et,0.0025027907490008,0.0031569461007071,0.0034371404572215397,0.0041833215172106
oof,catboost,0.0024389501483172,0.0037057872663688,0.004196830576822898,0.0060559107510577
oof,_stacking,0.0027318064340294,0.0036352376975162,0.0038969801117540795,0.0069111505616829
val,zit_only,0.00256253551974895,0.00351478834132907,0.0036749854725927067,0.003900567719194
val,bag_zit_combined_best,0.0024267324208985,0.0036737428927161994,0.004029275009333729,0.0046014919824943
val,bag_zit_combined_best_xy,0.0024370365415372,0.003674527354629525,0.004018644900894323,0.0047682324254864
val,bag_zit_pp_hpo,0.0025539491174245,0.00350936318944923,0.003661171387686481,0.003946023935318
val,bag_zit_hpo,0.00253593873639185,0.003318865869589075,0.0035605383353688037,0.0045392948898045
val,bag_zit_fixed_ge,0.00241314573821935,0.003998790908831374,0.004327588516434217,0.0048179798179212
val,lgbm,0.002443771859777,0.003524778676418215,0.003820199688759881,0.0048939403988027
val,enet,0.0024434777571648,0.003416504241570774,0.003722161523142767,0.0043441893133816
val,et,0.0025179930558488503,0.003138777462525885,0.0033846920393945414,0.0039745273157723
val,catboost,0.0024579053053727998,0.0036228024500945346,0.00401235509327223,0.005351880894452
val,_stacking,0.00274248712112095,0.00357852025970752,0.003756070217740859,0.0044160662219227
