split,model,rmse_orig,rmse_corr,delta
oof,zit_only,0.008245640339027988,0.002268198240953213,-0.005977442098074775
oof,bag_zit_combined_best,0.008250703897255685,0.0022286317799354513,-0.006022072117320233
oof,bag_zit_combined_best_xy,0.008251456908979833,0.002230823073627155,-0.006020633835352679
oof,bag_zit_pp_hpo,0.008245016317231098,0.002197455934660118,-0.0060475603825709805
oof,bag_zit_hpo,0.008244362529838624,0.0021721270004824737,-0.0060722355293561505
oof,bag_zit_fixed_ge,0.008252806711804547,0.002342917686729502,-0.005909889025075045
oof,lgbm,0.00825712768424227,0.0021839868194809997,-0.006073140864761271
oof,enet,0.008285523037170617,0.002103097666089322,-0.006182425371081294
oof,et,0.008269396990101855,0.002069304217602188,-0.006200092772499667
oof,catboost,0.008259275834240328,0.0022153736841145732,-0.006043902150125754
oof,_stacking,0.008237204070188847,0.0022326505883134983,-0.00600455348187535
val,zit_only,0.00570891991816085,0.0024300967699230815,-0.0032788231482377686
val,bag_zit_combined_best,0.005710229169982951,0.002397968117378137,-0.003312261052604814
val,bag_zit_combined_best_xy,0.005711802775220742,0.0023979425549221886,-0.0033138602202985533
val,bag_zit_pp_hpo,0.005712059642231358,0.0023710530575279908,-0.003341006584703367
val,bag_zit_hpo,0.0057112560796865495,0.0023483377821020947,-0.003362918297584455
val,bag_zit_fixed_ge,0.005717112590472099,0.002495340543877094,-0.003221772046595005
val,lgbm,0.005731161224522776,0.0023591901315065866,-0.003371971093016189
val,enet,0.005781420938297365,0.0022906102627692306,-0.0034908106755281343
val,et,0.005757863785338338,0.0022537491336862303,-0.0035041146516521077
val,catboost,0.005730597891376354,0.002380600977936879,-0.003349996913439475
val,_stacking,0.005701225411726696,0.0023998885681567658,-0.0033013368435699303
