split,model,segment,n_corrected,bias,rmse_orig,rmse_corr,delta
oof,zit_only,y=0,18541,0.0021547167577530965,0.008245640339027988,0.008043840629086026,-0.0002017997099419619
oof,zit_only,very_small,3061,-5.4201556370538655e-05,0.008245640339027988,0.008245619515838031,-2.0823189957053234e-08
oof,zit_only,small,2239,-0.004445039867254242,0.008245640339027988,0.008142556999075453,-0.00010308333995253521
oof,zit_only,medium,2326,-0.01365757500620354,0.008245640339027988,0.007170951399613641,-0.0010746889394143474
oof,zit_only,large,19,-0.06682390407408142,0.008245640339027988,0.008046781037899268,-0.00019885930112872006
oof,zit_only,extreme,1,-0.9983505413016952,0.008245640339027988,0.00547079239840797,-0.002774847940620018
oof,bag_zit_combined_best,y=0,18541,0.0022172507349486623,0.008250703897255685,0.008036997650049189,-0.00021370624720649586
oof,bag_zit_combined_best,very_small,3061,-5.894198083088827e-05,0.008250703897255685,0.008250679287534932,-2.4609720752563624e-08
oof,bag_zit_combined_best,small,2239,-0.004445903405120906,0.008250703897255685,0.008147644336797395,-0.00010305956045828998
oof,bag_zit_combined_best,medium,2326,-0.013671676364979138,0.008250703897255685,0.007174388038095324,-0.0010763158591603605
oof,bag_zit_combined_best,large,19,-0.06679426301989051,0.008250703897255685,0.008052148090793297,-0.00019855580646238775
oof,bag_zit_combined_best,extreme,1,-0.9988200421506995,0.008250703897255685,0.005475152312279249,-0.0027755515849764356
oof,bag_zit_combined_best_xy,y=0,18541,0.0022190690445879446,0.008251456908979833,0.008037415393424993,-0.00021404151555484002
oof,bag_zit_combined_best_xy,very_small,3061,-5.711955530120102e-05,0.008251456908979833,0.008251433799658411,-2.310932142174371e-08
oof,bag_zit_combined_best_xy,small,2239,-0.004449702856025097,0.008251456908979833,0.008148229548792725,-0.00010322736018710844
oof,bag_zit_combined_best_xy,medium,2326,-0.013669364853343196,0.008251456908979833,0.007175645166772016,-0.0010758117422078172
oof,bag_zit_combined_best_xy,large,19,-0.06680579094489751,0.008251456908979833,0.008052850287505959,-0.00019860662147387458
oof,bag_zit_combined_best_xy,extreme,1,-0.9988013488818946,0.008251456908979833,0.005476417181036319,-0.0027750397279435145
oof,bag_zit_pp_hpo,y=0,18541,0.002248171139927745,0.008245016317231098,0.008025070209993197,-0.00021994610723790123
oof,bag_zit_pp_hpo,very_small,3061,-5.492974130047446e-05,0.008245016317231098,0.008244994929154202,-2.1388076896361463e-08
oof,bag_zit_pp_hpo,small,2239,-0.004443406922278899,0.008245016317231098,0.008142001285729747,-0.00010301503150135158
oof,bag_zit_pp_hpo,medium,2326,-0.013657914729455312,0.008245016317231098,0.007170176371457508,-0.0010748399457735898
oof,bag_zit_pp_hpo,large,19,-0.06680827167584094,0.008245016317231098,0.008046235779056315,-0.00019878053817478335
oof,bag_zit_pp_hpo,extreme,1,-0.9985631621705545,0.008245016317231098,0.005468369531945619,-0.002776646785285479
oof,bag_zit_hpo,y=0,18541,0.002205262254264066,0.008244362529838624,0.008032824458107575,-0.00021153807173104888
oof,bag_zit_hpo,very_small,3061,-0.0001391935829032868,0.008244362529838624,0.008244225178609411,-1.3735122921312848e-07
oof,bag_zit_hpo,small,2239,-0.0045290982073621965,0.008244362529838624,0.008137300907018115,-0.00010706162282050902
oof,bag_zit_hpo,medium,2326,-0.01373213478393569,0.008244362529838624,0.0071568206480803614,-0.0010875418817582628
oof,bag_zit_hpo,large,19,-0.06690594061909573,0.008244362529838624,0.008044976952674008,-0.0001993855771646163
oof,bag_zit_hpo,extreme,1,-0.9982681046402363,0.008244362529838624,0.005469440898635684,-0.0027749216312029402
oof,bag_zit_fixed_ge,y=0,18541,0.0021788715478444263,0.008252806711804547,0.008046582654589683,-0.00020622405721486443
oof,bag_zit_fixed_ge,very_small,3061,5.136989819671245e-05,0.008252806711804547,0.008252788023762012,-1.8688042535339178e-08
oof,bag_zit_fixed_ge,small,2239,-0.004350485885444952,0.008252806711804547,0.008154175317877068,-9.863139392747924e-05
oof,bag_zit_fixed_ge,medium,2326,-0.013570219919487382,0.008252806711804547,0.007193889182920057,-0.0010589175288844904
oof,bag_zit_fixed_ge,large,19,-0.06667931177294757,0.008252806711804547,0.008054993779726358,-0.00019781293207818927
oof,bag_zit_fixed_ge,extreme,1,-0.9982979633691358,0.008252806711804547,0.005481953332005616,-0.0027708533797989312
oof,lgbm,y=0,18541,0.0022521569223373224,0.00825712768424227,0.008036722923900267,-0.00022040476034200333
oof,lgbm,very_small,3061,-0.00012305065247643102,0.00825712768424227,0.008257020510290229,-1.0717395204119795e-07
oof,lgbm,small,2239,-0.0045243755835406504,0.00825712768424227,0.008150458011149867,-0.0001066696730924032
oof,lgbm,medium,2326,-0.01373561035948922,0.00825712768424227,0.007170930643347014,-0.0010861970408952556
oof,lgbm,large,19,-0.06690262534521618,0.00825712768424227,0.008058077940962251,-0.00019904974328001888
oof,lgbm,extreme,1,-0.9983596079016,0.00825712768424227,0.005488027983559946,-0.0027690997006823244
oof,enet,y=0,18541,0.0023772208081082294,0.008285523037170617,0.008040443214538086,-0.0002450798226325303
oof,enet,very_small,3061,-0.00025505740374780943,0.008285523037170617,0.008285064139817404,-4.588973532126256e-07
