ufs_serial,pred,health
S00000,0.0,0.0
S00002,0.002459685,0.0
S00003,0.0024137972,0.0
S00004,0.0,0.0
S00009,0.003071725,0.0
S00012,0.0030258088,0.0
S00013,0.003163563,0.0
S00015,0.0031329494,0.0
S00017,0.0031176428,0.0
S00018,0.0023067337,0.0
S00020,0.0024137972,0.0
S00021,0.0023985018,0.0
S00022,0.0024137972,0.0
S00023,0.002276146,0.0
S00024,0.003071725,0.0
S00025,0.003071725,0.0
S00026,0.002444389,0.0
S00027,0.0031941775,0.0
S00028,0.0024902783,0.0
S00029,0.0,0.0
S00031,0.003148256,0.0
S00032,0.0024749816,0.0024556306
S00034,0.0031329494,0.0
S00035,0.003041114,0.0
S00037,0.0022914398,0.0024203996
S00038,0.002429093,0.0
S00039,0.0031176428,0.002429415
S00041,0.0030564193,0.0024488065
S00042,0.002459685,0.0024355224
S00043,0.0033472646,0.0
S00044,0.0033778849,0.0
S00047,0.0,0.0024454088
S00049,0.0023985018,0.0
S00051,0.0029951995,0.0023918839
S00052,0.0032247931,0.0
S00056,0.0032707183,0.0024112402
S00057,0.003071725,0.0
S00058,0.002444389,0.0
S00059,0.0,0.002407526
S00061,0.003071725,0.0
S00062,0.002444389,0.0
S00063,0.0,0.0
S00064,0.0,0.0
S00065,0.003071725,0.0
S00068,0.0033166453,0.009641312
S00069,0.002459685,0.0024141213
S00071,0.0032707183,0.0
S00072,0.0,0.0
S00075,0.002459685,0.0
S00079,0.0,0.0
S00080,0.0,0.0024551575
S00081,0.0030564193,0.0048692552
S00084,0.0032094852,0.0
S00086,0.0027656583,0.0
S00087,0.003163563,0.0071833264
S00092,0.0021538055,0.0
S00096,0.0030870307,0.0
S00098,0.0034085058,0.0
S00099,0.0024137972,0.0024290232
S00101,0.0,0.0047811447
S00103,0.0021843892,0.002394719
S00106,0.003071725,0.0
S00108,0.0,0.0
S00109,0.0031176428,0.0024466007
S00111,0.003071725,0.0
S00113,0.003163563,0.0
S00114,0.002444389,0.0
S00116,0.0022914398,0.0
S00120,0.0031176428,0.0
S00121,0.0032554097,0.0
S00122,0.0030564193,0.0
S00123,0.0024137972,0.012007964
S00124,0.0,0.0
S00126,0.0030564193,0.014518155
S00127,0.0023985018,0.0
S00128,0.0032554097,0.0023878848
S00129,0.0030870307,0.0071621058
S00130,0.0020926406,0.004875632
S00131,0.002459685,0.0
S00132,0.003041114,0.0
S00133,0.0024902783,0.0
S00134,0.003071725,0.0
S00135,0.0025361697,0.0024002704
S00136,0.0031788703,0.002412434
S00137,0.0,0.0
S00138,0.002979895,0.0024209653
S00139,0.0024749816,0.0023857183
S00142,0.0,0.0023883667
S00144,0.0,0.0
S00145,0.0021996815,0.0048074364
S00146,0.0,0.0
S00148,0.0032094852,0.002384894
S00149,0.0031023365,0.0
S00150,0.002459685,0.0024284534
S00151,0.0,0.0
S00152,0.003071725,0.0
S00153,0.0032094852,0.0
S00154,0.0022608528,0.0024048348
S00155,0.0031176428,0.0
S00156,0.0031941775,0.0
S00157,0.003071725,0.0023905723
S00158,0.0031329494,0.0
S00162,0.0,0.0
S00164,0.0032247931,0.0
S00165,0.0024749816,0.0
S00166,0.002337322,0.0
S00168,0.0030870307,0.0044468306
S00169,0.003071725,0.0021852013
S00170,0.002444389,0.0
S00171,0.0,0.0022327346
S00174,0.003071725,0.0
S00175,0.0,0.0
S00177,0.0023067337,0.004371325
S00178,0.0,0.0
S00180,0.003071725,0.0
S00181,0.0,0.0
S00183,0.0,0.0
S00185,0.002444389,0.0
S00186,0.0024902783,0.0
S00187,0.003148256,0.0023849627
S00188,0.0025208723,0.0
S00189,0.0033472646,0.0
S00191,0.002429093,0.0
S00192,0.0,0.0
S00193,0.003071725,0.0
S00194,0.0023220277,0.0023942345
S00199,0.002566765,0.0
S00201,0.0032247931,0.0
S00202,0.0,0.0
S00205,0.0,0.002419198
S00206,0.0,0.0
S00207,0.0030870307,0.002424686
S00208,0.0024902783,0.0
S00210,0.0032554097,0.0
S00211,0.0032554097,0.0024002357
S00214,0.0,0.0
S00216,0.002444389,0.0
S00217,0.0,0.0
S00218,0.002276146,0.0
S00220,0.0032707183,0.004811136
S00221,0.0,0.0024405813
S00223,0.0023985018,0.0
S00226,0.003148256,0.0
S00227,0.002459685,0.0
S00229,0.002979895,0.0
S00233,0.0025208723,0.0
S00237,0.003301336,0.0
S00238,0.0033166453,0.0
S00245,0.0023220277,0.0
S00247,0.0,0.0
S00248,0.0031788703,0.0048394557
S00249,0.002459685,0.0072902762
S00252,0.0024749816,0.0
S00253,0.0022302666,0.0
S00257,0.002429093,0.012279245
S00258,0.0023679114,0.0048890137
S00259,0.0024137972,0.0
