ufs_serial,run_wf_xy,pred,health
S00000,0000000_25_24_25,0.0008412476750256754,0.0
S00002,0000000_8_37_24,0.0009438303010571289,0.0
S00003,0000000_13_34_27,0.0024110558087360318,0.0
S00004,0000000_10_22_15,0.0011653155090401096,0.0
S00009,0000000_7_41_19,0.0020484158469085316,0.0
S00012,0000000_20_50_26,0.0009055721666315222,0.0
S00013,0000000_22_24_20,0.000511684186838792,0.0
S00015,0000001_4_49_31,0.002881510744893089,0.0
S00017,0000002_3_19_16,0.0025630403864953803,0.0
S00018,0000003_16_17_20,0.0022181784860857354,0.0
S00020,0000003_22_63_22,0.0025027964284717566,0.0
S00021,0000004_25_33_23,0.0038173042372909947,0.0
S00022,0000005_19_42_14,0.0023966290846547753,0.0
S00023,0000003_5_58_18,0.0023748678695349845,0.0
S00024,0000003_12_32_17,0.0027665006735490597,0.0
S00025,0000003_13_45_17,0.002543278497226641,0.0
S00026,0000003_14_35_23,0.0030474692192559516,0.0
S00027,0000003_5_58_21,0.002869341655649046,0.0
S00028,0000003_16_58_21,0.002672699205049335,0.0
S00029,0000004_7_52_18,0.002254315791703305,0.0
S00031,0000004_8_26_15,0.003091512203337664,0.0
S00032,0000004_5_36_15,0.0030793424649756982,0.0024556306573382
S00034,0000004_7_41_27,0.002896771123256131,0.0
S00035,0000004_7_30_25,0.0030291753749994805,0.0
S00037,0000004_8_47_19,0.0022479071082652305,0.0024203995363741
S00038,0000003_14_50_14,0.0037232284362706523,0.0
S00039,0000006_11_28_31,0.0017018371130728986,0.0024294149851399
S00041,0000004_23_41_11,0.0028674943402647356,0.0024488066378919
S00042,0000007_16_21_29,0.0032790215223619476,0.0024355223631917
S00043,0000008_3_54_30,0.00266396527415439,0.0
S00044,0000009_3_57_14,0.0019622902542560322,0.0
S00047,0000004_21_17_27,0.002283692960229838,0.0024454088310256
S00049,0000003_15_41_11,0.002605271428857736,0.0
S00051,0000011_21_22_29,0.002041473835622695,0.0023918839575332
S00052,0000011_20_50_12,0.0020712015864716216,0.0
S00056,0000011_18_45_11,0.002957521753490645,0.0024112401634015
S00057,0000014_24_59_15,0.0023215675344466216,0.0
S00058,0000011_18_16_26,0.002612953862886753,0.0
S00059,0000013_13_17_27,0.0015658589915231657,0.00240752581914
S00061,0000015_18_56_14,0.0028295999371245454,0.0
S00062,0000015_15_42_16,0.0013722281295651458,0.0
S00063,0000015_18_44_28,0.0016286338341182198,0.0
S00064,0000015_11_27_14,0.0024871513583804333,0.0
S00065,0000015_13_43_15,0.0020461758269310665,0.0
S00068,0000015_14_26_20,0.0016057003670112567,0.0096413121496052
S00069,0000012_8_41_16,0.0019648019117659765,0.0024141213958187
S00071,0000015_13_30_26,0.0020501664215518676,0.0
S00072,0000012_10_49_25,0.0024874510634528197,0.0
S00075,0000012_6_37_16,0.00276005862128407,0.0
S00079,0000012_4_27_19,0.0022156774626072447,0.0
S00080,0000012_10_34_31,0.002724442341501252,0.0024551575598599
S00081,0000012_5_31_25,0.002332154695595849,0.0048692551117381
S00084,0000004_21_17_18,0.0026278780508480933,0.0
S00086,0000004_20_42_12,0.002751982067908538,0.0
S00087,0000005_13_32_29,0.0018630293114317363,0.0071833265884257
S00092,0000003_22_33_16,0.0031654183704926887,0.0
S00096,0000004_19_42_16,0.0031758747131005087,0.0
S00098,0000004_9_61_16,0.0035623115022942312,0.0
S00099,0000005_7_33_16,0.0020975894809160288,0.002429023161249
S00101,0000005_12_36_19,0.0035466403869273615,0.0047811447811447
S00103,0000003_18_48_19,0.0029264323519683907,0.0023947190902958
S00106,0000005_18_38_23,0.002921126074833897,0.0
S00108,0000005_10_54_18,0.002228234479293974,0.0
S00109,0000006_11_43_18,0.002723782149740967,0.0024466006035276
S00111,0000005_10_55_15,0.003305292230339705,0.0
S00113,0000005_11_51_20,0.003067156464318807,0.0
S00114,0000004_25_46_27,0.0027505048068773813,0.0
S00116,0000006_5_51_22,0.002581696442976563,0.0
S00120,0000006_16_30_16,0.0024659952678952463,0.0
S00121,0000005_17_50_27,0.003717709733029657,0.0
S00122,0000006_16_18_16,0.0032256675860224287,0.0
S00123,0000006_24_29_23,0.0012360401970799957,0.0120079634300735
S00124,0000005_17_31_19,0.0038860316022625305,0.0
S00126,0000017_6_56_26,0.0014134369699291404,0.0145181549966406
S00127,0000017_11_44_20,0.0018261667610223254,0.0
S00128,0000017_19_43_26,0.001625270046789006,0.0023878847281078
S00129,0000017_24_13_21,0.001964825730320064,0.0071621056878935
S00130,0000017_9_33_16,0.0018730091765597843,0.0048756321399316
S00131,0000017_3_63_24,0.0013405890163536585,0.0
S00132,0000017_9_37_26,0.00287273811119924,0.0
S00133,0000017_9_35_15,0.0022658595215071194,0.0
S00134,0000017_11_39_25,0.0017432692296409547,0.0
S00135,0000018_24_27_14,0.001805094300188078,0.0024002704530087
S00136,0000001_22_29_23,0.0021034303571478034,0.0024124339857098
S00137,0000001_1_62_25,0.0027827817063155787,0.0
S00138,0000009_20_36_24,0.0022169852699465424,0.0024209654634906
S00139,0000018_24_19_25,0.00196457912677849,0.0023857183316292
S00142,0000001_17_25_28,0.002931511555531481,0.0023883666839667
S00144,0000020_8_25_17,0.0034885531384949422,0.0
S00145,0000001_17_60_25,0.00299622300889505,0.0048074365336157
