ufs_serial,run_wf_xy,pred,health
S00000,0000000_25_24_25,0.0020997446956099127,0.0
S00002,0000000_8_37_24,0.001814670148199321,0.0
S00003,0000000_13_34_27,0.0022186327393408966,0.0
S00004,0000000_10_22_15,0.0015321880365235599,0.0
S00009,0000000_7_41_19,0.0019706833497621225,0.0
S00012,0000000_20_50_26,0.0014760728488077968,0.0
S00013,0000000_22_24_20,0.0007237370413814016,0.0
S00015,0000001_4_49_31,0.0026904931878738996,0.0
S00017,0000002_3_19_16,0.0025716120568334954,0.0
S00018,0000003_16_17_20,0.002649426326875379,0.0
S00020,0000003_22_63_22,0.0025144841597399825,0.0
S00021,0000004_25_33_23,0.0027596417252233967,0.0
S00022,0000005_19_42_14,0.0024051710848538217,0.0
S00023,0000003_5_58_18,0.0026152490273339294,0.0
S00024,0000003_12_32_17,0.0027673608474429617,0.0
S00025,0000003_13_45_17,0.0025326977221241014,0.0
S00026,0000003_14_35_23,0.0027568990374633334,0.0
S00027,0000003_5_58_21,0.0025539800067031233,0.0
S00028,0000003_16_58_21,0.0025394881579350968,0.0
S00029,0000004_7_52_18,0.0026375208417570915,0.0
S00031,0000004_8_26_15,0.0025385073098844473,0.0
S00032,0000004_5_36_15,0.002709828310281236,0.0024556306573382
S00034,0000004_7_41_27,0.00235773751521872,0.0
S00035,0000004_7_30_25,0.0025230627831711746,0.0
S00037,0000004_8_47_19,0.0023408254565575434,0.0024203995363741
S00038,0000003_14_50_14,0.0031748302359898483,0.0
S00039,0000006_11_28_31,0.002546385379879236,0.0024294149851399
S00041,0000004_23_41_11,0.0032356688965162017,0.0024488066378919
S00042,0000007_16_21_29,0.0028372216254054297,0.0024355223631917
S00043,0000008_3_54_30,0.0024265820948265126,0.0
S00044,0000009_3_57_14,0.002529542073232002,0.0
S00047,0000004_21_17_27,0.00248147240184834,0.0024454088310256
S00049,0000003_15_41_11,0.0027853182006002627,0.0
S00051,0000011_21_22_29,0.002422014373668686,0.0023918839575332
S00052,0000011_20_50_12,0.0021991852834101367,0.0
S00056,0000011_18_45_11,0.0026434039749265543,0.0024112401634015
S00057,0000014_24_59_15,0.001964898708967644,0.0
S00058,0000011_18_16_26,0.0024345660071216817,0.0
S00059,0000013_13_17_27,0.002243198363238071,0.00240752581914
S00061,0000015_18_56_14,0.002369306997233041,0.0
S00062,0000015_15_42_16,0.0022638776569108886,0.0
S00063,0000015_18_44_28,0.0024139776063237077,0.0
S00064,0000015_11_27_14,0.002578197533017584,0.0
S00065,0000015_13_43_15,0.0026811724110450425,0.0
S00068,0000015_14_26_20,0.002337415433101863,0.0096413121496052
S00069,0000012_8_41_16,0.0026761603239186032,0.0024141213958187
S00071,0000015_13_30_26,0.0035382432279508153,0.0
S00072,0000012_10_49_25,0.0030380672004859774,0.0
S00075,0000012_6_37_16,0.0024156132317887627,0.0
S00079,0000012_4_27_19,0.002864325739986094,0.0
S00080,0000012_10_34_31,0.002512877008388197,0.0024551575598599
S00081,0000012_5_31_25,0.002627504385340155,0.0048692551117381
S00084,0000004_21_17_18,0.0024228988620235634,0.0
S00086,0000004_20_42_12,0.002561536796674651,0.0
S00087,0000005_13_32_29,0.002439861893445654,0.0071833265884257
S00092,0000003_22_33_16,0.002537872132024999,0.0
S00096,0000004_19_42_16,0.0025930408647321097,0.0
S00098,0000004_9_61_16,0.0029179094306935106,0.0
S00099,0000005_7_33_16,0.0024982675829044814,0.002429023161249
S00101,0000005_12_36_19,0.0023769226492694373,0.0047811447811447
S00103,0000003_18_48_19,0.002653675839887097,0.0023947190902958
S00106,0000005_18_38_23,0.0029641732759628065,0.0
S00108,0000005_10_54_18,0.003009129816941165,0.0
S00109,0000006_11_43_18,0.002655762743908613,0.0024466006035276
S00111,0000005_10_55_15,0.0027248226705013268,0.0
S00113,0000005_11_51_20,0.0025910245381695392,0.0
S00114,0000004_25_46_27,0.0028398603583754986,0.0
S00116,0000006_5_51_22,0.0027719302897114464,0.0
S00120,0000006_16_30_16,0.0027458410121818577,0.0
S00121,0000005_17_50_27,0.002859175867674221,0.0
S00122,0000006_16_18_16,0.0030805787610722205,0.0
S00123,0000006_24_29_23,0.002630620601591707,0.0120079634300735
S00124,0000005_17_31_19,0.003204461147879492,0.0
S00126,0000017_6_56_26,0.0021585306721062653,0.0145181549966406
S00127,0000017_11_44_20,0.0023319892169863183,0.0
S00128,0000017_19_43_26,0.002614404256551669,0.0023878847281078
S00129,0000017_24_13_21,0.0017778855927086839,0.0071621056878935
S00130,0000017_9_33_16,0.0024399783556072136,0.0048756321399316
S00131,0000017_3_63_24,0.0026262978447141065,0.0
S00132,0000017_9_37_26,0.0026429808383615495,0.0
S00133,0000017_9_35_15,0.002428502765223762,0.0
S00134,0000017_11_39_25,0.0029620611272048354,0.0
S00135,0000018_24_27_14,0.0030746249123856525,0.0024002704530087
S00136,0000001_22_29_23,0.002282460457178334,0.0024124339857098
S00137,0000001_1_62_25,0.0026889569680072756,0.0
S00138,0000009_20_36_24,0.0023065401149291115,0.0024209654634906
S00139,0000018_24_19_25,0.0028715383071593876,0.0023857183316292
S00142,0000001_17_25_28,0.0025054212044631334,0.0023883666839667
S00144,0000020_8_25_17,0.00277766234635575,0.0
S00145,0000001_17_60_25,0.002484232118143279,0.0048074365336157
S00146,0000001_1_48_16,0.002837995713536633,0.0
S00148,0000001_17_21_22,0.0025327702915111925,0.0023848940713548
S00149,0000001_17_45_19,0.0023643744904921814,0.0
S00150,0000020_10_45_21,0.00224340943367357,0.0024284534611569
S00151,0000001_9_37_22,0.002210906450631076,0.0
S00152,0000017_25_45_27,0.0019547558819877006,0.0
S00153,0000001_7_47_24,0.0023954627667329077,0.0
S00154,0000001_15_48_24,0.0024790610714445944,0.0024048348309115
S00155,0000001_10_39_13,0.0022435701890630346,0.0
S00156,0000001_11_25_17,0.0024794301837519884,0.0
S00157,0000009_7_29_17,0.0024573606780648456,0.0023905723905723
S00158,0000001_11_39_30,0.0022355892603776626,0.0
S00162,0000001_23_16_22,0.00257837063275889,0.0
S00164,0000017_19_41_12,0.0020986946283776766,0.0
S00165,0000001_23_55_25,0.002204145668763343,0.0
S00166,0000001_23_33_21,0.002276017257499362,0.0
S00168,0000007_10_25_22,0.002937154066970741,0.0044468304030778
S00169,0000007_5_44_15,0.002992867689703157,0.002185201306724
S00170,0000007_5_32_12,0.0028190373155008402,0.0
S00171,0000007_10_37_22,0.0032989447414610504,0.002232734493277
S00174,0000007_20_40_22,0.0032484316527222738,0.0
S00175,0000007_21_46_13,0.003180274185357421,0.0
S00177,0000021_19_40_29,0.0024286347592578804,0.0043713251623854
S00178,0000021_19_46_28,0.0026820795605367823,0.0
S00180,0000021_22_54_28,0.0024438526760700787,0.0
S00181,0000021_22_33_20,0.002907977088752521,0.0
S00183,0000021_22_55_14,0.0021549818406291755,0.0
S00185,0000021_24_54_16,0.002590525121197533,0.0
S00186,0000021_25_55_25,0.002224626414709336,0.0
S00187,0000021_11_35_14,0.002265978010553572,0.0023849627379564
S00188,0000021_24_34_12,0.0021945678757968228,0.0
S00189,0000021_11_40_25,0.0021160085051664984,0.0
S00191,0000021_9_31_21,0.002464638884893411,0.0
S00192,0000021_8_42_14,0.0026034821468871147,0.0
S00193,0000021_9_17_24,0.002509094443890898,0.0
S00194,0000021_8_47_20,0.0021298928392070034,0.0023942345675443
S00199,0000008_6_28_27,0.002899402137428734,0.0
S00201,0000008_6_35_28,0.0027717397962900864,0.0
S00202,0000008_6_40_24,0.002949014779297534,0.0
S00205,0000008_24_19_24,0.003046402973071331,0.0024191978193146
S00206,0000016_3_14_20,0.0025854072768387794,0.0
S00207,0000016_3_47_21,0.0026005810689052693,0.0024246859373094
S00208,0000008_12_60_17,0.002643660293675698,0.0
S00210,0000008_12_51_18,0.0027504332900319273,0.0
S00211,0000016_15_26_16,0.0028861500310367848,0.0024002356770644
S00214,0000002_16_54_27,0.0024831113781405394,0.0
S00216,0000002_14_39_30,0.0026692343529525426,0.0
S00217,0000002_22_35_18,0.002758671372353859,0.0
S00218,0000004_22_56_15,0.002662138949578394,0.0
S00220,0000004_10_33_26,0.003460584868192929,0.0048111362800333
S00221,0000006_23_50_17,0.002869070777683958,0.0024405814181889
S00223,0000004_4_32_29,0.0027470482351768712,0.0
S00226,0000004_4_37_16,0.0031995965141514474,0.0
S00227,0000009_6_47_25,0.002451783405562518,0.0
S00229,0000003_10_41_20,0.0027135404974432476,0.0
S00233,0000011_23_16_18,0.002029813425409381,0.0
S00237,0000011_19_38_25,0.002574172973492796,0.0
S00238,0000016_25_37_23,0.002358224825056874,0.0
S00245,0000009_7_47_29,0.0023405820469441663,0.0
S00247,0000008_22_40_17,0.002487888043044838,0.0
S00248,0000009_2_61_20,0.002780124867389557,0.0048394556829523
S00249,0000009_2_17_26,0.002675512232469497,0.0072902762090563
S00252,0000001_16_16_19,0.0027391502503170484,0.0
S00253,0000008_14_19_17,0.0027202728595611685,0.0
S00257,0000019_14_46_22,0.0019538397449716046,0.0122792453576052
S00258,0000022_7_29_26,0.0030961422917634212,0.004889013491513
S00259,0000022_6_51_28,0.002416434512222166,0.0
S00260,0000022_7_18_22,0.0029750849062566997,0.0
S00261,0000022_6_22_20,0.0028083813939880453,0.0
S00262,0000022_7_37_31,0.002284236680178738,0.0
S00264,0000022_6_30_20,0.002476101479299864,0.0
S00265,0000022_5_40_28,0.0026917931987521476,0.0021986286219862
S00267,0000022_3_51_13,0.002660332497192234,0.0022214176846302
S00268,0000022_7_32_31,0.002359381654521639,0.0
S00269,0000022_7_34_16,0.0029487754883184883,0.0
S00270,0000022_7_23_24,0.0028783778695622817,0.0021931566452205
S00271,0000022_1_58_22,0.0027365174322580062,0.0
S00273,0000022_5_27_13,0.0024606833439733042,0.0023947190902958
S00275,0000022_1_37_16,0.0019617966967368514,0.0
S00277,0000003_10_28_21,0.0033340039065943984,0.0
S00278,0000003_10_58_21,0.002949152278026441,0.0024270303793883
S00283,0000012_21_38_24,0.00249509850072562,0.0
S00284,0000012_15_62_18,0.0026412160759178905,0.0
S00289,0000023_4_30_31,0.002637931002282332,0.0
S00290,0000023_12_31_31,0.002755965451632507,0.0024540301396377
S00294,0000013_13_46_19,0.0027171360870509725,0.0
S00296,0000012_10_16_24,0.002628366998836441,0.0
S00297,0000024_4_14_24,0.0029114547698791604,0.0048750582407611
S00302,0000008_14_50_23,0.0025928981592885114,0.0
