,zit_only,bag_zit_combined_best,bag_zit_combined_best_xy,bag_zit_pp_hpo,bag_zit_hpo,bag_zit_fixed_ge,lgbm,enet,et,catboost
zit_only,1.0,0.9989650908242139,0.9989225101109311,0.9994498565392541,0.9990996152347256,0.9970561200623184,0.9983360178422898,0.9944541152896479,0.9958853473073743,0.9982073668778922
bag_zit_combined_best,0.9989650908242139,1.0,0.999799789891154,0.999292790760576,0.999089140175927,0.9971282173471722,0.9985291283900448,0.99510347117363,0.9965905372153492,0.9983250407294376
bag_zit_combined_best_xy,0.9989225101109311,0.999799789891154,1.0,0.9992538181888235,0.9990577577261405,0.9971043546821439,0.9984860409296347,0.9950601246370653,0.9965455377699319,0.9982880109067348
bag_zit_pp_hpo,0.9994498565392541,0.999292790760576,0.9992538181888235,1.0,0.9995425690425849,0.9970776962089685,0.9989524500115721,0.9960252102633714,0.997355243059272,0.9986882159355102
bag_zit_hpo,0.9990996152347256,0.999089140175927,0.9990577577261405,0.9995425690425849,1.0,0.996639368992592,0.9989448920702307,0.9964144569524168,0.9977274675978632,0.9986044015740324
bag_zit_fixed_ge,0.9970561200623184,0.9971282173471722,0.9971043546821439,0.9970776962089685,0.996639368992592,1.0,0.9961905072434135,0.9913892261416993,0.9931010806499239,0.9960966818759022
lgbm,0.9983360178422898,0.9985291283900448,0.9984860409296347,0.9989524500115721,0.9989448920702307,0.9961905072434135,1.0,0.996767886279735,0.9981387580016328,0.999390064806167
enet,0.9944541152896479,0.99510347117363,0.9950601246370653,0.9960252102633714,0.9964144569524168,0.9913892261416993,0.996767886279735,1.0,0.9983213696365835,0.9960576263720499
et,0.9958853473073743,0.9965905372153492,0.9965455377699319,0.997355243059272,0.9977274675978632,0.9931010806499239,0.9981387580016328,0.9983213696365835,1.0,0.9974623500580168
catboost,0.9982073668778922,0.9983250407294376,0.9982880109067348,0.9986882159355102,0.9986044015740324,0.9960966818759022,0.999390064806167,0.9960576263720499,0.9974623500580168,1.0
