,zit_only,bag_zit_combined_best,bag_zit_combined_best_xy,bag_zit_pp_hpo,bag_zit_hpo,bag_zit_fixed_ge,reg__lgbm,reg__enet,reg__et,reg__catboost,grid__catboost_x_catboost,grid__catboost_x_enet,grid__catboost_x_et,grid__catboost_x_xgb,grid__et_x_catboost,grid__et_x_enet,grid__et_x_et,grid__et_x_xgb,grid__lgbm_x_catboost,grid__lgbm_x_enet,grid__lgbm_x_et,grid__lgbm_x_xgb,grid__xgb_x_catboost,grid__xgb_x_enet,grid__xgb_x_et,grid__xgb_x_xgb,nn_ft
zit_only,1.0,0.9989650908242139,0.9989225101109311,0.9994498565392541,0.9990996152347256,0.9970561200623184,0.9983360178422898,0.9944541152896479,0.9958853473073743,0.9982073668778922,0.9942486212177489,0.9931880333001162,0.9932768951344035,0.995463602613624,0.9927328944214555,0.995984819294359,0.9961187489219256,0.9943499628771015,0.9919352266680109,0.9892186176641166,0.9892654574590019,0.9930524383720669,0.99269950473561,0.9906168068783914,0.9906775151493815,0.9939133854901969,0.9810491018163284
bag_zit_combined_best,0.9989650908242139,1.0,0.999799789891154,0.999292790760576,0.999089140175927,0.9971282173471722,0.9985291283900448,0.99510347117363,0.9965905372153492,0.9983250407294376,0.995152848016714,0.9938494042560237,0.993933533931176,0.9963149577565051,0.9934682558367064,0.9965011828720932,0.9966098810636148,0.9949918608017724,0.9934637273539949,0.9906999005292989,0.9907470919625735,0.9945338090144304,0.9937513003820558,0.9914779193332065,0.9915356948666986,0.9949217719257467,0.982403079465792
bag_zit_combined_best_xy,0.9989225101109311,0.999799789891154,1.0,0.9992538181888235,0.9990577577261405,0.9971043546821439,0.9984860409296347,0.9950601246370653,0.9965455377699319,0.9982880109067348,0.9951471601670353,0.9938596133236365,0.9939423723787013,0.9963151423190403,0.9934252642097505,0.9964615085849297,0.9965678603364979,0.9949562514422479,0.9934589289147229,0.9907046062885186,0.990750570148189,0.9945325983050132,0.9937443855473524,0.9914836970212352,0.9915390617092972,0.9949175381719685,0.9823549426878604
bag_zit_pp_hpo,0.9994498565392541,0.999292790760576,0.9992538181888235,1.0,0.9995425690425849,0.9970776962089685,0.9989524500115721,0.9960252102633714,0.997355243059272,0.9986882159355102,0.9945526747845279,0.9928753906510214,0.9929557636487155,0.995835154312123,0.9942952053822799,0.9973801371208356,0.9974873910896606,0.9959105865872654,0.9926229808860939,0.9893937087423156,0.9894360710665127,0.9937956404619789,0.9931994728634275,0.990548824793229,0.9906036257033427,0.9944688304673948,0.9833988985948685
bag_zit_hpo,0.9990996152347256,0.999089140175927,0.9990577577261405,0.9995425690425849,1.0,0.996639368992592,0.9989448920702307,0.9964144569524168,0.9977274675978632,0.9986044015740324,0.9940549784410893,0.9919098681368601,0.9919761034692797,0.9953557575583607,0.9948408643994285,0.9977219971338884,0.9978137313909554,0.9963842702120629,0.9920452043611006,0.9883497331830344,0.9883797028605187,0.9932502202101098,0.9926730425906846,0.9895613287119428,0.9896032460243274,0.9939710748416991,0.9842819381762478
bag_zit_fixed_ge,0.9970561200623184,0.9971282173471722,0.9971043546821439,0.9970776962089685,0.996639368992592,1.0,0.9961905072434135,0.9913892261416993,0.9931010806499239,0.9960966818759022,0.9933790931645785,0.9921684740895493,0.9922777623343593,0.9944675055178921,0.9904006730719503,0.9929552919272315,0.9931115360825857,0.9919054268303651,0.9913884370133486,0.9887918304108517,0.9888477400609913,0.9923999997080369,0.9918493061982131,0.9897235766225042,0.9897907412248047,0.992963448894887,0.9785211987065647
reg__lgbm,0.9983360178422898,0.9985291283900448,0.9984860409296347,0.9989524500115721,0.9989448920702307,0.9961905072434135,1.0,0.996767886279735,0.9981387580016328,0.999390064806167,0.994313997979545,0.9913754214572081,0.9915093781285117,0.9954435098283769,0.9959117228883322,0.9980022312765356,0.9981609603090988,0.9972049238142657,0.992524771615524,0.9883418284845233,0.9884253400424629,0.9935876617628402,0.9929918153021132,0.989235374138173,0.9893360195958651,0.994126324046429,0.9839291886837367
reg__enet,0.9944541152896479,0.99510347117363,0.9950601246370653,0.9960252102633714,0.9964144569524168,0.9913892261416993,0.996767886279735,1.0,0.9983213696365835,0.9960576263720499,0.9898751832361457,0.9856946423194364,0.9857171255918193,0.9913178486443588,0.9959271076034987,0.9983884271195484,0.9983864404698733,0.9972936693398158,0.9888919054171843,0.9835048899407883,0.9835059569851018,0.9902502901327976,0.9891893724472244,0.9842701418854004,0.9842788076101757,0.9906200335291241,0.9866164645229777
reg__et,0.9958853473073743,0.9965905372153492,0.9965455377699319,0.997355243059272,0.9977274675978632,0.9931010806499239,0.9981387580016328,0.9983213696365835,1.0,0.9974623500580168,0.9914969475170587,0.9873394960291402,0.9874658630114772,0.9928710946446606,0.9972554274011121,0.9996696575026425,0.9998115192430821,0.9986152213946874,0.9902901227750972,0.9848817683823023,0.9849619714197375,0.9915862838270334,0.990592262564039,0.9856327565220373,0.9857273622165919,0.9919498486005118,0.9876741671008405
reg__catboost,0.9982073668778922,0.9983250407294376,0.9982880109067348,0.9986882159355102,0.9986044015740324,0.9960966818759022,0.999390064806167,0.9960576263720499,0.9974623500580168,1.0,0.9945994748465387,0.9916822683160109,0.9918278679476838,0.9956072570871447,0.9955200760650728,0.9973111707094954,0.9974815904193023,0.9967100370178933,0.9924764031307387,0.9883037734590104,0.9883935599984559,0.9934467852274799,0.9929937168974788,0.9892314935184234,0.98934215580528,0.9940345931113828,0.9829067933173583
grid__catboost_x_catboost,0.9942486212177489,0.995152848016714,0.9951471601670353,0.9945526747845279,0.9940549784410893,0.9933790931645785,0.994313997979545,0.9898751832361457,0.9914969475170587,0.9945994748465387,1.0,0.9969630827067256,0.9971208522529803,0.9987660584928022,0.991929750845202,0.991150646268058,0.991321321257697,0.9912813585427461,0.9935271131630085,0.9889929661804377,0.9890831631211133,0.9929977140606474,0.9937361879200858,0.989275503488501,0.9893864341979733,0.9931546938960955,0.9767736217754582
grid__catboost_x_enet,0.9931880333001162,0.9938494042560237,0.9938596133236365,0.9928753906510214,0.9919098681368601,0.9921684740895493,0.9913754214572081,0.9856946423194364,0.9873394960291402,0.9916822683160109,0.9969630827067256,1.0,0.9999177078797589,0.9977664108507881,0.9835785619344674,0.9875540643221444,0.9874861966621467,0.9853261226882455,0.9901242219621157,0.9900744585999006,0.9899966008403441,0.9909992394607221,0.9899530464084437,0.9903264807990537,0.9902454619471134,0.9910039359924658,0.9710992027695042
grid__catboost_x_et,0.9932768951344035,0.993933533931176,0.9939423723787013,0.9929557636487155,0.9919761034692797,0.9922777623343593,0.9915093781285117,0.9857171255918193,0.9874658630114772,0.9918278679476838,0.9971208522529803,0.9999177078797589,1.0,0.9978957261412489,0.9837596989702341,0.987490113800239,0.9875961440149174,0.98547873473928,0.9902650456725623,0.9900492378333899,0.9900863262196979,0.9911171878665156,0.9901014965717653,0.9902870301465189,0.9903340681830965,0.9911270748663173,0.9711402714151366
grid__catboost_x_xgb,0.995463602613624,0.9963149577565051,0.9963151423190403,0.995835154312123,0.9953557575583607,0.9944675055178921,0.9954435098283769,0.9913178486443588,0.9928710946446606,0.9956072570871447,0.9987660584928022,0.9977664108507881,0.9978957261412489,1.0,0.9911457782857984,0.9926776758579631,0.9928221850410734,0.9930415268151932,0.9930538826309538,0.9899195503214004,0.9899899344570677,0.9942225790489355,0.9931219821848574,0.9902894946511749,0.9903780475371411,0.9944739254947086,0.9784920004728185
