model,oof,val,test
zit_only,0.008245640339027988,0.00570891991816085,0.008414188371783088
bag_zit_combined_best,0.008250703897255685,0.005710229169982951,0.008411808811143538
bag_zit_hpo,0.008244362529838624,0.0057112560796865495,0.008417334133681068
bag_zit_combined_best_xy,0.008251456908979833,0.005711802775220742,0.008411473919831127
bag_zit_pp_hpo,0.008245016317231098,0.005712059642231358,0.008413690951084797
bag_zit_fixed_ge,0.008252806711804547,0.005717112590472099,0.008411629226677162
reg__catboost,0.008259275834240328,0.005730597891376354,0.008429662619013003
reg__lgbm,0.00825712768424227,0.005731161224522776,0.00842864713398163
grid__catboost_x_catboost,0.008297764281244473,0.005739218190793247,0.00842881294163889
grid__catboost_x_xgb,0.008289555877166465,0.00574195948334952,0.008431257074542432
grid__xgb_x_et,0.00832760608393358,0.005750903979206095,0.008433443746395052
grid__xgb_x_enet,0.008328271340441454,0.005752099056610387,0.00843427211487133
grid__catboost_x_et,0.008306840349724471,0.005753392594135759,0.008421457193928472
grid__catboost_x_enet,0.00830774345210984,0.005754436442757439,0.00842228782006099
reg__et,0.008269396990101855,0.005757863785338338,0.00845233280512116
grid__xgb_x_catboost,0.008332788369481061,0.0057713190395063145,0.008460248091344514
grid__xgb_x_xgb,0.008324629704734908,0.005776748028257874,0.008464223121595432
reg__enet,0.008285523037170617,0.005781420938297365,0.008459072810923498
grid__lgbm_x_et,0.008352472308986706,0.0057863321567724925,0.008461643078070177
grid__lgbm_x_enet,0.008352727794878952,0.005787606829913374,0.008462579812250267
grid__et_x_xgb,0.008299342281973513,0.005790011060501647,0.008471097019391543
grid__et_x_catboost,0.00832263675519317,0.005804592408259883,0.008481005361249162
grid__lgbm_x_catboost,0.008364692256742702,0.005817850253250698,0.008496379424633162
nn_ft,0.008383646746188505,0.005822429775642644,0.008503799387351622
grid__lgbm_x_xgb,0.008361023948320914,0.00582548753752557,0.008501523080740172
grid__et_x_et,0.00840171499869535,0.005951348913745457,0.008565599464767242
grid__et_x_enet,0.00840284117688548,0.005952752490474623,0.008566594612919956
