model,oof,val,test
zit_only,0.008245640339027988,0.00570891991816085,0.008414188371783088
bag_zit_combined_best,0.008250703897255685,0.005710229169982951,0.008411808811143538
bag_zit_hpo,0.008244362529838624,0.0057112560796865495,0.008417334133681068
bag_zit_combined_best_xy,0.008251456908979833,0.005711802775220742,0.008411473919831127
bag_zit_pp_hpo,0.008245016317231098,0.005712059642231358,0.008413690951084797
bag_zit_fixed_ge,0.008252806711804547,0.005717112590472099,0.008411629226677162
two_stage_stack,0.008255390161774642,0.005725265059727323,0.008421586814733626
catboost,0.008259275834240328,0.005730597891376354,0.008429662619013003
lgbm,0.00825712768424227,0.005731161224522776,0.00842864713398163
et,0.008269396990101855,0.005757863785338338,0.00845233280512116
enet,0.008285523037170617,0.005781420938297365,0.008459072810923498
