ufs_serial,run_wf_xy,prob,health
S00000,0000000_25_24_25,0.049273287167094545,0.0
S00002,0000000_8_37_24,0.03086303764928809,0.0
S00003,0000000_13_34_27,0.06115706053128418,0.0
S00004,0000000_10_22_15,0.10311069130814353,0.0
S00009,0000000_7_41_19,0.013523251282234007,0.0
S00012,0000000_20_50_26,0.05549090262301756,0.0
S00013,0000000_22_24_20,0.02660676259589605,0.0
S00015,0000001_4_49_31,0.10951984306090534,0.0
S00017,0000002_3_19_16,0.32007449172324953,0.0
S00018,0000003_16_17_20,0.5407584717531753,0.0
S00020,0000003_22_63_22,0.11248844540624559,0.0
S00021,0000004_25_33_23,0.7667466833670703,0.0
S00022,0000005_19_42_14,0.43448850948726886,0.0
S00023,0000003_5_58_18,0.2071921698423123,0.0
S00024,0000003_12_32_17,0.7509714207732572,0.0
S00025,0000003_13_45_17,0.5297643660973007,0.0
S00026,0000003_14_35_23,0.5663264039027874,0.0
S00027,0000003_5_58_21,0.6003913484212126,0.0
S00028,0000003_16_58_21,0.6764364510878,0.0
S00029,0000004_7_52_18,0.2814727283325632,0.0
S00031,0000004_8_26_15,0.49044715561381136,0.0
S00032,0000004_5_36_15,0.5794892977101855,0.0024556306573382
S00034,0000004_7_41_27,0.6278715720004276,0.0
S00035,0000004_7_30_25,0.11252942843463787,0.0
S00037,0000004_8_47_19,0.767857576218003,0.0024203995363741
S00038,0000003_14_50_14,0.4995185268954355,0.0
S00039,0000006_11_28_31,0.5613302703319674,0.0024294149851399
S00041,0000004_23_41_11,0.9684815822755944,0.0024488066378919
S00042,0000007_16_21_29,0.8319023947037484,0.0024355223631917
S00043,0000008_3_54_30,0.0667853038945143,0.0
S00044,0000009_3_57_14,0.011245957439383001,0.0
S00047,0000004_21_17_27,0.44735397785895653,0.0024454088310256
S00049,0000003_15_41_11,0.09125872726026785,0.0
S00051,0000011_21_22_29,0.34579154789993,0.0023918839575332
S00052,0000011_20_50_12,0.30615221882962546,0.0
S00056,0000011_18_45_11,0.6848076673737851,0.0024112401634015
S00057,0000014_24_59_15,0.8719152747289758,0.0
S00058,0000011_18_16_26,0.16826893779625635,0.0
S00059,0000013_13_17_27,0.3238294526708534,0.00240752581914
S00061,0000015_18_56_14,0.5717582256394961,0.0
S00062,0000015_15_42_16,0.22302046662912983,0.0
S00063,0000015_18_44_28,0.2243489599823229,0.0
S00064,0000015_11_27_14,0.5963583135411322,0.0
S00065,0000015_13_43_15,0.5472478794150751,0.0
S00068,0000015_14_26_20,0.13167555261852507,0.0096413121496052
S00069,0000012_8_41_16,0.45770025114653223,0.0024141213958187
S00071,0000015_13_30_26,0.9591367327731409,0.0
S00072,0000012_10_49_25,0.6701253613598884,0.0
S00075,0000012_6_37_16,0.3097503863154655,0.0
S00079,0000012_4_27_19,0.4738345038224423,0.0
S00080,0000012_10_34_31,0.0694480967334166,0.0024551575598599
S00081,0000012_5_31_25,0.5258828989827175,0.0048692551117381
S00084,0000004_21_17_18,0.7024615976297931,0.0
S00086,0000004_20_42_12,0.6855667695696551,0.0
S00087,0000005_13_32_29,0.462690852330924,0.0071833265884257
S00092,0000003_22_33_16,0.337042466061308,0.0
S00096,0000004_19_42_16,0.8100031226359826,0.0
S00098,0000004_9_61_16,0.5398913732949379,0.0
S00099,0000005_7_33_16,0.42842960922724704,0.002429023161249
S00101,0000005_12_36_19,0.11579024584795211,0.0047811447811447
S00103,0000003_18_48_19,0.6218442447245713,0.0023947190902958
S00106,0000005_18_38_23,0.6733693422838228,0.0
S00108,0000005_10_54_18,0.4588759509700192,0.0
S00109,0000006_11_43_18,0.30447855890573633,0.0024466006035276
S00111,0000005_10_55_15,0.2682967998483245,0.0
S00113,0000005_11_51_20,0.5132115039412971,0.0
S00114,0000004_25_46_27,0.5513782686940966,0.0
S00116,0000006_5_51_22,0.2882793988181083,0.0
S00120,0000006_16_30_16,0.6009960860893597,0.0
S00121,0000005_17_50_27,0.2002174510721669,0.0
S00122,0000006_16_18_16,0.4594706805663532,0.0
S00123,0000006_24_29_23,0.26439026396811943,0.0120079634300735
S00124,0000005_17_31_19,0.39166714680475784,0.0
S00126,0000017_6_56_26,0.5070521658493211,0.0145181549966406
S00127,0000017_11_44_20,0.5764000416779946,0.0
S00128,0000017_19_43_26,0.7366792405656096,0.0023878847281078
