ufs_serial,run_wf_xy,prob,health
S00000,0000000_25_24_25,0.4475975323746002,0.0
S00002,0000000_8_37_24,0.3839557751023274,0.0
S00003,0000000_13_34_27,0.4169861230024216,0.0
S00004,0000000_10_22_15,0.33382468920875585,0.0
S00009,0000000_7_41_19,0.4072198853810322,0.0
S00012,0000000_20_50_26,0.2768979309589487,0.0
S00013,0000000_22_24_20,0.2509676912273622,0.0
S00015,0000001_4_49_31,0.49328954199163566,0.0
S00017,0000002_3_19_16,0.5104610012159124,0.0
S00018,0000003_16_17_20,0.5011042877734786,0.0
S00020,0000003_22_63_22,0.5035165975267285,0.0
S00021,0000004_25_33_23,0.5315344014936902,0.0
S00022,0000005_19_42_14,0.4499578377902073,0.0
S00023,0000003_5_58_18,0.5002200355698394,0.0
S00024,0000003_12_32_17,0.5339563274100866,0.0
S00025,0000003_13_45_17,0.5189146240434442,0.0
S00026,0000003_14_35_23,0.5416541599098333,0.0
S00027,0000003_5_58_21,0.48239331652994305,0.0
S00028,0000003_16_58_21,0.5175837396497125,0.0
S00029,0000004_7_52_18,0.47895874566858093,0.0
S00031,0000004_8_26_15,0.47864256520659865,0.0
S00032,0000004_5_36_15,0.5260169591659668,0.0024556306573382
S00034,0000004_7_41_27,0.5079579132710815,0.0
S00035,0000004_7_30_25,0.5041521181796608,0.0
S00037,0000004_8_47_19,0.489494324072643,0.0024203995363741
S00038,0000003_14_50_14,0.5530675722030515,0.0
S00039,0000006_11_28_31,0.4569638809420642,0.0024294149851399
S00041,0000004_23_41_11,0.5081236094699074,0.0024488066378919
S00042,0000007_16_21_29,0.5231306073614346,0.0024355223631917
S00043,0000008_3_54_30,0.48543299043120425,0.0
S00044,0000009_3_57_14,0.47053139217433726,0.0
S00047,0000004_21_17_27,0.4411781181458736,0.0024454088310256
S00049,0000003_15_41_11,0.49706614489608136,0.0
S00051,0000011_21_22_29,0.48993753517258576,0.0023918839575332
S00052,0000011_20_50_12,0.49852611823368936,0.0
S00056,0000011_18_45_11,0.4980225656331294,0.0024112401634015
S00057,0000014_24_59_15,0.35149520849310617,0.0
S00058,0000011_18_16_26,0.5038769382028062,0.0
S00059,0000013_13_17_27,0.45550487844429716,0.00240752581914
S00061,0000015_18_56_14,0.48259762031671566,0.0
S00062,0000015_15_42_16,0.44978017525971214,0.0
S00063,0000015_18_44_28,0.478277786732994,0.0
S00064,0000015_11_27_14,0.4583038121343249,0.0
S00065,0000015_13_43_15,0.47999171605384094,0.0
S00068,0000015_14_26_20,0.40963794111602625,0.0096413121496052
S00069,0000012_8_41_16,0.47911550046396606,0.0024141213958187
S00071,0000015_13_30_26,0.5461396111410156,0.0
S00072,0000012_10_49_25,0.5228401728069091,0.0
S00075,0000012_6_37_16,0.4712935193142196,0.0
S00079,0000012_4_27_19,0.5179170089270269,0.0
S00080,0000012_10_34_31,0.4932181291967455,0.0024551575598599
S00081,0000012_5_31_25,0.5156761296834074,0.0048692551117381
S00084,0000004_21_17_18,0.4815949023352219,0.0
S00086,0000004_20_42_12,0.46038536239224415,0.0
S00087,0000005_13_32_29,0.5199362330301759,0.0071833265884257
S00092,0000003_22_33_16,0.501853091899993,0.0
S00096,0000004_19_42_16,0.49905115505826453,0.0
S00098,0000004_9_61_16,0.536279397925665,0.0
S00099,0000005_7_33_16,0.48138706625480354,0.002429023161249
S00101,0000005_12_36_19,0.45924913050928484,0.0047811447811447
S00103,0000003_18_48_19,0.5067384721353723,0.0023947190902958
S00106,0000005_18_38_23,0.5847401788337994,0.0
S00108,0000005_10_54_18,0.541076567992032,0.0
S00109,0000006_11_43_18,0.5132680321029266,0.0024466006035276
S00111,0000005_10_55_15,0.5366859423773063,0.0
S00113,0000005_11_51_20,0.510357696425066,0.0
S00114,0000004_25_46_27,0.5168150447186356,0.0
S00116,0000006_5_51_22,0.5093647328190692,0.0
S00120,0000006_16_30_16,0.4941759216661931,0.0
S00121,0000005_17_50_27,0.5457003526057791,0.0
S00122,0000006_16_18_16,0.5097380048385783,0.0
S00123,0000006_24_29_23,0.5255938954136585,0.0120079634300735
S00124,0000005_17_31_19,0.5471596741759334,0.0
S00126,0000017_6_56_26,0.4455072203418142,0.0145181549966406
S00127,0000017_11_44_20,0.4278832741685785,0.0
S00128,0000017_19_43_26,0.5139832333097788,0.0023878847281078
S00129,0000017_24_13_21,0.4195754478402863,0.0071621056878935
S00130,0000017_9_33_16,0.4961351245026993,0.0048756321399316
