ufs_serial,run_wf_xy,prob,health
S00000,0000000_25_24_25,0.031462711392119584,0.0
S00002,0000000_8_37_24,0.17686756808329304,0.0
S00003,0000000_13_34_27,0.0019325326089877084,0.0
S00004,0000000_10_22_15,0.019519201950364416,0.0
S00009,0000000_7_41_19,0.0011777632101846046,0.0
S00012,0000000_20_50_26,0.0059292428612315266,0.0
S00013,0000000_22_24_20,0.001503558652874401,0.0
S00015,0000001_4_49_31,0.34626009105411343,0.0
S00017,0000002_3_19_16,0.014145464089022175,0.0
S00018,0000003_16_17_20,0.8369934316304929,0.0
S00020,0000003_22_63_22,0.44567958419506093,0.0
S00021,0000004_25_33_23,0.8038367735761072,0.0
S00022,0000005_19_42_14,0.07840337790892374,0.0
S00023,0000003_5_58_18,0.13783755918772253,0.0
S00024,0000003_12_32_17,0.5390360144803072,0.0
S00025,0000003_13_45_17,0.13695724782695862,0.0
S00026,0000003_14_35_23,0.8620517701794156,0.0
S00027,0000003_5_58_21,0.3338615850736082,0.0
S00028,0000003_16_58_21,0.1427901120075982,0.0
S00029,0000004_7_52_18,0.656527757469442,0.0
S00031,0000004_8_26_15,0.5285375062343979,0.0
S00032,0000004_5_36_15,0.14828612795293886,0.0024556306573382
S00034,0000004_7_41_27,0.3323638248101865,0.0
S00035,0000004_7_30_25,0.8761319327718918,0.0
S00037,0000004_8_47_19,0.5386001345963571,0.0024203995363741
S00038,0000003_14_50_14,0.456472825625138,0.0
S00039,0000006_11_28_31,0.07510404470871408,0.0024294149851399
S00041,0000004_23_41_11,0.7417145818043247,0.0024488066378919
S00042,0000007_16_21_29,0.5043019703919038,0.0024355223631917
S00043,0000008_3_54_30,0.03280188685660085,0.0
S00044,0000009_3_57_14,0.02466327247078922,0.0
S00047,0000004_21_17_27,0.03882312370042939,0.0024454088310256
S00049,0000003_15_41_11,0.5217633715576159,0.0
S00051,0000011_21_22_29,0.7409595824527632,0.0023918839575332
S00052,0000011_20_50_12,0.030677696393163627,0.0
S00056,0000011_18_45_11,0.20958069900398377,0.0024112401634015
S00057,0000014_24_59_15,0.012242552392241913,0.0
S00058,0000011_18_16_26,0.05300344722978298,0.0
S00059,0000013_13_17_27,0.18206849539231013,0.00240752581914
S00061,0000015_18_56_14,0.2949460097801253,0.0
S00062,0000015_15_42_16,0.5367783706685044,0.0
S00063,0000015_18_44_28,0.23905197905078515,0.0
S00064,0000015_11_27_14,0.6567051464638665,0.0
S00065,0000015_13_43_15,0.829382324437223,0.0
S00068,0000015_14_26_20,0.014793879700816727,0.0096413121496052
S00069,0000012_8_41_16,0.9887507594260574,0.0024141213958187
S00071,0000015_13_30_26,0.830025608971251,0.0
S00072,0000012_10_49_25,0.3752955825405148,0.0
S00075,0000012_6_37_16,0.635512480185701,0.0
S00079,0000012_4_27_19,0.33398337056120936,0.0
S00080,0000012_10_34_31,0.19573245012399132,0.0024551575598599
S00081,0000012_5_31_25,0.44580527268040177,0.0048692551117381
S00084,0000004_21_17_18,0.10519609501802267,0.0
S00086,0000004_20_42_12,0.9028814388293597,0.0
S00087,0000005_13_32_29,0.04089820940323546,0.0071833265884257
S00092,0000003_22_33_16,0.4499542908234372,0.0
S00096,0000004_19_42_16,0.0559720538052985,0.0
S00098,0000004_9_61_16,0.791047403289946,0.0
S00099,0000005_7_33_16,0.10350499085387982,0.002429023161249
S00101,0000005_12_36_19,0.006651053201457026,0.0047811447811447
S00103,0000003_18_48_19,0.7258798531539834,0.0023947190902958
S00106,0000005_18_38_23,0.527438217606324,0.0
S00108,0000005_10_54_18,0.7245748172204624,0.0
S00109,0000006_11_43_18,0.023803600930457105,0.0024466006035276
S00111,0000005_10_55_15,0.2448106172363069,0.0
S00113,0000005_11_51_20,0.37855772210345423,0.0
S00114,0000004_25_46_27,0.9170575566402502,0.0
S00116,0000006_5_51_22,0.13683548208264554,0.0
S00120,0000006_16_30_16,0.11654911471980647,0.0
S00121,0000005_17_50_27,0.02615697640448835,0.0
S00122,0000006_16_18_16,0.06882830360858225,0.0
S00123,0000006_24_29_23,0.11167115524878975,0.0120079634300735
S00124,0000005_17_31_19,0.03640542268435785,0.0
S00126,0000017_6_56_26,0.40828180935012687,0.0145181549966406
S00127,0000017_11_44_20,0.1603830211472542,0.0
S00128,0000017_19_43_26,0.41839644805380166,0.0023878847281078
S00129,0000017_24_13_21,0.46332528948651264,0.0071621056878935
S00130,0000017_9_33_16,0.044368116542671025,0.0048756321399316
S00131,0000017_3_63_24,0.30265658889187114,0.0
S00132,0000017_9_37_26,0.23217610321144763,0.0
S00133,0000017_9_35_15,0.5694196334083774,0.0
S00134,0000017_11_39_25,0.7869471083687867,0.0
S00135,0000018_24_27_14,0.17071586766340513,0.0024002704530087
S00136,0000001_22_29_23,0.0018653947632309164,0.0024124339857098
S00137,0000001_1_62_25,0.08605222578851025,0.0
S00138,0000009_20_36_24,0.0831960843398732,0.0024209654634906
S00139,0000018_24_19_25,0.2826093635785367,0.0023857183316292
S00142,0000001_17_25_28,0.48331148748343883,0.0023883666839667
S00144,0000020_8_25_17,0.8036208882693014,0.0
S00145,0000001_17_60_25,0.09712223175918643,0.0048074365336157
S00146,0000001_1_48_16,0.1994260380659036,0.0
S00148,0000001_17_21_22,0.1364774443835357,0.0023848940713548
S00149,0000001_17_45_19,0.020703116205797296,0.0
S00150,0000020_10_45_21,0.0006608993794663165,0.0024284534611569
S00151,0000001_9_37_22,0.029924946805782983,0.0
S00152,0000017_25_45_27,0.01533295213406422,0.0
S00153,0000001_7_47_24,0.0023990589192343817,0.0
S00154,0000001_15_48_24,0.038143580608884016,0.0024048348309115
S00155,0000001_10_39_13,0.035509492324260344,0.0
S00156,0000001_11_25_17,0.019295539846141473,0.0
S00157,0000009_7_29_17,0.01919166662539863,0.0023905723905723
S00158,0000001_11_39_30,0.06218406065956558,0.0
S00162,0000001_23_16_22,0.056518323539257315,0.0
S00164,0000017_19_41_12,0.41734008008539764,0.0
S00165,0000001_23_55_25,0.24631881228738622,0.0
S00166,0000001_23_33_21,0.0312859151704789,0.0
S00168,0000007_10_25_22,0.15866045770175538,0.0044468304030778
S00169,0000007_5_44_15,0.2795162791905373,0.002185201306724
S00170,0000007_5_32_12,0.15011042622503235,0.0
S00171,0000007_10_37_22,0.0629187539916627,0.002232734493277
S00174,0000007_20_40_22,0.6669706608940177,0.0
S00175,0000007_21_46_13,0.03815630355621814,0.0
S00177,0000021_19_40_29,0.09856393004458108,0.0043713251623854
S00178,0000021_19_46_28,0.1104357417016217,0.0
S00180,0000021_22_54_28,0.06913801860673345,0.0
S00181,0000021_22_33_20,0.52239369671913,0.0
S00183,0000021_22_55_14,0.004929635117933778,0.0
S00185,0000021_24_54_16,0.7903098074904273,0.0
S00186,0000021_25_55_25,0.15381861991028664,0.0
S00187,0000021_11_35_14,0.4939549132315813,0.0023849627379564
S00188,0000021_24_34_12,0.28266264387390516,0.0
S00189,0000021_11_40_25,0.07620598727157946,0.0
S00191,0000021_9_31_21,0.023438782105773655,0.0
S00192,0000021_8_42_14,0.0016814435037832707,0.0
S00193,0000021_9_17_24,0.5960379612704907,0.0
S00194,0000021_8_47_20,0.007968155940435947,0.0023942345675443
S00199,0000008_6_28_27,0.007897456236245524,0.0
S00201,0000008_6_35_28,0.16563034752866534,0.0
S00202,0000008_6_40_24,0.8926909952311057,0.0
S00205,0000008_24_19_24,0.9043719837252358,0.0024191978193146
S00206,0000016_3_14_20,0.022748587809865144,0.0
S00207,0000016_3_47_21,0.2902979357803557,0.0024246859373094
S00208,0000008_12_60_17,0.3695579774655607,0.0
S00210,0000008_12_51_18,0.6718180976589851,0.0
S00211,0000016_15_26_16,0.041433628178099154,0.0024002356770644
S00214,0000002_16_54_27,0.42417879033142886,0.0
S00216,0000002_14_39_30,0.49531934166100905,0.0
S00217,0000002_22_35_18,0.039199581882288136,0.0
S00218,0000004_22_56_15,0.3268956561276995,0.0
S00220,0000004_10_33_26,0.8587840255861486,0.0048111362800333
S00221,0000006_23_50_17,0.9020961484303054,0.0024405814181889
S00223,0000004_4_32_29,0.46480889692598276,0.0
