ufs_serial,run_wf_xy,prob,health
S00000,0000000_25_24_25,0.013546700589358807,0.0
S00002,0000000_8_37_24,0.0010477962205186486,0.0
S00003,0000000_13_34_27,0.003813943127170205,0.0
S00004,0000000_10_22_15,0.0008597759297117591,0.0
S00009,0000000_7_41_19,0.014206496998667717,0.0
S00012,0000000_20_50_26,0.0032281947787851095,0.0
S00013,0000000_22_24_20,0.010174372233450413,0.0
S00015,0000001_4_49_31,0.4728859066963196,0.0
S00017,0000002_3_19_16,0.03188464790582657,0.0
S00018,0000003_16_17_20,0.46059295535087585,0.0
S00020,0000003_22_63_22,0.5081772804260254,0.0
S00021,0000004_25_33_23,0.5842388868331909,0.0
S00022,0000005_19_42_14,0.3524150252342224,0.0
S00023,0000003_5_58_18,0.012496193870902061,0.0
S00024,0000003_12_32_17,0.4468122720718384,0.0
S00025,0000003_13_45_17,0.1749320775270462,0.0
S00026,0000003_14_35_23,0.7434295415878296,0.0
S00027,0000003_5_58_21,0.11250800639390945,0.0
S00028,0000003_16_58_21,0.15192276239395142,0.0
S00029,0000004_7_52_18,0.012885229662060738,0.0
S00031,0000004_8_26_15,0.15822719037532806,0.0
S00032,0000004_5_36_15,0.7547553777694702,0.0024556306573382
S00034,0000004_7_41_27,0.23735755681991577,0.0
S00035,0000004_7_30_25,0.5039608478546143,0.0
S00037,0000004_8_47_19,0.1368068903684616,0.0024203995363741
S00038,0000003_14_50_14,0.36817729473114014,0.0
S00039,0000006_11_28_31,0.10826026648283005,0.0024294149851399
S00041,0000004_23_41_11,0.4590875804424286,0.0024488066378919
S00042,0000007_16_21_29,0.6202573180198669,0.0024355223631917
S00043,0000008_3_54_30,0.22826401889324188,0.0
S00044,0000009_3_57_14,0.07199457287788391,0.0
S00047,0000004_21_17_27,0.1636628955602646,0.0024454088310256
S00049,0000003_15_41_11,0.019427649676799774,0.0
S00051,0000011_21_22_29,0.28542158007621765,0.0023918839575332
S00052,0000011_20_50_12,0.4838253855705261,0.0
S00056,0000011_18_45_11,0.1192697137594223,0.0024112401634015
S00057,0000014_24_59_15,0.03492473438382149,0.0
S00058,0000011_18_16_26,0.33538544178009033,0.0
S00059,0000013_13_17_27,0.008828098885715008,0.00240752581914
S00061,0000015_18_56_14,0.5526365041732788,0.0
S00062,0000015_15_42_16,0.2952830493450165,0.0
S00063,0000015_18_44_28,0.3306399881839752,0.0
S00064,0000015_11_27_14,0.6721485257148743,0.0
S00065,0000015_13_43_15,0.9012088775634766,0.0
S00068,0000015_14_26_20,0.18609170615673065,0.0096413121496052
S00069,0000012_8_41_16,0.9522691965103149,0.0024141213958187
S00071,0000015_13_30_26,0.9736462235450745,0.0
S00072,0000012_10_49_25,0.22750581800937653,0.0
S00075,0000012_6_37_16,0.20390310883522034,0.0
S00079,0000012_4_27_19,0.42937004566192627,0.0
S00080,0000012_10_34_31,0.23906752467155457,0.0024551575598599
S00081,0000012_5_31_25,0.362728089094162,0.0048692551117381
S00084,0000004_21_17_18,0.6513588428497314,0.0
S00086,0000004_20_42_12,0.7012435793876648,0.0
S00087,0000005_13_32_29,0.36546406149864197,0.0071833265884257
S00092,0000003_22_33_16,0.6640737056732178,0.0
S00096,0000004_19_42_16,0.6169145703315735,0.0
S00098,0000004_9_61_16,0.7523494958877563,0.0
S00099,0000005_7_33_16,0.30996087193489075,0.002429023161249
S00101,0000005_12_36_19,0.0004737800336442888,0.0047811447811447
S00103,0000003_18_48_19,0.3916478157043457,0.0023947190902958
S00106,0000005_18_38_23,0.932931125164032,0.0
S00108,0000005_10_54_18,0.6545991897583008,0.0
S00109,0000006_11_43_18,0.05509553849697113,0.0024466006035276
S00111,0000005_10_55_15,0.179254949092865,0.0
S00113,0000005_11_51_20,0.6256311535835266,0.0
S00114,0000004_25_46_27,0.6703513860702515,0.0
S00116,0000006_5_51_22,0.5129356980323792,0.0
S00120,0000006_16_30_16,0.10363021492958069,0.0
S00121,0000005_17_50_27,0.8614511489868164,0.0
S00122,0000006_16_18_16,0.9219176769256592,0.0
S00123,0000006_24_29_23,0.1878277063369751,0.0120079634300735
S00124,0000005_17_31_19,0.010698586702346802,0.0
S00126,0000017_6_56_26,0.5858093500137329,0.0145181549966406
S00127,0000017_11_44_20,0.7318681478500366,0.0
S00128,0000017_19_43_26,0.7862496376037598,0.0023878847281078
S00129,0000017_24_13_21,0.07826259732246399,0.0071621056878935
S00130,0000017_9_33_16,0.6708241105079651,0.0048756321399316
S00131,0000017_3_63_24,0.22362583875656128,0.0
S00132,0000017_9_37_26,0.5588392615318298,0.0
S00133,0000017_9_35_15,0.71469646692276,0.0
S00134,0000017_11_39_25,0.3423621952533722,0.0
S00135,0000018_24_27_14,0.0806272029876709,0.0024002704530087
S00136,0000001_22_29_23,0.4006131887435913,0.0024124339857098
S00137,0000001_1_62_25,0.10613606125116348,0.0
S00138,0000009_20_36_24,0.34805336594581604,0.0024209654634906
S00139,0000018_24_19_25,0.7215050458908081,0.0023857183316292
S00142,0000001_17_25_28,0.2957853674888611,0.0023883666839667
S00144,0000020_8_25_17,0.20460183918476105,0.0
S00145,0000001_17_60_25,0.3891817033290863,0.0048074365336157
S00146,0000001_1_48_16,0.30169108510017395,0.0
S00148,0000001_17_21_22,0.8027334809303284,0.0023848940713548
S00149,0000001_17_45_19,0.172883540391922,0.0
S00150,0000020_10_45_21,0.022155651822686195,0.0024284534611569
S00151,0000001_9_37_22,0.18032577633857727,0.0
S00152,0000017_25_45_27,0.12079901248216629,0.0
S00153,0000001_7_47_24,0.030683644115924835,0.0
S00154,0000001_15_48_24,0.1282183676958084,0.0024048348309115
S00155,0000001_10_39_13,0.08780495822429657,0.0
S00156,0000001_11_25_17,0.43995630741119385,0.0
S00157,0000009_7_29_17,0.05231257900595665,0.0023905723905723
S00158,0000001_11_39_30,0.6336723566055298,0.0
S00162,0000001_23_16_22,0.38160577416419983,0.0
S00164,0000017_19_41_12,0.01975729689002037,0.0
S00165,0000001_23_55_25,0.5105502009391785,0.0
S00166,0000001_23_33_21,0.36654239892959595,0.0
S00168,0000007_10_25_22,0.014221563003957272,0.0044468304030778
S00169,0000007_5_44_15,0.42986565828323364,0.002185201306724
S00170,0000007_5_32_12,0.5185018181800842,0.0
S00171,0000007_10_37_22,0.387456476688385,0.002232734493277
S00174,0000007_20_40_22,0.742205798625946,0.0
S00175,0000007_21_46_13,0.6781175136566162,0.0
S00177,0000021_19_40_29,0.548876941204071,0.0043713251623854
S00178,0000021_19_46_28,0.3769965171813965,0.0
S00180,0000021_22_54_28,0.9552409648895264,0.0
S00181,0000021_22_33_20,0.7704175710678101,0.0
S00183,0000021_22_55_14,0.0368424691259861,0.0
