ufs_serial,pred,health
S00000,0.0035070501479259365,0.0
S00002,0.003384816220501922,0.0
S00003,0.003526810795997881,0.0
S00004,0.00288533917025883,0.0
S00009,0.003469984092589187,0.0
S00012,0.002384339670951572,0.0
S00013,0.0020688588063296574,0.0
S00015,0.00428151800632172,0.0
S00017,0.004302690225935901,0.0
S00018,0.0042922140542514964,0.0
S00020,0.004229919147858694,0.0
S00021,0.004470994262944954,0.0
S00022,0.0036835558153544097,0.0
S00023,0.004109923175589277,0.0
S00024,0.004546248505750639,0.0
S00025,0.004198191207498824,0.0
S00026,0.004468680710870946,0.0
S00027,0.004170466072323887,0.0
S00028,0.0043373236116489725,0.0
S00029,0.00431372909806546,0.0
S00031,0.003981060884143213,0.0
S00032,0.004422317185083419,0.0024556306573382
S00034,0.004315382096511435,0.0
S00035,0.004186581900850728,0.0
S00037,0.0041008341153585745,0.0024203995363741
S00038,0.004771034928102498,0.0
S00039,0.004254907157241815,0.0024294149851399
S00041,0.00464582545567061,0.0024488066378919
S00042,0.004325271866490418,0.0024355223631917
S00043,0.004007466048110752,0.0
S00044,0.0040442820175059565,0.0
S00047,0.003789406954984419,0.0024454088310256
S00049,0.004146349632382725,0.0
S00051,0.0041586287648024255,0.0023918839575332
S00052,0.0039052057052922,0.0
S00056,0.004104868144333023,0.0024112401634015
S00057,0.00342941289819132,0.0
S00058,0.004298336598048122,0.0
S00059,0.00395457312137335,0.00240752581914
S00061,0.004181082375908154,0.0
S00062,0.003659912377817367,0.0
S00063,0.0040608343709924236,0.0
S00064,0.004038744714900211,0.0
S00065,0.003926551814667516,0.0
S00068,0.00373085229075422,0.0096413121496052
S00069,0.004076606398543445,0.0024141213958187
S00071,0.004779343252610702,0.0
S00072,0.004490470469076655,0.0
S00075,0.004105120679343826,0.0
S00079,0.004493320201069455,0.0
S00080,0.004228421974696535,0.0024551575598599
S00081,0.0044187466739940215,0.0048692551117381
S00084,0.004144041995812471,0.0
S00086,0.004002196219679644,0.0
S00087,0.004420807866776077,0.0071833265884257
S00092,0.004008659603319515,0.0
S00096,0.0041881027868596946,0.0
S00098,0.004435691781188711,0.0
S00099,0.004319628427523377,0.002429023161249
S00101,0.004071799653643875,0.0047811447811447
S00103,0.004193750808402081,0.0023947190902958
S00106,0.00461729009623298,0.0
S00108,0.004602083165114039,0.0
S00109,0.004234720135761333,0.0024466006035276
S00111,0.004464601826154926,0.0
S00113,0.004255616966876206,0.0
S00114,0.004338953498135533,0.0
S00116,0.004335533364377665,0.0
S00120,0.004206549712875511,0.0
S00121,0.004437946621881858,0.0
S00122,0.004432167062608476,0.0
S00123,0.0043527603817269936,0.0120079634300735
S00124,0.00457954338022677,0.0
S00126,0.003617308407933422,0.0145181549966406
S00127,0.003765409721887889,0.0
S00128,0.004081592022828695,0.0023878847281078
S00129,0.003495347606792799,0.0071621056878935
S00130,0.004216267200682862,0.0048756321399316
S00131,0.0038556206948883393,0.0
S00132,0.004433878020280195,0.0
S00133,0.004229393788169186,0.0
S00134,0.004076516979434018,0.0
S00135,0.004700038184333628,0.0024002704530087
S00136,0.0040987404222179065,0.0024124339857098
S00137,0.004170562302832538,0.0
S00138,0.0038582758249862664,0.0024209654634906
S00139,0.004690218335635159,0.0023857183316292
S00142,0.004406295542338038,0.0023883666839667
S00144,0.004343921110493894,0.0
S00145,0.0042458867730004795,0.0048074365336157
S00146,0.004350438897826898,0.0
S00148,0.004052984807660269,0.0023848940713548
S00149,0.0039506346264926604,0.0
S00150,0.0040014758554186534,0.0024284534611569
S00151,0.0038698844387745927,0.0
S00152,0.0035834523578479175,0.0
S00153,0.004039009360885871,0.0
S00154,0.004099821213590749,0.0024048348309115
S00155,0.004136192962204646,0.0
S00156,0.004149782555105722,0.0
S00157,0.004102114339181064,0.0023905723905723
S00158,0.004194835358412624,0.0
S00162,0.0038478777646948326,0.0
S00164,0.0036123137750726834,0.0
S00165,0.003993683143753462,0.0
S00166,0.0039475734729116085,0.0
S00168,0.00464667270709421,0.0044468304030778
S00169,0.004755240062465507,0.002185201306724
S00170,0.004557809925449253,0.0
S00171,0.0046574718735136345,0.002232734493277
S00174,0.004550819461961467,0.0
S00175,0.004472534248264645,0.0
S00177,0.004042441521673181,0.0043713251623854
S00178,0.004143108040027078,0.0
S00180,0.003722749937848383,0.0
S00181,0.004166906622627583,0.0
S00183,0.003813392797194779,0.0
