clf,reg,oof,val,test
catboost,catboost,0.008297764281244473,0.005739218190793243,0.008428812941638887
catboost,lgbm,0.008291469686822192,0.005740589361884232,0.00843083963958317
catboost,xgb,0.008289555877166462,0.005741959483349517,0.008431257074542429
xgb,et,0.00832760608393358,0.005750903979206094,0.00843344374639505
xgb,enet,0.008328271340441453,0.005752099056610387,0.00843427211487133
catboost,et,0.008306840349724473,0.005753392594135762,0.008421457193928474
catboost,enet,0.008307743452109842,0.005754436442757443,0.008422287820060992
xgb,catboost,0.008332788369481058,0.005771319039506308,0.00846024809134451
xgb,lgbm,0.008326597376392212,0.0057763384580277145,0.008464490806849087
xgb,xgb,0.008324629704734902,0.005776748028257869,0.008464223121595426
lgbm,et,0.008352472308986702,0.005786332156772489,0.008461643078070173
et,lgbm,0.008299408116721816,0.005786921792796527,0.008468905520127776
lgbm,enet,0.00835272779487895,0.005787606829913372,0.008462579812250261
et,xgb,0.008299342281973519,0.00579001106050165,0.008471097019391543
et,catboost,0.008322636755193173,0.0058045924082598885,0.008481005361249164
lgbm,catboost,0.008364692256742695,0.00581785025325069,0.008496379424633157
lgbm,lgbm,0.008363003873652528,0.005825465753426244,0.008501672950044862
lgbm,xgb,0.008361023948320908,0.005825487537525562,0.008501523080740167
et,et,0.008401714998695358,0.00595134891374547,0.008565599464767247
et,enet,0.008402841176885488,0.005952752490474635,0.008566594612919963
