model,coef,is_grid,abs_coef
bag_zit_hpo,0.0007326044153756681,False,0.0007326044153756681
bag_zit_fixed_ge,0.0004747625813963022,False,0.0004747625813963022
zit_only,0.0003747780397572434,False,0.0003747780397572434
lgbm,-0.00024757028943442436,False,0.00024757028943442436
bag_zit_combined_best_xy,-0.00018127500592006338,False,0.00018127500592006338
catboost,-0.0001338221619624934,False,0.0001338221619624934
enet,-7.816854086380597e-05,False,7.816854086380597e-05
grid__et_x_et,7.337078086715412e-05,True,7.337078086715412e-05
grid__lgbm_x_et,-7.122698570620551e-05,True,7.122698570620551e-05
et,7.10326298379175e-05,False,7.10326298379175e-05
grid__catboost_x_et,5.4544177515993595e-05,True,5.4544177515993595e-05
grid__xgb_x_enet,-4.30068392767952e-05,True,4.30068392767952e-05
grid__et_x_enet,6.346164833503972e-06,True,6.346164833503972e-06
bag_zit_pp_hpo,4.257282490879834e-06,False,4.257282490879834e-06
bag_zit_combined_best,-0.0,False,0.0
grid__catboost_x_enet,0.0,True,0.0
grid__lgbm_x_enet,-0.0,True,0.0
grid__xgb_x_et,-0.0,True,0.0
