clf,reg,mean_oof,mean_val,mean_test,weighted_oof,weighted_val,weighted_test,delta_val,delta_test,w1,w2,w3,w4
catboost,catboost,0.008297764281244473,0.005739218190793243,0.008428812941638887,0.008297753133044088,0.005739278123824482,0.008428706222640142,5.993303123924543e-08,-1.0671899874567514e-07,0.23330762120823537,0.22645406690374162,0.2808003120748081,0.2594379998132148
catboost,lgbm,0.008291469686822192,0.005740589361884232,0.00843083963958317,0.008291434490557895,0.005740586801452589,0.008430653020811299,-2.5604316427479956e-09,-1.8661877187152454e-07,0.2215773942374027,0.24108734775101803,0.2674854879803183,0.2698497700312609
catboost,xgb,0.008289555877166462,0.005741959483349517,0.008431257074542429,0.008289518527797954,0.005742028669356418,0.008431243371314567,6.918600690096477e-08,-1.3703227861455725e-08,0.24749003331713035,0.24459838406201176,0.24106181228284523,0.2668497703380126
xgb,et,0.00832760608393358,0.005750903979206094,0.00843344374639505,0.008327318623629027,0.00575086926573209,0.00843368237660528,-3.471347400415409e-08,2.3863021022911546e-07,0.25970769692176987,0.28286950000269284,0.1933442244307715,0.2640785786447657
xgb,enet,0.008328271340441453,0.005752099056610387,0.00843427211487133,0.00832817827559875,0.005751960708743176,0.008434257963003193,-1.3834786721095282e-07,-1.415186813742697e-08,0.23100682548351462,0.2584676939782452,0.24442611978234363,0.2660993607558965
catboost,et,0.008306840349724473,0.005753392594135762,0.008421457193928474,0.008306785091582454,0.005753376186422048,0.008421434797970763,-1.640771371373695e-08,-2.2395957711626724e-08,0.24257549911019544,0.25757818228925244,0.24548591647172208,0.25436040212883
catboost,enet,0.008307743452109842,0.005754436442757443,0.008422287820060992,0.008307688147733664,0.005754422948634647,0.008422290853614928,-1.3494122795727759e-08,3.033553935827271e-09,0.24257549911019544,0.25757818228925244,0.24548591647172208,0.25436040212883
xgb,catboost,0.008332788369481058,0.005771319039506308,0.00846024809134451,0.008332690300856182,0.005771017797863351,0.00846040702425476,-3.012416429576739e-07,1.5893291024915435e-07,0.22861641754088838,0.2655043097524031,0.22937332866698942,0.2765059440397192
xgb,lgbm,0.008326597376392212,0.0057763384580277145,0.008464490806849087,0.008326311682663207,0.005776072827155579,0.008464773915385452,-2.656308721350753e-07,2.831085363641517e-07,0.27083898185633287,0.2803166508362377,0.2036355028434888,0.2452088644639406
xgb,xgb,0.008324629704734902,0.005776748028257869,0.008464223121595426,0.00832419913198632,0.00577643453463752,0.00846435647897032,-3.134936203495059e-07,1.3335737489295063e-07,0.2417039766197499,0.28673910700346933,0.20325005627619913,0.2683068601005816
lgbm,et,0.008352472308986702,0.005786332156772489,0.008461643078070173,0.008352273886278534,0.005786011400152621,0.008461466462718129,-3.2075661986815523e-07,-1.7661535204466228e-07,0.2554218944968988,0.25610605016401344,0.2561213567892072,0.2323506985498806
lgbm,enet,0.00835272779487895,0.005787606829913372,0.008462579812250261,0.00835252657770685,0.005787275861656659,0.0084623849524833,-3.309682567132974e-07,-1.948597669609864e-07,0.2554218944968988,0.25610605016401344,0.2561213567892072,0.2323506985498806
et,lgbm,0.008299408116721816,0.005786921792796527,0.008468905520127776,0.008299074372774341,0.005787594934627329,0.008468014711805917,6.731418308019571e-07,-8.908083218590185e-07,0.3015557390796337,0.1536410788373861,0.39135235720801,0.15345082487497017
et,xgb,0.008299342281973519,0.00579001106050165,0.008471097019391543,0.008299163416291614,0.005789839156993915,0.008471340249425198,-1.7190350773497315e-07,2.4323003365578355e-07,0.3039694181634853,0.2641306898896759,0.2650650750793963,0.16683481686744242
et,catboost,0.008322636755193171,0.0058045924082598885,0.008481005361249164,0.008322652552127044,0.0058046191662576045,0.008480985837522822,2.6757997716002346e-08,-1.9523726342215997e-08,0.2426807564539198,0.25282945899197296,0.25428572916414,0.2502040553899672
lgbm,catboost,0.008364692256742695,0.00581785025325069,0.008496379424633157,0.008364541390753212,0.005817869624215049,0.008496126724204798,1.9370964359465004e-08,-2.5270042835860707e-07,0.2427506445089892,0.26161380700304804,0.28056566006991424,0.2150698884180485
lgbm,xgb,0.008361023948320908,0.005825487537525562,0.008501523080740167,0.008360923170638246,0.005824997189020348,0.008501030070424293,-4.903485052139625e-07,-4.930103158738708e-07,0.24766049202080173,0.2805726985505311,0.2599175961460918,0.21184921328257544
lgbm,lgbm,0.008363003873652528,0.005825465753426244,0.008501672950044862,0.008362935004222487,0.005825469688647434,0.008501374831268551,3.9352211897089595e-09,-2.9811877631097383e-07,0.23852075191957112,0.26224998978271563,0.26341313225325363,0.23581612604445967
et,et,0.008401714998695358,0.00595134891374547,0.008565599464767247,0.00840138247631242,0.0059519036691837,0.008565537799058224,5.547554382300326e-07,-6.166570902348123e-08,0.253315613130002,0.03615398813168902,0.537902172642777,0.17262822609553202
et,enet,0.008402841176885488,0.005952752490474635,0.008566594612919963,0.008402735907664396,0.005953501871527486,0.00856677787962871,7.493810528511405e-07,1.832667087461881e-07,0.154173540440185,0.3056527591069426,0.3383759469409655,0.20179775351190699
