ufs_serial,run_wf_xy,pred,health
S00000,0000000_25_24_25,0.008639991704164242,0.0
S00002,0000000_8_37_24,0.008132922908744473,0.0
S00003,0000000_13_34_27,0.008658945569099465,0.0
S00004,0000000_10_22_15,0.008623162099903074,0.0
S00009,0000000_7_41_19,0.008477501334486113,0.0
S00012,0000000_20_50_26,0.007936228460906358,0.0
S00013,0000000_22_24_20,0.008548287773921704,0.0
S00015,0000001_4_49_31,0.008783337941229572,0.0
S00017,0000002_3_19_16,0.008741407378049093,0.0
S00018,0000003_16_17_20,0.008932684619338598,0.0
S00020,0000003_22_63_22,0.00825931000937883,0.0
S00021,0000004_25_33_23,0.008211445550697824,0.0
S00022,0000005_19_42_14,0.00827267963693282,0.0
S00023,0000003_5_58_18,0.008379168966026664,0.0
S00024,0000003_12_32_17,0.008994617119069778,0.0
S00025,0000003_13_45_17,0.0076100907119592736,0.0
S00026,0000003_14_35_23,0.007916735282958122,0.0
S00027,0000003_5_58_21,0.008256856854695127,0.0
S00028,0000003_16_58_21,0.008713866477069978,0.0
S00029,0000004_7_52_18,0.008073584495026868,0.0
S00031,0000004_8_26_15,0.008992402534586505,0.0
S00032,0000004_5_36_15,0.008518322737867111,0.0024556306573382
S00034,0000004_7_41_27,0.008404369462779086,0.0
S00035,0000004_7_30_25,0.00842308105246172,0.0
S00037,0000004_8_47_19,0.008274569856473912,0.0024203995363741
S00038,0000003_14_50_14,0.008402208612696208,0.0
S00039,0000006_11_28_31,0.009388264365838445,0.0024294149851399
S00041,0000004_23_41_11,0.008372134305918898,0.0024488066378919
S00042,0000007_16_21_29,0.007661544990691406,0.0024355223631917
S00043,0000008_3_54_30,0.008867513259931046,0.0
S00044,0000009_3_57_14,0.00815830205302709,0.0
S00047,0000004_21_17_27,0.008731360660410399,0.0024454088310256
S00049,0000003_15_41_11,0.008181924214780685,0.0
S00051,0000011_21_22_29,0.008583777080866177,0.0023918839575332
S00052,0000011_20_50_12,0.0077915206071671825,0.0
S00056,0000011_18_45_11,0.008539402789616837,0.0024112401634015
S00057,0000014_24_59_15,0.008237044413961298,0.0
S00058,0000011_18_16_26,0.008384165766168229,0.0
S00059,0000013_13_17_27,0.008014013021016841,0.00240752581914
S00061,0000015_18_56_14,0.009413622600152738,0.0
S00062,0000015_15_42_16,0.009425485067421984,0.0
S00063,0000015_18_44_28,0.009038055470728728,0.0
S00064,0000015_11_27_14,0.008994966110270865,0.0
S00065,0000015_13_43_15,0.00784198963595279,0.0
S00068,0000015_14_26_20,0.007906653860761084,0.0096413121496052
S00069,0000012_8_41_16,0.009222576364878303,0.0024141213958187
S00071,0000015_13_30_26,0.008114717662274678,0.0
S00072,0000012_10_49_25,0.008388053424495822,0.0
S00075,0000012_6_37_16,0.008649327596061945,0.0
S00079,0000012_4_27_19,0.008750546955738481,0.0
S00080,0000012_10_34_31,0.008836835870983025,0.0024551575598599
S00081,0000012_5_31_25,0.00846291647938158,0.0048692551117381
S00084,0000004_21_17_18,0.008463228879764187,0.0
S00086,0000004_20_42_12,0.008856149060354389,0.0
S00087,0000005_13_32_29,0.008583361194806275,0.0071833265884257
S00092,0000003_22_33_16,0.008129279350301158,0.0
S00096,0000004_19_42_16,0.009149223206587401,0.0
S00098,0000004_9_61_16,0.008838241095760917,0.0
S00099,0000005_7_33_16,0.008389425026068964,0.002429023161249
S00101,0000005_12_36_19,0.008901902543425865,0.0047811447811447
S00103,0000003_18_48_19,0.008673413024671126,0.0023947190902958
S00106,0000005_18_38_23,0.00790576765435132,0.0
S00108,0000005_10_54_18,0.008403542628426535,0.0
S00109,0000006_11_43_18,0.008513764450176275,0.0024466006035276
S00111,0000005_10_55_15,0.008570769312071526,0.0
S00113,0000005_11_51_20,0.009072180545469653,0.0
S00114,0000004_25_46_27,0.009093685125465677,0.0
S00116,0000006_5_51_22,0.008016819256460197,0.0
S00120,0000006_16_30_16,0.008205006015166315,0.0
S00121,0000005_17_50_27,0.008372792902408775,0.0
S00122,0000006_16_18_16,0.009143106859600136,0.0
S00123,0000006_24_29_23,0.008428729943664184,0.0120079634300735
S00124,0000005_17_31_19,0.00884834537180743,0.0
S00126,0000017_6_56_26,0.008486718620468625,0.0145181549966406
S00127,0000017_11_44_20,0.009106209079197737,0.0
S00128,0000017_19_43_26,0.008145204351901428,0.0023878847281078
S00129,0000017_24_13_21,0.008552110545750152,0.0071621056878935
S00130,0000017_9_33_16,0.008549983076631735,0.0048756321399316
S00131,0000017_3_63_24,0.009318244288891043,0.0
S00132,0000017_9_37_26,0.008393410841062378,0.0
S00133,0000017_9_35_15,0.008387779543125135,0.0
S00134,0000017_11_39_25,0.008238102848116546,0.0
S00135,0000018_24_27_14,0.00811011376419145,0.0024002704530087
S00136,0000001_22_29_23,0.008058021024239631,0.0024124339857098
S00137,0000001_1_62_25,0.007619538999374056,0.0
S00138,0000009_20_36_24,0.007821151325809975,0.0024209654634906
S00139,0000018_24_19_25,0.008007076833395441,0.0023857183316292
S00142,0000001_17_25_28,0.008517403789738849,0.0023883666839667
S00144,0000020_8_25_17,0.00811830742012375,0.0
S00145,0000001_17_60_25,0.00918146751440383,0.0048074365336157
S00146,0000001_1_48_16,0.00860367942306966,0.0
S00148,0000001_17_21_22,0.009050129361132694,0.0023848940713548
S00149,0000001_17_45_19,0.007729987875468917,0.0
S00150,0000020_10_45_21,0.007411239489529368,0.0024284534611569
S00151,0000001_9_37_22,0.007699940277494872,0.0
S00152,0000017_25_45_27,0.007901215412554103,0.0
S00153,0000001_7_47_24,0.00921682960261388,0.0
S00154,0000001_15_48_24,0.007932959426930453,0.0024048348309115
S00155,0000001_10_39_13,0.008243058569834238,0.0
S00156,0000001_11_25_17,0.008263367789782554,0.0
S00157,0000009_7_29_17,0.008021552019788257,0.0023905723905723
S00158,0000001_11_39_30,0.008658923907263048,0.0
S00162,0000001_23_16_22,0.008124803420572587,0.0
S00164,0000017_19_41_12,0.008231326543577255,0.0
S00165,0000001_23_55_25,0.008349436514537508,0.0
S00166,0000001_23_33_21,0.008422441113935817,0.0
S00168,0000007_10_25_22,0.008173349538846153,0.0044468304030778
S00169,0000007_5_44_15,0.008503736340176326,0.002185201306724
S00170,0000007_5_32_12,0.008311463854723148,0.0
S00171,0000007_10_37_22,0.008227029354872763,0.002232734493277
S00174,0000007_20_40_22,0.007569223243186463,0.0
S00175,0000007_21_46_13,0.00822522634507408,0.0
S00177,0000021_19_40_29,0.00781782400076849,0.0043713251623854
S00178,0000021_19_46_28,0.007961356965821004,0.0
S00180,0000021_22_54_28,0.008703794408246488,0.0
S00181,0000021_22_33_20,0.00864742307665405,0.0
S00183,0000021_22_55_14,0.008407707697374782,0.0
S00185,0000021_24_54_16,0.008687398811146342,0.0
S00186,0000021_25_55_25,0.008635094006853819,0.0
S00187,0000021_11_35_14,0.008373058979203997,0.0023849627379564
S00188,0000021_24_34_12,0.009155875153926003,0.0
S00189,0000021_11_40_25,0.009094837509249274,0.0
S00191,0000021_9_31_21,0.008992424556128562,0.0
S00192,0000021_8_42_14,0.00936837072042741,0.0
S00193,0000021_9_17_24,0.00896679080053579,0.0
S00194,0000021_8_47_20,0.008720519072381843,0.0023942345675443
S00199,0000008_6_28_27,0.00876571431223514,0.0
S00201,0000008_6_35_28,0.008893455604172488,0.0
S00202,0000008_6_40_24,0.008049813159678246,0.0
S00205,0000008_24_19_24,0.008862499846211099,0.0024191978193146
S00206,0000016_3_14_20,0.008223831382746027,0.0
S00207,0000016_3_47_21,0.0077995169535926044,0.0024246859373094
S00208,0000008_12_60_17,0.00854648967274034,0.0
S00210,0000008_12_51_18,0.008102087369662234,0.0
S00211,0000016_15_26_16,0.007513623427826782,0.0024002356770644
S00214,0000002_16_54_27,0.008130313375796758,0.0
S00216,0000002_14_39_30,0.009087763886376337,0.0
S00217,0000002_22_35_18,0.008109905766249682,0.0
S00218,0000004_22_56_15,0.008937738981974952,0.0
S00220,0000004_10_33_26,0.00830759851228184,0.0048111362800333
S00221,0000006_23_50_17,0.0077713302142389945,0.0024405814181889
S00223,0000004_4_32_29,0.007761220831891847,0.0
S00226,0000004_4_37_16,0.008470399495623119,0.0
S00227,0000009_6_47_25,0.008636750692412633,0.0
S00229,0000003_10_41_20,0.008740978763090483,0.0
S00233,0000011_23_16_18,0.007838448037467796,0.0
S00237,0000011_19_38_25,0.008458671357899232,0.0
S00238,0000016_25_37_23,0.007775855911378073,0.0
S00245,0000009_7_47_29,0.007662222853922055,0.0
S00247,0000008_22_40_17,0.008865716184791698,0.0
S00248,0000009_2_61_20,0.009225309783564735,0.0048394556829523
S00249,0000009_2_17_26,0.008473176335284362,0.0072902762090563
S00252,0000001_16_16_19,0.008465504810536834,0.0
S00253,0000008_14_19_17,0.008721115036217121,0.0
S00257,0000019_14_46_22,0.008329520769467653,0.0122792453576052
S00258,0000022_7_29_26,0.008383010839877083,0.004889013491513
S00259,0000022_6_51_28,0.00853469722098042,0.0
S00260,0000022_7_18_22,0.008058782023275255,0.0
S00261,0000022_6_22_20,0.008321847032431735,0.0
S00262,0000022_7_37_31,0.008880118502520604,0.0
S00264,0000022_6_30_20,0.009346574884698602,0.0
S00265,0000022_5_40_28,0.00907736618695042,0.0021986286219862
S00267,0000022_3_51_13,0.008954453689073879,0.0022214176846302
S00268,0000022_7_32_31,0.0084957228789802,0.0
S00269,0000022_7_34_16,0.009300405517740102,0.0
S00270,0000022_7_23_24,0.008763790028082204,0.0021931566452205
S00271,0000022_1_58_22,0.009163264292281577,0.0
S00273,0000022_5_27_13,0.00848429211938195,0.0023947190902958
S00275,0000022_1_37_16,0.008480581425396911,0.0
S00277,0000003_10_28_21,0.008230371684663725,0.0
S00278,0000003_10_58_21,0.008323481523942041,0.0024270303793883
S00283,0000012_21_38_24,0.008081047999215338,0.0
S00284,0000012_15_62_18,0.00777552365174575,0.0
S00289,0000023_4_30_31,0.009542693272888808,0.0
S00290,0000023_12_31_31,0.007449018612680901,0.0024540301396377
S00294,0000013_13_46_19,0.008580153048230402,0.0
S00296,0000012_10_16_24,0.008918658083692677,0.0
S00297,0000024_4_14_24,0.008541115899646358,0.0048750582407611
S00302,0000008_14_50_23,0.008323907641385367,0.0
S00303,0000001_13_52_15,0.008632576472790785,0.0044147169073886
S00308,0000008_9_24_19,0.008558048678263399,0.0
S00309,0000009_1_25_17,0.00838616935403275,0.0021791077496437
S00310,0000009_1_21_19,0.008201977041479874,0.0156605896916497
S00311,0000009_3_34_21,0.008313412402606584,0.0
S00312,0000009_3_33_22,0.008248358784724446,0.0022374990433228
S00313,0000009_14_30_14,0.007909957323333914,0.0
S00314,0000009_24_57_25,0.00871838004745018,0.0021928953719759
S00315,0000008_22_48_15,0.009004106807376367,0.0021781336418657
S00316,0000009_24_24_28,0.009659923402534062,0.0
S00318,0000009_14_23_19,0.007659937964702488,0.0022137295775651
S00319,0000009_24_43_31,0.00865820121578384,0.0021892730027839
S00321,0000025_16_24_21,0.009013188805051945,0.0
S00323,0000023_16_27_22,0.007523458407143562,0.0
S00324,0000023_18_39_23,0.008596752714312338,0.002440437609255
S00325,0000023_18_17_18,0.008912036734757704,0.0
S00326,0000023_10_62_21,0.008204079456295891,0.0
S00327,0000023_15_55_16,0.009010475284472706,0.0044787484736659
S00328,0000023_10_48_17,0.008259639296982351,0.0
S00329,0000023_10_37_27,0.008299603286285562,0.0021770745724698
S00331,0000023_11_50_17,0.008408657813795496,0.0
S00332,0000023_14_40_12,0.008265691982192956,0.0
S00334,0000023_13_40_16,0.009191437413470612,0.0072413089722295
S00335,0000023_13_34_20,0.007860415251282338,0.0
S00336,0000023_13_42_31,0.008286906514992228,0.0
S00339,0000023_16_61_22,0.007719056022083321,0.0
S00340,0000023_11_34_26,0.008212584674122968,0.0
S00341,0000023_23_58_19,0.007877191018412763,0.0
S00342,0000023_21_17_17,0.008416250981490864,0.0239999227366672
S00343,0000023_18_55_23,0.008379372178635904,0.0071593200806683
S00344,0000023_22_50_14,0.008197958146739572,0.0
S00347,0000023_17_36_15,0.008132733328895483,0.0
S00349,0000023_18_32_24,0.008763941516680463,0.0
S00350,0000023_13_61_27,0.009356536647293627,0.0022072702240579
S00351,0000009_7_28_30,0.008138122318036012,0.0
S00352,0000001_20_27_14,0.00878478432701986,0.0
S00354,0000003_16_18_18,0.009175805535439193,0.0047855643499528
S00356,0000005_22_37_28,0.007973611280564919,0.0
S00357,0000003_22_47_28,0.008357147440592298,0.0
S00358,0000007_8_43_31,0.008208917200453766,0.0
S00360,0000007_10_28_25,0.007499083904297402,0.0
S00361,0000007_25_43_25,0.008034157884259348,0.0024229128580134
S00362,0000007_5_38_13,0.00783282774644162,0.0
S00363,0000005_19_31_30,0.009033392337599115,0.0
S00366,0000009_21_58_28,0.00846768026905432,0.0044445636815653
S00369,0000008_3_52_22,0.008577889196718895,0.0
S00371,0000008_2_37_19,0.0075565160252719105,0.0087046378029984
S00373,0000009_21_50_18,0.008309107078526619,0.0023894345645892
S00376,0000008_2_39_24,0.008887344834803374,0.0022044799290308
S00377,0000008_2_51_28,0.0077973123324143224,0.0066640743372799
S00378,0000009_25_19_20,0.007968638075690551,0.0
S00379,0000009_25_34_14,0.009121447755432346,0.0024318042813455
S00380,0000008_4_52_15,0.007755279554712391,0.0
S00383,0000007_6_45_25,0.00862402076756741,0.0
S00384,0000008_4_36_13,0.0083079639104124,0.0043461531734788
S00388,0000009_5_43_17,0.008250524307760021,0.0
S00389,0000009_9_38_25,0.008883080713287297,0.0120899864747837
S00390,0000009_4_43_13,0.008329276093618606,0.0
S00393,0000007_5_36_28,0.00871629088640735,0.0
S00395,0000009_8_26_23,0.00791840952105387,0.0
S00396,0000009_8_50_13,0.008432841940162056,0.0
S00398,0000009_13_56_20,0.008364265230094725,0.0
S00400,0000007_4_58_17,0.008784041311911683,0.0
S00402,0000009_25_35_12,0.009197649916886262,0.0
S00403,0000009_13_37_30,0.008937157988073232,0.0043498619334567
S00404,0000009_13_46_13,0.008193569864914306,0.0
S00405,0000009_16_19_27,0.008373291807955636,0.0
S00406,0000009_21_42_15,0.008735712120357885,0.0
S00408,0000002_8_57_23,0.008730329332468126,0.0022408584697236
S00409,0000002_6_19_25,0.009171308512419388,0.002175502182068
S00410,0000002_3_21_17,0.00798379920239593,0.0
S00411,0000000_23_42_28,0.008854196474433643,0.0
S00412,0000000_2_32_24,0.008869445132445784,0.0
S00416,0000000_13_33_12,0.008882833392136186,0.0
S00417,0000004_23_31_27,0.00831164179090425,0.0065888903619249
S00420,0000007_25_39_24,0.007743739940380493,0.0067010031280336
S00423,0000007_17_22_25,0.008211281645803462,0.0022000593174946
S00429,0000007_11_50_24,0.007932794312153157,0.0
