ufs_serial,run_wf_xy,pred,health
S00000,0000000_25_24_25,0.005723206763700488,0.0
S00002,0000000_8_37_24,0.006221158133953201,0.0
S00003,0000000_13_34_27,0.008234104665210176,0.0
S00004,0000000_10_22_15,0.005823749955634702,0.0
S00009,0000000_7_41_19,0.006532427032759087,0.0
S00012,0000000_20_50_26,0.005866287637648695,0.0
S00013,0000000_22_24_20,0.004996920355842354,0.0
S00015,0000001_4_49_31,0.005193342891681503,0.0
S00017,0000002_3_19_16,0.005089662160269496,0.0
S00018,0000003_16_17_20,0.005065748913535,0.0
S00020,0000003_22_63_22,0.004995317217145902,0.0
S00021,0000004_25_33_23,0.006996237038646701,0.0
S00022,0000005_19_42_14,0.008536001841280538,0.0
S00023,0000003_5_58_18,0.005133264992169229,0.0
S00024,0000003_12_32_17,0.005306306026475192,0.0
S00025,0000003_13_45_17,0.006778844233167305,0.0
S00026,0000003_14_35_23,0.008222063179867485,0.0
S00027,0000003_5_58_21,0.005917884032761247,0.0
S00028,0000003_16_58_21,0.005994609466315147,0.0
S00029,0000004_7_52_18,0.007250057135641203,0.0
S00031,0000004_8_26_15,0.006878737872214293,0.0
S00032,0000004_5_36_15,0.0070699627496618135,0.0024556306573382
S00034,0000004_7_41_27,0.005958961636552033,0.0
S00035,0000004_7_30_25,0.005459870584422389,0.0
S00037,0000004_8_47_19,0.004783587792314338,0.0024203995363741
S00038,0000003_14_50_14,0.007288578202512013,0.0
S00039,0000006_11_28_31,0.004788247470905788,0.0024294149851399
S00041,0000004_23_41_11,0.009275566774298543,0.0024488066378919
S00042,0000007_16_21_29,0.004745052905029179,0.0024355223631917
S00043,0000008_3_54_30,0.007122651630275778,0.0
S00044,0000009_3_57_14,0.008998720947287542,0.0
S00047,0000004_21_17_27,0.005160993727439683,0.0024454088310256
S00049,0000003_15_41_11,0.005426051420517442,0.0
S00051,0000011_21_22_29,0.005283451017629322,0.0023918839575332
S00052,0000011_20_50_12,0.00448389203932032,0.0
S00056,0000011_18_45_11,0.00438637745885278,0.0024112401634015
S00057,0000014_24_59_15,0.005275424189518273,0.0
S00058,0000011_18_16_26,0.004753377301771945,0.0
S00059,0000013_13_17_27,0.007797971131756826,0.00240752581914
S00061,0000015_18_56_14,0.006072893649488478,0.0
S00062,0000015_15_42_16,0.005182420763298879,0.0
S00063,0000015_18_44_28,0.007608196165897254,0.0
S00064,0000015_11_27_14,0.006703440699908609,0.0
S00065,0000015_13_43_15,0.007342485241107633,0.0
S00068,0000015_14_26_20,0.006719408171719697,0.0096413121496052
S00069,0000012_8_41_16,0.006866284296579829,0.0024141213958187
S00071,0000015_13_30_26,0.005113464601519574,0.0
S00072,0000012_10_49_25,0.005201894879225617,0.0
S00075,0000012_6_37_16,0.006504336855082785,0.0
