ufs_serial,run_wf_xy,pred,health
S00000,0000000_25_24_25,0.005269063636660576,0.0
S00002,0000000_8_37_24,0.006462210323661566,0.0
S00003,0000000_13_34_27,0.007455987390130758,0.0
S00004,0000000_10_22_15,0.005216268822550774,0.0
S00009,0000000_7_41_19,0.006648260168731213,0.0
S00012,0000000_20_50_26,0.004462772980332375,0.0
S00013,0000000_22_24_20,0.005395164713263512,0.0
S00015,0000001_4_49_31,0.004831507336348295,0.0
S00017,0000002_3_19_16,0.005330337677150965,0.0
S00018,0000003_16_17_20,0.004735124297440052,0.0
S00020,0000003_22_63_22,0.005010048393160105,0.0
S00021,0000004_25_33_23,0.006244733463972807,0.0
S00022,0000005_19_42_14,0.004883105866611004,0.0
S00023,0000003_5_58_18,0.004216363653540611,0.0
S00024,0000003_12_32_17,0.004887240938842297,0.0
S00025,0000003_13_45_17,0.006031676661223173,0.0
S00026,0000003_14_35_23,0.007747889030724764,0.0
S00027,0000003_5_58_21,0.006122159771621227,0.0
S00028,0000003_16_58_21,0.006150517612695694,0.0
S00029,0000004_7_52_18,0.007966938428580761,0.0
S00031,0000004_8_26_15,0.005766165442764759,0.0
S00032,0000004_5_36_15,0.005277371034026146,0.0024556306573382
S00034,0000004_7_41_27,0.004973715171217918,0.0
S00035,0000004_7_30_25,0.005146414507180452,0.0
S00037,0000004_8_47_19,0.005375218577682972,0.0024203995363741
S00038,0000003_14_50_14,0.007378698326647282,0.0
S00039,0000006_11_28_31,0.005776213947683573,0.0024294149851399
S00041,0000004_23_41_11,0.006487144157290459,0.0024488066378919
S00042,0000007_16_21_29,0.004831539932638407,0.0024355223631917
S00043,0000008_3_54_30,0.005478859879076481,0.0
S00044,0000009_3_57_14,0.006575108040124178,0.0
S00047,0000004_21_17_27,0.004811637103557587,0.0024454088310256
S00049,0000003_15_41_11,0.004718954674899578,0.0
S00051,0000011_21_22_29,0.00606354558840394,0.0023918839575332
S00052,0000011_20_50_12,0.004488570149987936,0.0
S00056,0000011_18_45_11,0.004568278323858976,0.0024112401634015
S00057,0000014_24_59_15,0.006859685759991407,0.0
S00058,0000011_18_16_26,0.004307093098759651,0.0
S00059,0000013_13_17_27,0.005479342304170132,0.00240752581914
S00061,0000015_18_56_14,0.006636219564825296,0.0
S00062,0000015_15_42_16,0.005306894890964031,0.0
S00063,0000015_18_44_28,0.008256077766418457,0.0
S00064,0000015_11_27_14,0.007242842111736536,0.0
S00065,0000015_13_43_15,0.0064414977096021175,0.0
S00068,0000015_14_26_20,0.00574323907494545,0.0096413121496052
S00069,0000012_8_41_16,0.00678313197568059,0.0024141213958187
S00071,0000015_13_30_26,0.006229857914149761,0.0
S00072,0000012_10_49_25,0.00448409141972661,0.0
S00075,0000012_6_37_16,0.0070800879038870335,0.0
S00079,0000012_4_27_19,0.006479470990598202,0.0
S00080,0000012_10_34_31,0.005109820980578661,0.0024551575598599
S00081,0000012_5_31_25,0.006410735659301281,0.0048692551117381
S00084,0000004_21_17_18,0.006417372263967991,0.0
S00086,0000004_20_42_12,0.007432987913489342,0.0
S00087,0000005_13_32_29,0.00733443908393383,0.0071833265884257
S00092,0000003_22_33_16,0.006478544324636459,0.0
S00096,0000004_19_42_16,0.006956415716558695,0.0
S00098,0000004_9_61_16,0.00804203562438488,0.0
S00099,0000005_7_33_16,0.008347930386662483,0.002429023161249
S00101,0000005_12_36_19,0.006557488348335028,0.0047811447811447
S00103,0000003_18_48_19,0.008447041735053062,0.0023947190902958
S00106,0000005_18_38_23,0.0068115792237222195,0.0
S00108,0000005_10_54_18,0.007271699607372284,0.0
S00109,0000006_11_43_18,0.005210648290812969,0.0024466006035276
S00111,0000005_10_55_15,0.006802775431424379,0.0
S00113,0000005_11_51_20,0.008206982165575027,0.0
S00114,0000004_25_46_27,0.006581106223165989,0.0
S00116,0000006_5_51_22,0.004837249871343374,0.0
S00120,0000006_16_30_16,0.006830762606114149,0.0
S00121,0000005_17_50_27,0.00583452545106411,0.0
S00122,0000006_16_18_16,0.006189884152263403,0.0
S00123,0000006_24_29_23,0.00438716309145093,0.0120079634300735
S00124,0000005_17_31_19,0.005624957848340273,0.0
S00126,0000017_6_56_26,0.006136530544608831,0.0145181549966406
S00127,0000017_11_44_20,0.006630313582718372,0.0
S00128,0000017_19_43_26,0.004695416893810034,0.0023878847281078
S00129,0000017_24_13_21,0.005197588820010424,0.0071621056878935
S00130,0000017_9_33_16,0.005446181166917086,0.0048756321399316
S00131,0000017_3_63_24,0.007352183572947979,0.0
S00132,0000017_9_37_26,0.004878903739154339,0.0
S00133,0000017_9_35_15,0.00429170299321413,0.0
S00134,0000017_11_39_25,0.006807040423154831,0.0
S00135,0000018_24_27_14,0.006758314557373524,0.0024002704530087
S00136,0000001_22_29_23,0.005969523917883635,0.0024124339857098
S00137,0000001_1_62_25,0.0050802151672542095,0.0
S00138,0000009_20_36_24,0.005576471798121929,0.0024209654634906
S00139,0000018_24_19_25,0.007747763302177191,0.0023857183316292
S00142,0000001_17_25_28,0.007048845756798983,0.0023883666839667
S00144,0000020_8_25_17,0.006125923246145248,0.0
S00145,0000001_17_60_25,0.009550174698233604,0.0048074365336157
S00146,0000001_1_48_16,0.007429555989801884,0.0
S00148,0000001_17_21_22,0.004425753839313984,0.0023848940713548
S00149,0000001_17_45_19,0.007417880930006504,0.0
S00150,0000020_10_45_21,0.006222314666956663,0.0024284534611569
S00151,0000001_9_37_22,0.006152215413749218,0.0
S00152,0000017_25_45_27,0.004863605834543705,0.0
S00153,0000001_7_47_24,0.004903375171124935,0.0
S00154,0000001_15_48_24,0.007411975879222155,0.0024048348309115
S00155,0000001_10_39_13,0.006841232534497976,0.0
S00156,0000001_11_25_17,0.006314678583294153,0.0
S00157,0000009_7_29_17,0.007842068560421467,0.0023905723905723
S00158,0000001_11_39_30,0.008589278906583786,0.0
S00162,0000001_23_16_22,0.004795454908162355,0.0
S00164,0000017_19_41_12,0.004163934383541346,0.0
S00165,0000001_23_55_25,0.005277234595268965,0.0
S00166,0000001_23_33_21,0.004676198586821556,0.0
S00168,0000007_10_25_22,0.003999253269284964,0.0044468304030778
S00169,0000007_5_44_15,0.006408580578863621,0.002185201306724
S00170,0000007_5_32_12,0.00762283056974411,0.0
S00171,0000007_10_37_22,0.005469685886055231,0.002232734493277
S00174,0000007_20_40_22,0.0060171145014464855,0.0
S00175,0000007_21_46_13,0.005176300182938576,0.0
S00177,0000021_19_40_29,0.0057707722298800945,0.0043713251623854
S00178,0000021_19_46_28,0.005787370260804892,0.0
S00180,0000021_22_54_28,0.006366466637700796,0.0
S00181,0000021_22_33_20,0.004388010129332542,0.0
S00183,0000021_22_55_14,0.005573653616011143,0.0
S00185,0000021_24_54_16,0.007168786134570837,0.0
S00186,0000021_25_55_25,0.005845722276717424,0.0
S00187,0000021_11_35_14,0.004751272965222597,0.0023849627379564
S00188,0000021_24_34_12,0.004815798718482256,0.0
S00189,0000021_11_40_25,0.007000552956014872,0.0
S00191,0000021_9_31_21,0.005920122377574444,0.0
S00192,0000021_8_42_14,0.005911643151193857,0.0
S00193,0000021_9_17_24,0.00745990639552474,0.0
S00194,0000021_8_47_20,0.006635225843638182,0.0023942345675443
S00199,0000008_6_28_27,0.0056101251393556595,0.0
S00201,0000008_6_35_28,0.006571419537067413,0.0
S00202,0000008_6_40_24,0.006905774585902691,0.0
S00205,0000008_24_19_24,0.005084666423499584,0.0024191978193146
S00206,0000016_3_14_20,0.006391970906406641,0.0
S00207,0000016_3_47_21,0.006394992582499981,0.0024246859373094
S00208,0000008_12_60_17,0.00806630402803421,0.0
S00210,0000008_12_51_18,0.006134828552603722,0.0
S00211,0000016_15_26_16,0.006829533725976944,0.0024002356770644
S00214,0000002_16_54_27,0.0049189371056854725,0.0
S00216,0000002_14_39_30,0.004763358738273382,0.0
S00217,0000002_22_35_18,0.007353798486292362,0.0
S00218,0000004_22_56_15,0.008617730811238289,0.0
S00220,0000004_10_33_26,0.006287287455052137,0.0048111362800333
S00221,0000006_23_50_17,0.0049858554266393185,0.0024405814181889
S00223,0000004_4_32_29,0.006392802577465773,0.0
S00226,0000004_4_37_16,0.007101277820765972,0.0
S00227,0000009_6_47_25,0.006669110618531704,0.0
S00229,0000003_10_41_20,0.0057125398889184,0.0
S00233,0000011_23_16_18,0.005353077314794064,0.0
S00237,0000011_19_38_25,0.005644883494824171,0.0
S00238,0000016_25_37_23,0.004756390117108822,0.0
S00245,0000009_7_47_29,0.006445544771850109,0.0
S00247,0000008_22_40_17,0.006116613280028105,0.0
S00248,0000009_2_61_20,0.0068368082866072655,0.0048394556829523
S00249,0000009_2_17_26,0.005781929008662701,0.0072902762090563
S00252,0000001_16_16_19,0.009403437376022339,0.0
S00253,0000008_14_19_17,0.005835691932588816,0.0
S00257,0000019_14_46_22,0.006958183832466602,0.0122792453576052
S00258,0000022_7_29_26,0.007262500934302807,0.004889013491513
S00259,0000022_6_51_28,0.0053934501484036446,0.0
S00260,0000022_7_18_22,0.008263429626822472,0.0
S00261,0000022_6_22_20,0.007099398877471685,0.0
S00262,0000022_7_37_31,0.004283362068235874,0.0
S00264,0000022_6_30_20,0.007456814870238304,0.0
S00265,0000022_5_40_28,0.007835044525563717,0.0021986286219862
S00267,0000022_3_51_13,0.007570852059870958,0.0022214176846302
S00268,0000022_7_32_31,0.0076087890192866325,0.0
S00269,0000022_7_34_16,0.00712880864739418,0.0
S00270,0000022_7_23_24,0.006883977446705103,0.0021931566452205
S00271,0000022_1_58_22,0.008763916790485382,0.0
S00273,0000022_5_27_13,0.007412983104586601,0.0023947190902958
S00275,0000022_1_37_16,0.0070601170882582664,0.0
S00277,0000003_10_28_21,0.005969296209514141,0.0
S00278,0000003_10_58_21,0.005426901392638683,0.0024270303793883
S00283,0000012_21_38_24,0.007145020645111799,0.0
S00284,0000012_15_62_18,0.006481879856437445,0.0
S00289,0000023_4_30_31,0.004320461302995682,0.0
S00290,0000023_12_31_31,0.004864498507231474,0.0024540301396377
S00294,0000013_13_46_19,0.006508405786007643,0.0
S00296,0000012_10_16_24,0.006409169174730778,0.0
S00297,0000024_4_14_24,0.007149631157517433,0.0048750582407611
S00302,0000008_14_50_23,0.005148008931428194,0.0
S00303,0000001_13_52_15,0.008529153652489185,0.0044147169073886
S00308,0000008_9_24_19,0.007929007522761822,0.0
S00309,0000009_1_25_17,0.007014384493231773,0.0021791077496437
S00310,0000009_1_21_19,0.006621095817536116,0.0156605896916497
S00311,0000009_3_34_21,0.006609844509512186,0.0
S00312,0000009_3_33_22,0.007620528806000948,0.0022374990433228
S00313,0000009_14_30_14,0.005336516071110964,0.0
S00314,0000009_24_57_25,0.006145542021840811,0.0021928953719759
S00315,0000008_22_48_15,0.006864867173135281,0.0021781336418657
S00316,0000009_24_24_28,0.005039419513195753,0.0
S00318,0000009_14_23_19,0.004764982033520937,0.0022137295775651
S00319,0000009_24_43_31,0.006927517708390951,0.0021892730027839
S00321,0000025_16_24_21,0.006904125679284334,0.0
S00323,0000023_16_27_22,0.005233967211097479,0.0
S00324,0000023_18_39_23,0.00579993799328804,0.002440437609255
S00325,0000023_18_17_18,0.007117086555808783,0.0
S00326,0000023_10_62_21,0.006958863232284784,0.0
S00327,0000023_15_55_16,0.0051237368024885654,0.0044787484736659
S00328,0000023_10_48_17,0.008156344294548035,0.0
S00329,0000023_10_37_27,0.009873153641819954,0.0021770745724698
S00331,0000023_11_50_17,0.007617108058184385,0.0
S00332,0000023_14_40_12,0.008232910186052322,0.0
S00334,0000023_13_40_16,0.006588291842490435,0.0072413089722295
S00335,0000023_13_34_20,0.008772310800850391,0.0
S00336,0000023_13_42_31,0.0048942286521196365,0.0
S00339,0000023_16_61_22,0.005744170397520065,0.0
S00340,0000023_11_34_26,0.006435042712837458,0.0
S00341,0000023_23_58_19,0.004872294142842293,0.0
S00342,0000023_21_17_17,0.0071181864477694035,0.0239999227366672
S00343,0000023_18_55_23,0.005956454202532768,0.0071593200806683
S00344,0000023_22_50_14,0.007530443836003542,0.0
S00347,0000023_17_36_15,0.007538254838436842,0.0
S00349,0000023_18_32_24,0.005791556555777788,0.0
S00350,0000023_13_61_27,0.005929237697273493,0.0022072702240579
S00351,0000009_7_28_30,0.006218357477337122,0.0
S00352,0000001_20_27_14,0.004564249888062477,0.0
S00354,0000003_16_18_18,0.005034245550632477,0.0047855643499528
S00356,0000005_22_37_28,0.007145608775317669,0.0
S00357,0000003_22_47_28,0.006232036743313074,0.0
S00358,0000007_8_43_31,0.004593991208821535,0.0
S00360,0000007_10_28_25,0.0038265464827418327,0.0
S00361,0000007_25_43_25,0.005892320070415735,0.0024229128580134
S00362,0000007_5_38_13,0.008601301349699497,0.0
S00363,0000005_19_31_30,0.007596536539494991,0.0
S00366,0000009_21_58_28,0.004958835430443287,0.0044445636815653
S00369,0000008_3_52_22,0.007364604156464338,0.0
S00371,0000008_2_37_19,0.005726085975766182,0.0087046378029984
S00373,0000009_21_50_18,0.005814376287162304,0.0023894345645892
S00376,0000008_2_39_24,0.005772472359240055,0.0022044799290308
S00377,0000008_2_51_28,0.0048668221570551395,0.0066640743372799
S00378,0000009_25_19_20,0.007915100082755089,0.0
S00379,0000009_25_34_14,0.006061729975044727,0.0024318042813455
S00380,0000008_4_52_15,0.007226009387522936,0.0
S00383,0000007_6_45_25,0.004397043026983738,0.0
S00384,0000008_4_36_13,0.0067510525695979595,0.0043461531734788
S00388,0000009_5_43_17,0.0074835228733718395,0.0
S00389,0000009_9_38_25,0.004812237340956926,0.0120899864747837
S00390,0000009_4_43_13,0.006839717272669077,0.0
S00393,0000007_5_36_28,0.005849363282322884,0.0
S00395,0000009_8_26_23,0.00616729399189353,0.0
S00396,0000009_8_50_13,0.0062095653265714645,0.0
S00398,0000009_13_56_20,0.0062151518650352955,0.0
S00400,0000007_4_58_17,0.006020333152264357,0.0
S00402,0000009_25_35_12,0.007191195152699947,0.0
S00403,0000009_13_37_30,0.007654893212020397,0.0043498619334567
S00404,0000009_13_46_13,0.007191143464297056,0.0
S00405,0000009_16_19_27,0.006865409202873707,0.0
S00406,0000009_21_42_15,0.007873021066188812,0.0
S00408,0000002_8_57_23,0.006256611552089453,0.0022408584697236
S00409,0000002_6_19_25,0.005936351139098406,0.002175502182068
S00410,0000002_3_21_17,0.006161815486848354,0.0
