ufs_serial,run_wf_xy,pred,pi,one_minus_pi,mu,health
S00000,0000000_25_24_25,0.0005219576164063,0.8729590576557702,0.1270409423442298,0.0041085779652989,0.0
S00002,0000000_8_37_24,0.0003607190122754,0.913130611361655,0.086869388638345,0.0041524295028385,0.0
S00003,0000000_13_34_27,0.0005093629060771,0.8847463379704572,0.1152536620295427,0.0044194943319593,0.0
S00004,0000000_10_22_15,0.0008170261202383,0.7992948820778539,0.200705117922146,0.004070778706078,0.0
S00009,0000000_7_41_19,0.0006405499210371,0.8453974075038156,0.1546025924961843,0.0041432029741221,0.0
S00012,0000000_20_50_26,0.0004483444051245,0.8923683846598922,0.1076316153401077,0.0041655456318094,0.0
S00013,0000000_22_24_20,0.0004131568761445,0.9029682388526242,0.0970317611473757,0.0042579550371869,0.0
S00015,0000001_4_49_31,0.0022366119355487,0.4802244339513818,0.5197755660486181,0.0043030340047563,0.0
S00017,0000002_3_19_16,0.0019513401310606,0.5351546290731044,0.4648453709268956,0.0041978263162428,0.0
S00018,0000003_16_17_20,0.0032317854173819,0.2108716240069312,0.7891283759930687,0.004095386144637,0.0
S00020,0000003_22_63_22,0.0033735180027947,0.2006925785886933,0.7993074214113066,0.0042205513328505,0.0
S00021,0000004_25_33_23,0.0033063909022859,0.2089113505817286,0.7910886494182714,0.0041795453704427,0.0
S00022,0000005_19_42_14,0.0013856402289432,0.6739972778477614,0.3260027221522386,0.0042503946586563,0.0
S00023,0000003_5_58_18,0.0031152710242344,0.244088573013324,0.7559114269866759,0.0041212117094895,0.0
S00024,0000003_12_32_17,0.0034256556966966,0.1747072330179443,0.8252927669820557,0.0041508369317516,0.0
S00025,0000003_13_45_17,0.0029967192594515,0.2717039431061773,0.7282960568938227,0.0041146992779729,0.0
S00026,0000003_14_35_23,0.0036269645388831,0.1493378269588293,0.8506621730411706,0.0042636955701421,0.0
S00027,0000003_5_58_21,0.0025323855653346,0.4103358726583945,0.5896641273416054,0.0042946237492035,0.0
S00028,0000003_16_58_21,0.0032342145963672,0.2062639033506088,0.7937360966493912,0.0040746724383833,0.0
S00029,0000004_7_52_18,0.003228278005267,0.250474126240398,0.749525873759602,0.004307093481742,0.0
S00031,0000004_8_26_15,0.0032213977011929,0.2464795471669228,0.7535204528330771,0.0042751297447615,0.0
S00032,0000004_5_36_15,0.0036144098406138,0.1770709735476536,0.8229290264523463,0.0043921282691844,0.0024556306573382
S00034,0000004_7_41_27,0.0029071684056051,0.3111482308786228,0.6888517691213771,0.004220310574673,0.0
S00035,0000004_7_30_25,0.0031492895400066,0.2743690276994986,0.7256309723005013,0.0043400704493391,0.0
S00037,0000004_8_47_19,0.0033474915503368,0.1765230232331535,0.8234769767668464,0.0040650699956176,0.0024203995363741
S00038,0000003_14_50_14,0.003633785669588,0.1579326133351201,0.8420673866648799,0.0043153145783024,0.0
S00039,0000006_11_28_31,0.0028244923741254,0.3444040929066567,0.6555959070933433,0.0043082825007986,0.0024294149851399
S00041,0000004_23_41_11,0.0029436126067399,0.4070263790396593,0.5929736209603407,0.0049641543952201,0.0024488066378919
S00042,0000007_16_21_29,0.0031484977852342,0.2513627023204584,0.7486372976795417,0.0042056384246326,0.0024355223631917
S00043,0000008_3_54_30,0.002266791988763,0.4543784594543299,0.5456215405456701,0.004154513376609,0.0
S00044,0000009_3_57_14,0.0018379624743615,0.5742263804365648,0.4257736195634352,0.0043167598693551,0.0
S00047,0000004_21_17_27,0.0025381801971331,0.3756023547296505,0.6243976452703495,0.0040650060363924,0.0024454088310256
