=== Best Trial #99 ===
  OOF RMSE    : 0.005496
  val RMSE    : 0.005707168610323468
  test RMSE   : 0.008410095167165507
  best tau_pi : 0.943950696885612
  n_feats     : 714
  elapsed     : 1281s

  best PP params:
    add_indicator: True
    corr_keep_by: std
    corr_threshold: 0.9832223206472075
    indicator_threshold: 0.06002428321166207
    missing_threshold: 0.33049251860853557
    post_impute_corr_keep_by: std
    post_impute_corr_threshold: 0.9576233508064288
    spatial_max_dist: 10.0

  best ZIT params:
    mu_colsample_bytree: 0.2546039393424364
    mu_learning_rate: 0.0030887751764030586
    mu_max_depth: 3
    mu_min_child_samples: 132
    mu_n_estimators: 240
    mu_num_leaves: 212
    mu_reg_alpha: 0.005756771846458244
    mu_reg_lambda: 0.0015479462089499432
    mu_subsample: 0.6490795000828042
    n_em_iters: 13
    phi_learning_rate: 0.006280875708145288
    phi_max_depth: 4
    phi_min_child_samples: 190
    phi_n_estimators: 57
    phi_num_leaves: 65
    pi_learning_rate: 0.04077350612981873
    pi_max_depth: 11
    pi_min_child_samples: 38
    pi_n_estimators: 125
    pi_num_leaves: 165
    zeta: 1.1485678177288108

=== trial history ===
 trial    state  oof_rmse  val_rmse  test_rmse   tau_pi  n_feats     elapsed
     0 COMPLETE  0.005503  0.005709   0.008413 0.904199      719 1847.807064
     1 COMPLETE  0.005829  0.005999   0.008631 0.599358      521 1834.201259
     2 COMPLETE  0.005519  0.005725   0.008425 0.877776      713 1702.164001
     3 COMPLETE  0.005665  0.005829   0.008499 0.650439      516  777.097127
     4 COMPLETE  0.005556  0.005747   0.008440 0.568760      508 1596.110249
     5 COMPLETE  0.005704  0.005888   0.008535 0.618625      525  901.526112
     6 COMPLETE  0.005644  0.005820   0.008498 0.692549      694 2220.268143
     7 COMPLETE  0.005608  0.005783   0.008464 0.771322      551 2338.208754
     8 COMPLETE  0.005526  0.005723   0.008422 0.749076      722 2098.801539
     9 COMPLETE  0.005500  0.005709   0.008411 0.966992      711 1484.247220
    10 COMPLETE  0.005504  0.005707   0.008409 0.986766      728 1927.018576
    11 COMPLETE  0.005502  0.005712   0.008413 0.958225      684 1441.937134
    12 COMPLETE  0.005507  0.005710   0.008411 0.935377      664  965.075908
    13 COMPLETE  0.005499  0.005708   0.008411 0.967733      734 1264.734206
    14 COMPLETE  0.005505  0.005714   0.008415 0.991424      725 1123.957788
    15 COMPLETE  0.005505  0.005713   0.008415 0.968264      727 1641.313948
    16 COMPLETE  0.005500  0.005708   0.008412 0.970071      700  986.779460
    17   PRUNED  0.005558       NaN        NaN 0.790032      693 1139.847495
    18 COMPLETE  0.005504  0.005709   0.008411 0.994391      693 1351.588582
    19 COMPLETE  0.005501  0.005707   0.008410 0.812797      713 1239.796635
    20   PRUNED  0.005550       NaN        NaN 0.934968      693 1383.758058
    21 COMPLETE  0.005503  0.005710   0.008413 0.959830      694 1111.939769
    22 COMPLETE  0.005500  0.005710   0.008412 0.919668      718 1288.889507
    23 COMPLETE  0.005502  0.005715   0.008417 0.946037      593  764.236524
    24 COMPLETE  0.005500  0.005706   0.008410 0.957097      727 1401.380345
    25 COMPLETE  0.005498  0.005707   0.008410 0.955116      702 1534.506062
    26 COMPLETE  0.005501  0.005711   0.008415 0.913713      711 1229.511348
    27   PRUNED  0.005550       NaN        NaN 0.940193      705  883.179670
    28 COMPLETE  0.005500  0.005707   0.008411 0.801407      709 1444.516752
    29 COMPLETE  0.005503  0.005708   0.008410 0.937939      792 1676.477046
    30 COMPLETE  0.005500  0.005710   0.008414 0.976792      649  936.934221
    31   PRUNED  0.005548       NaN        NaN 0.898784      620  724.767220
    32   PRUNED  0.005550       NaN        NaN 0.884190      619  594.344915
    33 COMPLETE  0.005501  0.005709   0.008411 0.990436      628 1096.421574
    34   PRUNED  0.005553       NaN        NaN 0.958781      599 1240.810952
    35 COMPLETE  0.005503  0.005712   0.008413 0.928264      694  875.203204
    36 COMPLETE  0.005500  0.005707   0.008412 0.843125      727 1464.362796
    37 COMPLETE  0.005498  0.005707   0.008411 0.940004      695 1844.083073
    38 COMPLETE  0.005501  0.005709   0.008413 0.886942      694 1053.755279
    39   PRUNED  0.005553       NaN        NaN 0.966710      693  520.659147
    40   PRUNED  0.005553       NaN        NaN 0.830081      734  839.500180
    41   PRUNED  0.005548       NaN        NaN 0.991237      642  806.899873
    42 COMPLETE  0.005499  0.005707   0.008409 0.887459      694 1091.764011
    43 COMPLETE  0.005499  0.005707   0.008409 0.966760      693 1016.611256
    44 COMPLETE  0.005498  0.005707   0.008408 0.894317      595 1239.540004
    45 COMPLETE  0.005497  0.005705   0.008409 0.964483      571 1057.184893
    46 COMPLETE  0.005501  0.005707   0.008408 0.949791      580 1828.661597
    47   PRUNED  0.005550       NaN        NaN 0.867041      515  558.294557
    48   PRUNED  0.005550       NaN        NaN 0.932249      577  611.394520
    49 COMPLETE  0.005499  0.005708   0.008411 0.921492      586  918.719509
    50   PRUNED  0.005490       NaN        NaN 0.941691      613  938.732494
    51   PRUNED  0.005554       NaN        NaN 0.993281      662 1381.272865
    52 COMPLETE  0.005500  0.005709   0.008410 0.970287      582 1981.201735
    53   PRUNED  0.005551       NaN        NaN 0.949329      571  632.796509
    54   PRUNED  0.005553       NaN        NaN 0.936409      623  873.446414
    55 COMPLETE  0.005500  0.005709   0.008411 0.950586      720 1666.813132
    56   PRUNED  0.005558       NaN        NaN 0.939213      558  858.311312
    57 COMPLETE  0.005499  0.005710   0.008411 0.979962      579  910.455731
    58 COMPLETE  0.005498  0.005707   0.008411 0.923146      608  970.440084
    59 COMPLETE  0.005501  0.005708   0.008411 0.898314      601 1120.208211
    60 COMPLETE  0.005499  0.005707   0.008410 0.929724      615 1088.988694
    61   PRUNED  0.005558       NaN        NaN 0.918086      617  894.958611
    62   PRUNED  0.005546       NaN        NaN 0.940864      748  999.850884
    63   PRUNED  0.005561       NaN        NaN 0.784771      550  600.459711
    64   PRUNED  0.005548       NaN        NaN 0.941219      692 1366.960944
    65   PRUNED  0.005546       NaN        NaN 0.821124      529  687.397859
    66   PRUNED  0.005546       NaN        NaN 0.910980      708  938.900573
    67 COMPLETE  0.005500  0.005709   0.008412 0.958699      571 1756.815530
    68   PRUNED  0.005546       NaN        NaN 0.863023      680  563.202110
    69   PRUNED  0.005549       NaN        NaN 0.908771      571  462.094180
    70 COMPLETE  0.005499  0.005704   0.008409 0.804885      666 2339.491434
    71   PRUNED  0.005489       NaN        NaN 0.840321      704  960.147142
    72 COMPLETE  0.005498  0.005707   0.008410 0.870331      717  884.739106
    73   PRUNED  0.005549       NaN        NaN 0.850152      705  791.205327
    74 COMPLETE  0.005497  0.005705   0.008408 0.919823      702 1889.515549
    75 COMPLETE  0.005496  0.005706   0.008411 0.973753      747 1885.073257
    76 COMPLETE  0.005498  0.005703   0.008407 0.886485      778 2419.227738
    77 COMPLETE  0.005500  0.005707   0.008410 0.929216      626 1708.214992
    78 COMPLETE  0.005500  0.005705   0.008408 0.917053      793 2454.465232
    79   PRUNED  0.005547       NaN        NaN 0.928597      613  922.414631
    80   PRUNED  0.005547       NaN        NaN 0.928941      708 1447.493734
    81   PRUNED  0.005549       NaN        NaN 0.949787      702 1204.204822
    82 COMPLETE  0.005498  0.005710   0.008415 0.974771      714 1657.262930
    83 COMPLETE  0.005498  0.005710   0.008413 0.957000      713  994.448117
    84 COMPLETE  0.005497  0.005705   0.008410 0.815430      701 1236.049645
    85   PRUNED  0.005547       NaN        NaN 0.903394      700  518.760530
    86 COMPLETE  0.005497  0.005708   0.008413 0.808877      711  898.587065
    87 COMPLETE  0.005498  0.005705   0.008410 0.857741      692 1252.009243
    88 COMPLETE  0.005498  0.005707   0.008411 0.859776      737 1659.785234
    89   PRUNED  0.005546       NaN        NaN 0.871991      688  792.744123
    90   PRUNED  0.005545       NaN        NaN 0.795631      737 1052.647130
    91   PRUNED  0.005551       NaN        NaN 0.962109      694  758.454454
    92   PRUNED  0.005546       NaN        NaN 0.766160      732 1166.670802
    93   PRUNED  0.005545       NaN        NaN 0.755528      736 1415.524940
    94 COMPLETE  0.005496  0.005704   0.008408 0.949485      668 1872.665932
    95   PRUNED  0.005551       NaN        NaN 0.903124      571 1538.492159
    96 COMPLETE  0.005497  0.005707   0.008413 0.885924      692 1596.407826
    97   PRUNED  0.005552       NaN        NaN 0.688952      728  740.079709
    98   PRUNED  0.005547       NaN        NaN 0.681034      565  882.621274
    99 COMPLETE  0.005496  0.005707   0.008410 0.943951      714 1281.115100
   100 COMPLETE  0.005499  0.005706   0.008410 0.970272      706 1499.290482
   101 COMPLETE  0.005499  0.005711   0.008415 0.961835      734 2326.169820
   102   PRUNED  0.005549       NaN        NaN 0.823456      737  712.300187
   103 COMPLETE  0.005496  0.005706   0.008412 0.787830      698 1644.810050
   104   PRUNED  0.005547       NaN        NaN 0.790116      694 1133.870173
   105 COMPLETE  0.005498  0.005705   0.008409 0.822225      686 1796.167224
   106 COMPLETE  0.005497  0.005707   0.008409 0.988796      705 1367.214908
   107 COMPLETE  0.005499  0.005706   0.008412 0.692040      709 1675.558033
   108   PRUNED  0.005545       NaN        NaN 0.710303      690 1414.574745
   109 COMPLETE  0.005499  0.005708   0.008413 0.892072      705 1718.571034
   110   PRUNED  0.005552       NaN        NaN 0.669145      755  590.034659
   111   PRUNED  0.005546       NaN        NaN 0.827018      687  813.041551
   112 COMPLETE  0.005498  0.005709   0.008414 0.968182      757 1786.801888
   113 COMPLETE  0.005498  0.005706   0.008411 0.785148      631 1214.689025
   114   PRUNED  0.005547       NaN        NaN 0.915612      699  928.278728
   115   PRUNED  0.005547       NaN        NaN 0.957859      694  756.125318
   116   PRUNED  0.005545       NaN        NaN 0.945024      736  925.777272
   117   PRUNED  0.005488       NaN        NaN 0.985978      679 1471.504427
   118 COMPLETE  0.005499  0.005707   0.008410 0.940012      599 1404.095871
   119   PRUNED  0.005546       NaN        NaN 0.973291      573  719.922315
