lot,pattern,n_dies,n_wafers,risk_ratio,avg_pred,max_pred
1,edge,925,21,0.065946,0.000813,0.006599
2,normal,916,20,0.082969,0.00318,0.003628
3,normal,912,19,0.0,0.002869,0.003514
4,nearfull,923,15,0.676056,0.003547,0.003629
5,nearfull,935,18,0.75615,0.003573,0.00363
6,nearfull,915,12,0.710383,0.003539,0.003629
7,random,884,12,0.527149,0.003509,0.00363
8,nearfull,930,22,0.812903,0.003612,0.003861
9,normal,902,13,0.052106,0.003238,0.003624
10,normal,929,22,0.077503,0.003205,0.003626
11,normal,773,18,0.032342,0.002243,0.003621
12,random,875,12,0.100571,0.003198,0.003626
13,random,896,13,0.360491,0.003439,0.00363
14,random,933,20,0.539121,0.003488,0.003754
15,edge,927,19,0.004315,0.001125,0.00361
16,random,920,15,0.261957,0.003154,0.003628
17,nearfull,909,19,0.621562,0.003548,0.003729
18,normal,844,8,0.033175,0.003019,0.003629
19,normal,640,4,0.01875,0.003128,0.003606
20,normal,631,4,0.006339,0.001926,0.003593
21,random,859,9,0.151339,0.003014,0.003624
22,normal,877,13,0.095781,0.003089,0.003628
23,normal,916,21,0.004367,0.002954,0.003607
24,random,928,21,0.110991,0.003417,0.003629
25,nearfull,926,25,0.822894,0.003614,0.003881
26,normal,875,10,0.0,0.002288,0.003515
27,normal,839,7,0.01907,0.002587,0.003625
28,normal,925,19,0.004324,0.002672,0.003612
