run_id,wafer_no,total_dies,risk_dies,avg_ppm,total_units,risk_units
1,1,240,10,189.2,60,1
1,2,272,18,261.4,68,1
1,4,244,13,185.2,61,4
1,5,248,17,199.5,62,3
1,6,276,20,204.9,69,4
1,7,220,1,196.6,55,0
1,8,272,15,191.1,68,0
1,10,252,4,176.8,63,1
1,11,204,10,168.5,51,0
1,12,228,12,265.3,57,0
1,13,244,4,249.8,61,0
1,14,204,4,144.2,51,1
1,16,248,11,169.6,62,2
1,17,300,2,298.4,75,3
1,18,244,4,230.3,61,0
1,19,236,17,181.0,59,2
1,20,196,5,215.8,49,1
1,22,252,9,181.2,63,0
1,23,256,21,194.3,64,3
1,24,248,5,187.8,62,1
1,25,252,8,226.8,63,0
2,1,264,0,727.9,66,0
2,2,296,0,693.0,74,0
2,3,260,29,754.3,65,9
2,4,240,4,732.7,60,2
2,5,212,17,772.3,53,4
2,7,268,0,483.8,67,0
2,8,196,1,676.4,49,2
2,9,244,0,432.9,61,0
2,10,252,0,383.6,63,0
2,11,292,0,425.0,73,0
2,13,236,0,663.0,59,0
2,14,280,1,682.1,70,4
2,15,244,0,634.6,61,0
2,16,236,0,574.7,59,0
2,17,264,0,733.1,66,0
2,19,244,0,485.2,61,0
2,20,196,0,689.7,49,0
2,21,248,0,383.3,62,0
2,22,252,0,712.5,63,0
2,23,272,0,675.9,68,0
3,2,240,0,664.0,60,0
3,3,200,0,393.8,50,0
3,4,220,0,645.0,55,0
3,6,236,0,512.0,59,0
3,8,236,0,505.6,59,0
3,9,312,0,493.3,78,0
3,10,268,0,705.9,67,0
3,11,232,0,640.5,58,0
3,12,244,0,666.4,61,0
3,14,192,0,580.3,48,0
3,15,208,0,565.4,52,0
3,16,172,0,559.8,43,0
3,17,184,0,561.2,46,0
3,18,188,0,717.6,47,0
3,20,300,0,664.7,75,0
3,21,320,0,655.5,80,0
3,22,232,0,524.3,58,0
3,23,216,0,594.7,54,0
3,24,256,0,666.4,64,0
4,5,260,28,777.1,65,13
4,10,232,137,842.5,58,18
4,12,252,82,785.8,63,8
4,13,280,66,792.4,70,23
4,14,340,200,844.8,85,30
4,15,268,79,825.5,67,23
4,16,228,64,815.0,57,19
4,17,264,71,790.3,66,20
4,18,280,111,803.9,70,19
4,19,288,57,782.7,72,15
4,20,264,83,805.2,66,15
4,21,276,99,812.3,69,22
4,22,224,33,762.0,56,16
4,23,228,94,811.8,57,19
4,25,236,109,775.0,59,8
5,2,256,37,815.2,64,29
5,3,304,24,816.3,76,34
5,4,272,105,826.0,68,28
5,5,280,184,846.3,70,18
5,7,248,0,745.5,62,2
5,8,256,59,803.0,64,28
5,9,288,40,810.6,72,33
5,10,284,74,820.5,71,33
5,11,260,25,812.1,65,32
5,14,280,21,813.7,70,29
5,15,228,40,807.6,57,26
5,16,260,1,779.8,65,0
5,19,260,12,787.5,65,13
5,20,320,1,727.2,80,0
5,21,268,48,796.9,67,19
5,22,228,1,723.4,57,3
5,23,208,3,729.5,52,1
5,25,268,87,827.0,67,28
6,6,272,52,774.1,68,31
