ufs_serial,run_id,wafer_no,split,health,reg_pred,risk,grade,anomaly_score,ci_low,ci_high,date
S00000,1,25,train,0.0,0.0002194328335661,LOW,grade1,20.8,0.0,0.011141,2025-10-01
S00001,57,10,test,0.0,0.0002155893814184,LOW,grade1,24.8,0.0,0.011137,2025-11-30
S00002,1,8,train,0.0,0.0001775295940883,LOW,grade1,19.7,0.0,0.011099,2025-10-01
S00003,1,13,train,0.0,0.0001092879101048,LOW,grade1,28.8,0.0,0.01103,2025-10-01
S00004,1,10,train,0.0,0.0001862441474066,LOW,grade1,42.0,0.0,0.011107,2025-10-01
S00005,29,10,val,0.0,0.0002131021665622,LOW,grade1,39.1,0.0,0.011134,2025-11-15
S00006,29,11,val,0.0,0.0002202857195393,LOW,grade1,31.7,0.0,0.011141,2025-11-15
S00007,29,5,val,0.0,0.0002016493904233,LOW,grade1,33.2,0.0,0.011123,2025-11-15
S00008,29,6,val,0.0,0.0001527749021239,LOW,grade1,28.3,0.0,0.011074,2025-11-15
S00009,1,7,train,0.0,0.0001567401945304,LOW,grade1,29.0,0.0,0.011078,2025-10-01
S00010,29,7,val,0.0,0.0001460824162848,LOW,grade1,38.7,0.0,0.011067,2025-11-15
S00011,29,7,val,0.0048346538650479,0.0001344410634038,LOW,grade1,25.4,0.0,0.011056,2025-11-15
S00012,1,20,train,0.0,0.0001505526636395,LOW,grade1,38.2,0.0,0.011072,2025-10-01
S00013,1,22,train,0.0,0.0002418258500706,LOW,grade1,29.5,0.0,0.011163,2025-10-01
S00014,57,20,test,0.0,0.0002349951109676,LOW,grade1,35.0,0.0,0.011156,2025-11-30
S00015,2,4,train,0.0,0.00289785924775,LOW,grade1,59.7,0.0,0.013819,2025-10-02
S00016,31,8,val,0.0,0.0017794671223207,LOW,grade1,28.1,0.0,0.012701,2025-11-16
S00017,3,3,train,0.0,0.0018084490462268,LOW,grade1,27.7,0.0,0.01273,2025-10-04
S00018,4,16,train,0.0,0.0035361271049185,LOW,grade2,45.2,0.0,0.014457,2025-10-05
S00019,60,22,test,0.0024245439954728,0.0036091145396953,MED,grade3,26.5,0.0,0.01453,2025-12-01
S00020,4,22,train,0.0,0.0036172976253118,MED,grade3,34.3,0.0,0.014538,2025-10-05
S00021,5,25,train,0.0,0.0035029889073584,LOW,grade2,42.4,0.0,0.014424,2025-10-07
S00022,6,19,train,0.0,0.0021900057793231,LOW,grade1,45.1,0.0,0.013111,2025-10-09
S00023,4,5,train,0.0,0.0029049223011581,LOW,grade1,25.5,0.0,0.013826,2025-10-05
S00024,4,12,train,0.0,0.0036030457874218,MED,grade3,32.5,0.0,0.014524,2025-10-05
S00025,4,13,train,0.0,0.0034347753990146,LOW,grade2,17.2,0.0,0.014356,2025-10-05
S00026,4,14,train,0.0,0.0035650271031784,LOW,grade2,35.0,0.0,0.014486,2025-10-05
S00027,4,5,train,0.0,0.0034434254675656,LOW,grade2,36.5,0.0,0.014365,2025-10-05
S00028,4,16,train,0.0,0.0035590593967695,LOW,grade2,24.7,0.0,0.01448,2025-10-05
S00029,5,7,train,0.0,0.002905779084723,LOW,grade1,25.3,0.0,0.013827,2025-10-07
S00030,33,9,val,0.0,0.0034362442896787,LOW,grade2,18.4,0.0,0.014357,2025-11-17
S00031,5,8,train,0.0,0.0034056994013009,LOW,grade2,34.0,0.0,0.014327,2025-10-07
S00032,5,5,train,0.0024556306573382,0.00358217380217,LOW,grade2,23.8,0.0,0.014503,2025-10-07
S00033,33,25,val,0.0,0.0035828170282821,LOW,grade2,29.1,0.0,0.014504,2025-11-17
S00034,5,7,train,0.0,0.0034064039060132,LOW,grade2,30.5,0.0,0.014328,2025-10-07
S00035,5,7,train,0.0,0.0034359726061147,LOW,grade2,27.9,0.0,0.014357,2025-10-07
S00036,62,21,test,0.0,0.0034649552914663,LOW,grade2,65.4,0.0,0.014386,2025-12-02
S00037,5,8,train,0.0024203995363741,0.0031701745867376,LOW,grade2,29.7,0.0,0.014091,2025-10-07
S00038,4,14,train,0.0,0.0036247761736452,MED,grade3,41.2,0.0,0.014546,2025-10-05
S00039,7,11,train,0.0024294149851399,0.0029749597413885,LOW,grade1,46.2,0.0,0.013896,2025-10-10
S00040,63,3,test,0.0024314830578957,0.0029836785657904,LOW,grade1,63.9,0.0,0.013905,2025-12-03
S00041,5,23,train,0.0024488066378919,0.0031656327096261,LOW,grade2,71.7,0.0,0.014087,2025-10-07
S00042,8,16,train,0.0024355223631917,0.0034191011860466,LOW,grade2,58.5,0.0,0.01434,2025-10-12
S00043,9,3,train,0.0,0.0030242333277529,LOW,grade2,59.2,0.0,0.013945,2025-10-13
S00044,10,3,train,0.0,0.0013018068083837,LOW,grade1,41.5,0.0,0.012223,2025-10-15
S00045,34,20,val,0.0072081218274111,0.003607243434391,MED,grade3,32.8,0.0,0.014528,2025-11-17
S00046,34,13,val,0.0,0.0034465899917968,LOW,grade2,69.2,0.0,0.014368,2025-11-17
S00047,5,21,train,0.0024454088310256,0.0021718935727154,LOW,grade1,56.6,0.0,0.013093,2025-10-07
S00048,64,19,test,0.0,0.0034648715589586,LOW,grade2,65.5,0.0,0.014386,2025-12-03
S00049,4,15,train,0.0,0.0035049449361999,LOW,grade2,57.3,0.0,0.014426,2025-10-05
