ufs_serial,X1066,X592,X1064,X1060,X1070,X1071,X1049,X727,X1068,X1063,X1003,X726,X718,X1029,X594,X831,X995,X723,X1002,X557,X732,X1014,X731,X1001,X243,X400,X1031,X719,X1004,X1016,X768,X397,X982,X561,X1032,X1077,X833,X293,X854,health,is_defect
S00000,2.8122125,-0.8566507,8.4458618,14.3875913,87.10917059999998,4.27376,110640.0,27.7975,2.6170271,24.670682100000004,284.65,1057.75,990.5,0.47615,1157.0,419.0,1758.25,89.25,2076.0,22.65,159.5,197.5,466.5,2724.5,1.0885,5.75,1.321825,1608.25,76.99999999999999,227.5,-130.0,9.75,558.0,15.2,0.5103249999999999,4.0,514.0,1.4849999999999999,880.0,0.0,0
S00001,2.3095776000000003,0.5354618,10.8608486,22.3000654,83.6059441,13.1079831,110134.0,,2.1075463,19.1418849,283.515,1031.5,1044.5,0.4885,,412.0,1769.0,164.25,2164.0,21.875,76.5,174.25,395.0,2746.25,1.102,3.75,1.30225,1756.5,76.51875,202.875,-210.0,8.75,588.0,55.9375,0.51675,1.25,510.5,1.507,930.0,0.0,0
S00002,1.6388853,0.3402778,9.1478489,14.9777599,88.15302919999998,5.0441614,110540.0,26.36,2.9980573,27.0743845,288.5,967.25,986.75,0.48285,1459.0,414.25,1771.5,174.25,1939.25,22.15,163.0,180.5,482.5,2604.5,0.824,3.75,1.397675,1757.5,77.65,334.0,-250.0,10.25,548.0,14.55,0.5147999999999999,1.5,504.5,1.4845,970.0,0.0,0
S00003,2.5923469,-0.2386775,9.9376722,18.6500745,84.79711479999999,8.371183199999999,110531.0,27.6275,2.835689,21.8150862,286.1,1016.5,1027.0,0.47840000000000005,1335.75,423.75,1759.25,162.75,2090.25,22.5,152.5,191.5,392.5,2679.0,1.0935000000000001,4.0,1.3138999999999998,1779.0,77.44999999999999,218.0,-220.0,9.25,558.0,15.05,0.5163,2.5,514.5,1.494,890.0,0.0,0
S00004,2.3095776000000003,0.5354618,10.8608486,22.3000654,83.6059441,13.1079831,110134.0,,2.1075463,19.1418849,282.5775,1041.5,1153.75,0.4945,,411.25,1777.5,249.25,2054.25,23.125,77.0,164.1875,391.0,2745.75,1.104,3.75,1.2645,1752.25,76.65,151.875,-220.0,9.0,558.0,57.1875,0.504,4.0,510.5,1.5,880.0,0.0,0
S00005,2.3095776000000003,0.5354618,10.8608486,22.3000654,83.6059441,13.1079831,110134.0,,2.1075463,19.1418849,287.685,1034.75,1087.75,0.4915,,412.75,1776.75,204.0,1986.25,22.5,85.0,168.25,397.25,2665.75,1.093,3.0,1.3242500000000001,1800.0,77.83125,233.375,-220.0,8.0,548.0,56.5625,0.50875,2.75,506.5,1.494,980.0,0.0,0
S00006,1.2289169,-0.3824006,8.307843499999999,17.6704298,86.7562571,7.232765700000001,110255.0,,3.1887951,22.3733034,281.90999999999997,1044.0,1034.25,0.49,,413.75,1766.5,140.0,2193.75,23.75,86.25,172.375,409.75,2787.25,1.094,3.0,1.29925,1659.0,76.85624999999999,199.5625,-180.0,9.0,548.0,57.5,0.5055000000000001,3.25,507.75,1.495,930.0,0.0,0
S00007,5.3967242,-0.2119535,10.6524908,14.4829765,86.8633777,3.1437912,110225.0,,3.6192149,20.6466133,282.0775,985.0,1069.5,0.487,,410.5,1769.0,223.5,2189.0,23.4375,71.75,176.5,399.75,2795.75,1.092,4.5,1.2577500000000001,1770.75,76.57499999999999,163.9375,-220.0,9.25,548.0,57.5,0.502,1.5,505.5,1.491,980.0,0.0,0
S00008,3.1993659,-1.3750288,7.5523777,12.1860737,87.2683663,4.269685900000001,110346.0,,2.7075637,22.4344488,284.54,1049.5,1081.75,0.48124999999999996,,414.0,1776.0,179.25,2158.75,22.5,72.0,186.9375,403.25,2786.75,1.096,4.0,1.325,1719.0,76.85,235.5625,-150.0,8.75,578.0,56.25,0.50775,3.25,507.5,1.496,820.0,0.0,0
S00009,2.4674487000000003,-1.2650859,8.899789799999997,16.1805935,88.55240479999998,4.882024599999999,110348.0,28.565,2.8921658,25.1286633,289.65,1021.0,1013.5,0.477025,1508.0,415.0,1765.25,160.5,1975.0,22.55,167.0,195.0,480.5,2701.5,1.088,4.5,1.342125,1640.75,77.89999999999999,255.0,-310.0,9.75,538.0,14.75,0.515525,1.25,509.0,1.484,990.0,0.0,0
S00010,2.4674487000000003,-1.2650859,8.899789799999997,16.1805935,88.55240479999998,4.882024599999999,110348.0,29.3625,2.8921658,25.1286633,288.6,1010.0,1025.75,0.47619999999999996,1780.0,418.0,1771.0,175.75,2077.5,22.15,141.5,197.0,453.0,2777.0,1.089,4.5,1.3168,1754.0,77.89999999999999,221.0,-230.0,9.75,558.0,14.65,0.508425,3.25,507.25,1.495,850.0,0.0,0
S00011,2.4674487000000003,-1.2650859,8.899789799999997,16.1805935,88.55240479999998,4.882024599999999,110348.0,28.1525,2.8921658,25.1286633,288.8,983.5,1018.25,0.474675,1852.25,417.75,1785.5,185.75,1952.75,22.15,149.0,201.5,482.0,2715.25,1.0875000000000001,4.0,1.320325,1791.75,77.64999999999999,226.5,-240.0,9.5,548.0,14.6,0.5111,3.75,509.75,1.491,880.0,0.0048346538650479,1
S00012,8.320050499999999,2.2634804,10.8039393,15.8107616,81.6498088,4.912078999999999,110351.0,,4.8972864000000005,20.2246352,287.9525,1030.25,952.5,0.48924999999999996,,416.75,1776.5,82.5,2174.25,21.25,79.25,172.6875,403.75,2752.25,1.092,3.75,1.32925,1652.75,77.39999999999999,211.125,-170.0,9.75,578.0,55.3125,0.51625,2.75,508.25,1.496,920.0,0.0,0
