feature,lgbm_gain,lgbm_rank
X1066,663.9583436965943,1
X592,530.900780081749,2
X1064,509.485943031311,3
X1060,489.8642327666283,4
X1070,470.3119222164154,5
X1071,451.05803236961367,6
X1049,439.51335921287534,7
X727,436.84012923240664,8
X1068,417.53184018135073,9
die_y,408.29780700206754,10
X1063,378.30185213088987,11
X1003,368.40654311180117,12
X726,351.30252981185913,13
X718,312.1519336223602,14
X1029,277.35020904541017,15
die_x,267.3038716673851,16
X594,250.2348461151123,17
X831,249.66564025878907,18
X995,244.4539375782013,19
X723,227.17631800174712,20
X1002,217.51639914512634,21
X557,214.39851722717285,22
X732,191.71873831748962,23
X1014,186.67996531128884,24
X731,179.3977730512619,25
X1001,171.2205270767212,26
X243,170.56815271377565,27
X400,168.86998567581176,28
X1031,166.59329481124877,29
X719,155.16537408828736,30
X1004,141.43649559020997,31
X1016,139.55582902431487,32
X589,139.47105436325074,33
X998,136.03408575057983,34
X893,134.17259063720704,35
X768,133.38063720464706,36
X561,128.37485122680664,37
X1073,127.34410943984986,38
X573,126.53628635406494,39
X722,120.48625043034554,40
X240,120.13638792037963,41
X1007,114.77594628334046,42
X999,111.5453950881958,43
X849,108.23995590209961,44
X833,103.01970953941345,45
X660,100.95048751831055,46
X828,97.16492903232574,47
X48,95.64125499725341,48
X572,95.4885365486145,49
X1076,95.13512420654297,50
X854,93.73232684135436,51
X1032,92.77171468734741,52
X550,91.70477609634399,53
X1006,89.90942218303681,54
X870,89.39362449645996,55
X34,88.83348479270936,56
X45,87.35578603744507,57
X293,87.1001314163208,58
X842,86.95960832536221,59
X1030,86.6460515499115,60
X574,82.84697151184082,61
X397,82.62394824028016,62
X255,82.3808183670044,63
X1077,82.25253200531006,64
X295,82.1846257686615,65
X1075,81.63640174865722,66
X1058,81.4189398765564,67
X67,81.36733951568604,68
X875,80.99867630004883,69
X713,75.74025392532349,70
X1059,75.53946182727813,71
X824,75.39029998779297,72
X578,75.2803729057312,73
X586,75.22119617462158,74
X880,75.05553090572357,75
X865,74.90009231567383,76
X581,74.55930805206299,77
X1083,74.48215017318725,78
X29,74.32150356769561,79
X337,73.92100954055786,80
X810,73.88174201250077,81
X898,73.77352504730224,82
X79,73.64119052886963,83
X682,72.58462009429931,84
X886,72.22778391838074,85
X838,72.18766765594482,86
X832,71.88400039672851,87
X856,71.79619808197022,88
X826,70.9015977859497,89
X661,70.06992721557617,90
X817,70.01307778358459,91
