feature,date,p5,q1,median,q3,p95,mean,count
X1049,20201107,70532.0,70645.0,70741.0,70923.0,71044.0,70774.03857566766,12132
X1049,20201108,80955.0,81221.0,81520.0,81829.0,82305.0,81562.45266479,52931
X1049,20201109,90023.0,90559.0,90942.0,91211.0,92234.0,90652.03367685447,73552
X1049,20201110,92357.0,100118.0,100240.0,100253.0,100702.0,99359.93064288465,15586
X1049,20201111,110103.0,110134.0,110346.0,110956.0,111450.0,110507.62895150206,20372
X561,20201107,55.0,56.25,56.25,57.5,57.5,56.48367952522255,12132
X561,20201108,14.4,14.8,15.0,15.4,56.25,17.8906992121819,52931
X561,20201109,14.2,14.6,14.8,15.0,56.25,17.368450212094846,73552
X561,20201110,14.6,56.25,57.5,57.5,58.75,49.63663223405621,15586
X561,20201111,14.4,14.8,55.0,56.25,57.5,39.18142794031023,20372
X592,20201107,-2.9710884,-0.8405796999999999,-0.0626374,0.8060860999999999,2.3740942000000005,-0.1238003953264095,12132
X592,20201108,-1.6448505,-0.1808839,0.2744377999999999,0.8671892,1.5771702,0.24864782220626852,52931
X592,20201109,-1.7950560999999998,-0.3414369,0.2753205,0.7635816,2.5729249,0.21243165175386122,73552
X592,20201110,-1.1541063,-0.3823072,0.2670665,0.6672473000000001,2.0230066000000004,0.19738462875016044,15586
X592,20201111,-2.5800043,-0.7662926,-0.1102234,0.3402778,1.6883401000000002,-0.2583199563224033,20372
X727,20201108,24.22,27.44,30.27,33.28,37.88,30.564022455998384,49430
X727,20201109,25.01,28.1,30.58,33.33,38.01,30.904755408810495,69054
X727,20201110,26.15,28.78,31.82,34.73,39.667500000000004,32.08555201698514,2826
X727,20201111,25.97,27.91,30.14,32.379999999999995,35.78,30.359662735849057,8480
X1066,20201107,1.6836552,2.4975329,3.7825452,5.8924118,9.9269461,4.415274125329707,12132
X1066,20201108,1.1633817,2.0971268,2.7441388,3.9740593,6.5223683,3.397345387413802,52931
X1066,20201109,1.5223772999999998,2.6363403,3.679121700000001,5.4098197,9.3265505,4.455756138514248,73552
X1066,20201110,1.7648800999999998,3.0261224,4.2644303,6.221051,10.181001,5.134917443757218,15586
X1066,20201111,1.6640414,2.3660226000000004,3.2601834,4.5697275,11.27011,4.040311125800118,20372
X1068,20201107,2.0612339,2.6047451,3.0612383,3.6107534,4.4499517,3.13977689056215,12132
X1068,20201108,1.8958061,2.4767054,2.9557153,3.4979404,4.4840144,3.0267135587632956,52931
X1068,20201109,1.9940805,2.7212781,3.1761449,3.7851127,4.8215781,3.305557117727594,73552
X1068,20201110,2.0890002,2.6092253,2.9932147,3.5639267999999995,4.4004163,3.1925410638714227,15586
X1068,20201111,2.1411568,2.6468652,3.1926169,3.6752715,4.367906,3.2665382297614376,20372
X1071,20201107,3.8528063,4.6790819,6.2972912,7.462094500000001,17.0553633,6.900073972782724,12132
X1071,20201108,3.3173731,5.602633900000001,7.689132499999999,10.5351015,15.7271956,8.262652639150971,52931
X1071,20201109,3.2908899,5.807201399999999,8.553936799999999,11.6955987,15.8503091,8.865920756663312,73552
X1071,20201110,3.4197072,6.3610178999999984,7.957563799999999,10.2552829,13.5573094,8.373602582625432,15586
X1071,20201111,3.1437912,4.324641400000001,6.369177099999999,10.3087774,15.9988213,7.867281613695268,20372
X1085,20201107,14211.0,14690.0,15016.0,15374.0,15970.449999999999,15040.775387405209,12132
X1085,20201108,13723.0,14641.0,15157.0,15651.0,16301.0,15105.22776822656,52931
X1085,20201109,14233.0,14887.0,15319.0,15756.25,16346.0,15309.312812703938,73552
X1085,20201110,14322.0,14822.0,15182.0,15574.0,16148.0,15197.90837931477,15586
X1085,20201111,14402.0,14951.0,15349.0,15756.0,16341.0,15355.57736108384,20372
X1060,20201107,13.4789591,15.6740138,17.1823758,18.554863,23.9341647,17.4137609206726,12132
X1060,20201108,13.3479023,15.6504431,18.015220000000003,20.289583,24.822275,18.30312222371767,52931
X1060,20201109,13.4073795,16.507524,18.4532427,21.6965218,25.8404013,18.89239928910295,73552
X1060,20201110,14.5547449,17.838652300000003,19.8366577,21.896296,24.7468697,19.703728858488386,15586
X1060,20201111,12.820265,15.3413125,17.385662,22.1047236,25.0070521,18.446236592170628,20372
X583,20201107,0.434,0.4379999999999999,0.44,0.44,0.444,0.4392172766238047,12132
X583,20201108,0.434,0.4379999999999999,0.4379999999999999,0.442,0.444,0.4391415994407814,52931
X583,20201109,0.434,0.436,0.4379999999999999,0.44,0.444,0.4384693278224929,73552
X583,20201110,0.432,0.436,0.4379999999999999,0.44,0.442,0.43774515590914925,15586
X583,20201111,0.434,0.4379999999999999,0.44,0.442,0.444,0.4392018456705281,20372
X1063,20201107,21.4024074,22.5997142,25.0932013,29.698875399999995,34.207074,26.34436899863996,12132
X1063,20201108,17.0381634,21.988184,24.1911063,26.714672,31.0130817,24.156491595911657,52931
X1063,20201109,17.451970499999998,21.661330300000003,24.6196258,27.4334024,33.2011414,24.676321214635905,73552
X1063,20201110,18.6687867,20.4134827,23.4021972,25.3636298,31.0102209,23.657785564801745,15586
X1063,20201111,18.7127304,20.681059,23.4537104,25.343985,28.2217751,23.303435394561163,20372
X1061,20201107,73.9018707,83.39458839999998,86.20202049999997,87.4341178,89.36211,84.64105255539069,12132
X1061,20201108,79.90712590000001,84.4550943,86.6237551,87.8486361,90.2174224,85.95218431890952,52931
X1061,20201109,70.4948881,80.77042569999998,84.7791072,87.23547950000001,89.07010179999997,83.08198678002366,73552
X1061,20201110,72.644324,77.58483170000001,82.8064957,86.57351709999998,89.55534990000001,82.05839057398947,15586
X1061,20201111,72.8571192,82.81178390000001,86.03412,87.95781550000001,89.69322890000001,84.35700141538877,20372
X1064,20201107,8.481046599999999,9.2471496,10.781476199999998,12.7450529,19.5710954,11.882149447856909,12132
X1064,20201108,7.8832309999999985,9.2205691,10.5828538,12.0857287,15.0675332,10.845805556010655,52931
X1064,20201109,7.874482799999999,9.372681,11.1093533,13.1718935,18.7808009,11.702638118240156,73552
X1064,20201110,7.457784200000001,9.7884856,11.4708444,14.9530506,23.0801642,12.841041633651997,15586
X1064,20201111,7.5523777,8.9803163,9.8587495,13.169214300000002,22.6304899,11.728039844850775,20372
X595,20201107,0.0,0.0,0.0,0.0,1.0,0.0836630398944939,12132
X595,20201108,0.0,0.0,0.0,0.0,1.0,0.0877935425365098,52931
X595,20201109,0.0,0.0,0.0,0.0,1.0,0.07413802479878182,73552
X595,20201110,0.0,0.0,0.0,0.0,1.0,0.07994353907352753,15586
X595,20201111,0.0,0.0,0.0,0.0,1.0,0.08943648144512076,20372
X1083,20201107,21072.0,21986.0,22648.0,23384.0,24653.0,22736.1587537092,12132
X1083,20201108,19684.0,20863.0,21731.0,22695.0,25538.0,21997.183805331468,52931
X1083,20201109,19867.0,21003.0,21846.0,22787.0,24623.0,21977.874252229714,73552
X1083,20201110,20569.0,21760.0,22600.0,23463.0,24781.5,22635.758886179905,15586
X1083,20201111,19912.0,21303.0,22201.0,23031.0,24377.0,22186.84365796191,20372
X1062,20201107,63.87500970000001,70.81010619999998,74.77154490000001,76.9774444,79.05782370000001,73.44270065464062,12132
X1062,20201108,68.3867633,74.2675838,76.27689009999999,77.93161099999998,81.70255709999998,75.81546260791218,52931
X1062,20201109,60.5492443,70.4396393,73.6550816,76.37706429999999,78.92382412499998,72.70019530959048,73552
X1062,20201110,62.6685396,67.52158359999999,72.66373209999998,75.4213436,79.13376059999999,71.99861251292185,15586
X1062,20201111,62.6826956,72.2357052,75.7682355,78.64780479999999,80.22334570000001,74.52825798450814,20372
X1070,20201107,73.75391859999998,81.98446340000001,85.0507787,86.4581005,88.6149375,83.56515685984998,12132
X1070,20201108,78.2270348,82.4912973,85.2886377,86.85516390000001,89.4818868,84.44300049533922,52931
X1070,20201109,68.74637320000001,78.7355961,83.28488999999998,86.1345413,88.35184220000001,81.65884390431667,73552
X1070,20201110,70.60395179999998,76.66337759999998,82.1933923,85.04678790000001,88.18450379999999,80.80669291862569,15586
X1070,20201111,68.7347845,81.2368515,84.79711479999999,87.0380382,89.23711879999998,83.0667148918172,20372
X596,20201107,4.0,7.0,11.0,15.0,28.0,12.572996311954665,11117
X596,20201108,4.0,7.0,10.0,15.0,25.0,11.808880788667054,48284
X596,20201109,4.0,8.0,12.0,17.0,32.0,13.852714430461534,68099
X596,20201110,3.0,7.0,10.0,14.0,24.0,10.991283124128312,14340
X596,20201111,4.0,8.0,12.0,18.0,33.0,14.239245283018867,18550
X587,20201108,0.318,0.322,0.324,0.326,0.328,0.3234065142625936,49430
X587,20201109,0.318,0.322,0.324,0.326,0.328,0.32373002403776535,69058
X587,20201110,0.318,0.322,0.324,0.326,0.328,0.3235725406935598,2826
X587,20201111,0.322,0.324,0.324,0.326,0.328,0.3249021226415094,8480
X597,20201107,6.0,10.0,16.0,23.5,37.0,17.90344827586207,1015
X597,20201108,6.0,10.0,15.0,21.0,33.0,16.55218420486335,4647
X597,20201109,6.0,11.0,16.0,22.0,35.0,17.493673207408765,5453
X597,20201110,6.0,10.0,14.0,20.0,33.0,15.979935794542536,1246
X597,20201111,6.0,10.25,15.0,22.0,35.0,17.22667398463227,1822
