die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
12,21,5,0.00077012,0.00089007,0.00016742,2,40.0,770.1,890.1,27.005
12,22,2,0.00068178,0.00088063,0.00028121,1,50.0,681.8,880.6,27.005
13,19,234,0.00065327,0.0009004,0.00014871,8,3.42,653.3,900.4,26.12
13,20,454,0.00064542,0.00089571,0.00019555,9,1.98,645.4,895.7,26.043
13,21,574,0.00064389,0.0008768,0.00018621,30,5.23,643.9,876.8,26.005
13,22,386,0.00060346,0.00089832,0.00021052,9,2.33,603.5,898.3,26.005
13,23,451,0.00066482,0.00089635,0.00016043,19,4.21,664.8,896.4,26.043
13,24,145,0.00059053,0.00088001,0.00017478,6,4.14,590.5,880.0,26.12
14,18,533,0.00060557,0.00091899,0.00017788,24,4.5,605.6,919.0,25.244
14,19,611,0.00065969,0.0009014,0.00017568,36,5.89,659.7,901.4,25.125
14,20,549,0.00061809,0.0009037,0.00020201,32,5.83,618.1,903.7,25.045
14,21,599,0.00060098,0.00089737,0.0002271,44,7.35,601.0,897.4,25.005
14,22,560,0.00063708,0.00089613,0.00020088,36,6.43,637.1,896.1,25.005
14,23,469,0.00066882,0.00089608,0.00017985,22,4.69,668.8,896.1,25.045
14,24,490,0.00061863,0.00089316,0.00021892,17,3.47,618.6,893.2,25.125
14,25,290,0.00063449,0.00089716,0.0001533,11,3.79,634.5,897.2,25.244
15,17,403,0.00059507,0.00089551,0.0001952,36,8.93,595.1,895.5,24.418
15,18,509,0.00061592,0.00089135,0.00020624,22,4.32,615.9,891.4,24.254
15,19,501,0.00061942,0.00091387,0.00022296,29,5.79,619.4,913.9,24.13
15,20,528,0.00063741,0.00090318,0.000207,37,7.01,637.4,903.2,24.047
15,21,637,0.00062228,0.00090426,0.00022217,53,8.32,622.3,904.3,24.005
15,22,532,0.00064926,0.00090895,0.00021762,32,6.02,649.3,909.0,24.005
15,23,600,0.00062231,0.00091358,0.00022086,50,8.33,622.3,913.6,24.047
15,24,624,0.00065509,0.00089856,0.00020898,70,11.22,655.1,898.6,24.13
15,25,642,0.00062374,0.00089501,0.00020658,40,6.23,623.7,895.0,24.254
15,26,357,0.0005497,0.00089764,0.00017456,9,2.52,549.7,897.6,24.418
16,16,56,0.0005325,0.00090915,0.00020124,2,3.57,532.5,909.2,23.648
16,17,591,0.00064355,0.00091117,0.00017205,38,6.43,643.6,911.2,23.436
16,18,625,0.00062557,0.0009086,0.00022539,82,13.12,625.6,908.6,23.265
16,19,563,0.0006749,0.00089754,0.00018992,38,6.75,674.9,897.5,23.135
16,20,707,0.00061021,0.00091029,0.0002369,47,6.65,610.2,910.3,23.049
16,21,616,0.00063925,0.00087491,0.00022832,58,9.42,639.2,874.9,23.005
