stage,model,split,metric,value
clf,soft_vote,train,auc,0.6569234466249402
clf,soft_vote,train,ap,0.394441359318787
clf,soft_vote,train,f1,0.0893874434721325
clf,soft_vote,train,precision,0.4479105356091818
clf,soft_vote,train,recall,0.0496477035490605
clf,soft_vote,val,auc,0.6520456598362028
clf,soft_vote,val,ap,0.3853863651197345
clf,soft_vote,val,f1,0.0762124711316397
clf,soft_vote,val,precision,0.4132947976878612
clf,soft_vote,val,recall,0.0419765166340508
clf,soft_vote,test,auc,0.6611631885095544
clf,soft_vote,test,ap,0.3925152672926881
clf,soft_vote,test,f1,0.073329180386224
clf,soft_vote,test,precision,0.4051130776794494
clf,soft_vote,test,recall,0.0403131115459882
clf,lgbm,train,auc,0.6590683572134812
clf,lgbm,val,auc,0.6625199991532744
clf,lgbm,test,auc,0.6700066055655147
clf,et,train,auc,0.6648575349649353
clf,et,val,auc,0.6606039072911289
clf,et,test,auc,0.6675160317067146
clf,logreg_enet,train,auc,0.6037252578747445
clf,logreg_enet,val,auc,0.5966327176037411
clf,logreg_enet,test,auc,0.6032658451427333
reg,lgbm,val,rmse,0.0057479544276666
reg,lgbm,test,rmse,0.0084296254988254
reg,et,val,rmse,0.0057469789040366
reg,et,test,rmse,0.0084306227475425
reg,enet,val,rmse,0.0057470754881247
reg,enet,test,rmse,0.0084309841748733
reg,stacking,oof,rmse,0.0054828962843585
reg,stacking,val,rmse,0.005699
reg,stacking,test,rmse,0.008405278541143
