feature,mean_abs_shap,mean_shap,rank
X727,0.0013469339509022224,-0.0005811023378325695,1
X831,0.0011160312548053623,4.1173487942962945e-05,2
X726,0.0008745438286554139,5.163418581881107e-06,3
X718,0.0006698135624998494,-3.0739171453546535e-05,4
X1066,0.0006535821466640194,1.253590498771025e-05,5
X1070,0.000596121813485662,-2.8550978671862036e-05,6
X1003,0.0005703490125678795,8.332468384179253e-06,7
X1049,0.0004678292160865337,-7.587998603908813e-05,8
X1064,0.00046390019918322856,-8.519037012297416e-06,9
X1071,0.00045048679754793237,1.3768399523120683e-06,10
X592,0.0004289698928403792,3.8605363402872505e-07,11
X400,0.0003788960569672322,-8.706061026168351e-07,12
die_y,0.000359336835381481,1.5273418361449776e-05,13
X594,0.00030077919086065865,0.00020169863332838368,14
X768,0.0002818368214837633,8.884940212730413e-06,15
X397,0.00027700788643641175,-1.2210116293101813e-06,16
X1029,0.0002711810799499808,-6.895722471804154e-06,17
X1063,0.00026198466278610035,3.4249696087711567e-06,18
X1014,0.0002473026806448868,-4.15829426722167e-06,19
X1068,0.00023580148746197126,-1.7720955804150474e-06,20
X557,0.00023516947199527942,-1.6719961707664057e-06,21
X982,0.00023387725057847934,-1.9397778962207265e-06,22
X1060,0.0002297767843071806,-1.2378809984967903e-06,23
X561,0.000218270002322266,-1.793383793886619e-05,24
X1032,0.00020625275333413808,-2.6963031487667142e-06,25
X1077,0.00019220171418247027,8.841540461522359e-06,26
X833,0.00018474077299391535,-8.349774259721613e-06,27
X995,0.00018160341747743827,4.8074642569248635e-06,28
X293,0.00016638814892804598,-4.386096842520012e-06,29
X732,0.00016614122324762876,-4.9010506488670535e-06,30
die_x,0.00016496866715685709,-5.818387614386626e-07,31
X854,0.00015015980500632673,5.592934281482382e-06,32
X826,0.00015011867823858278,-2.940070836907795e-06,33
X856,0.00014648271807305682,-3.5699588597394044e-06,34
X722,0.00014279588797006687,8.838934238523386e-06,35
X34,0.0001426063004757697,-4.965555161767977e-06,36
X870,0.00013514342187635414,-5.422896238982179e-06,37
X1006,0.00013302211590543342,9.253905495909734e-07,38
X893,0.00013240310107860356,7.07899354313964e-07,39
X240,0.00013239939051450835,2.4546525410917477e-06,40
X572,0.00013015804424881212,-1.8434847199482224e-06,41
X842,0.00012937898286141038,-6.517066552801046e-07,42
X1031,0.00012436955103930147,2.1784129143099114e-06,43
X583,0.00012340296439359162,-6.741831178045034e-07,44
X243,0.0001226694083263001,1.9168796963431774e-06,45
X573,0.00012217802960354888,2.0150721542719234e-06,46
X587,0.00012064919041613038,0.00010187388669996992,47
X1058,0.00011837381988163363,2.041720347861487e-06,48
X886,0.0001164667197506211,-1.2137955000639147e-05,49
X255,0.00011294313621154915,3.895282394568563e-06,50
X562,0.0001121458599312986,-3.4890441112439696e-06,51
X689,0.00011204575400586704,-1.7163161690867535e-05,52
X292,0.00011108790516121978,2.640961489225533e-06,53
X849,0.00010980101374012547,-1.1676832229659826e-06,54
X589,0.00010776718975915307,-4.879441111327356e-05,55
X1073,0.00010547558880818215,-1.97170336158334e-06,56
X48,0.0001046820670347665,1.00497821158288e-06,57
X905,0.00010217322713325941,6.708441096481751e-06,58
X1016,0.00010198422182255564,-3.902453787730415e-06,59
X155,9.769732068443308e-05,-1.947446008430189e-06,60
X983,9.635927850547727e-05,-3.0011029704978863e-06,61
X835,9.178245037936775e-05,-2.7108342092998677e-06,62
X1002,9.067403829945847e-05,-3.2210077068852777e-06,63
X731,9.01291133751845e-05,-5.40210550790144e-06,64
X295,8.901511903829444e-05,3.5339839673965414e-06,65
X365,8.716810976208763e-05,-1.0118862599107639e-07,66
X828,8.419594890762172e-05,-3.89158652067151e-06,67
X59,8.139591784320287e-05,2.6476737228337505e-06,68
X719,8.13683849146521e-05,-9.48162336943417e-06,69
X824,7.983598534114899e-05,-1.788702873567668e-06,70
X660,7.865840273334929e-05,8.38971593041839e-07,71
X202,7.775027265066064e-05,-2.4890649395611576e-06,72
X836,7.704308273660068e-05,1.510443278403862e-08,73
X1001,7.701987286863196e-05,-3.8968055532783924e-06,74
X898,7.614095066911872e-05,1.3797991125428633e-06,75
X1076,7.520561651332513e-05,-1.4363638610344389e-06,76
