die_x,die_y,feature,feat_norm
12,21,X1000,0.1796
12,22,X1000,0.1874
13,19,X1000,0.4238
13,20,X1000,0.2039
13,21,X1000,0.0211
13,22,X1000,0.0266
13,23,X1000,0.1941
13,24,X1000,0.0632
14,18,X1000,0.2738
14,19,X1000,0.1741
14,20,X1000,0.1877
14,21,X1000,0.3287
14,22,X1000,0.2434
14,23,X1000,0.2447
14,24,X1000,0.1883
14,25,X1000,0.0998
15,17,X1000,0.2358
15,18,X1000,0.2084
15,19,X1000,0.2223
15,20,X1000,0.361
15,21,X1000,0.3826
15,22,X1000,0.3168
15,23,X1000,0.3352
15,24,X1000,0.2409
15,25,X1000,0.1684
15,26,X1000,0.0599
16,16,X1000,0.2193
16,17,X1000,0.1423
16,18,X1000,0.2742
16,19,X1000,0.227
16,20,X1000,0.3443
16,21,X1000,0.4051
16,22,X1000,0.4128
16,23,X1000,0.2989
16,24,X1000,0.3348
16,25,X1000,0.225
16,26,X1000,0.1929
16,27,X1000,0.3438
17,16,X1000,0.2936
17,17,X1000,0.2553
17,18,X1000,0.3184
17,19,X1000,0.3248
17,20,X1000,0.3226
17,21,X1000,0.3308
17,22,X1000,0.3937
17,23,X1000,0.3979
17,24,X1000,0.3449
17,25,X1000,0.318
17,26,X1000,0.1949
17,27,X1000,0.2152
18,15,X1000,0.3661
18,16,X1000,0.2635
18,17,X1000,0.3028
18,18,X1000,0.3058
18,19,X1000,0.2639
18,20,X1000,0.2855
18,21,X1000,0.3043
18,22,X1000,0.3076
18,23,X1000,0.2379
18,24,X1000,0.2675
18,25,X1000,0.2722
18,26,X1000,0.3299
18,27,X1000,0.211
18,28,X1000,0.0832
19,15,X1000,0.2414
19,16,X1000,0.3538
19,17,X1000,0.4039
19,18,X1000,0.2722
19,19,X1000,0.366
19,20,X1000,0.2711
19,21,X1000,0.2265
19,22,X1000,0.2733
19,23,X1000,0.269
19,24,X1000,0.3052
19,25,X1000,0.348
19,26,X1000,0.3556
19,27,X1000,0.347
19,28,X1000,0.2159
20,14,X1000,0.4617
20,15,X1000,0.2778
20,16,X1000,0.3751
20,17,X1000,0.3126
20,18,X1000,0.3041
20,19,X1000,0.2242
20,20,X1000,0.1829
20,21,X1000,0.239
20,22,X1000,0.254
20,23,X1000,0.2215
20,24,X1000,0.212
20,25,X1000,0.2886
20,26,X1000,0.3792
20,27,X1000,0.4034
20,28,X1000,0.3334
20,29,X1000,0.0
21,14,X1000,0.3834
21,15,X1000,0.3911
21,16,X1000,0.457
21,17,X1000,0.3539
21,18,X1000,0.2736
21,19,X1000,0.2057
21,20,X1000,0.217
21,21,X1000,0.1919
21,22,X1000,0.2904
21,23,X1000,0.2077
21,24,X1000,0.2238
21,25,X1000,0.2275
21,26,X1000,0.3304
21,27,X1000,0.4183
21,28,X1000,0.4321
21,29,X1000,0.2059
22,13,X1000,0.5001
22,14,X1000,0.3781
22,15,X1000,0.4834
22,16,X1000,0.4199
22,17,X1000,0.3092
22,18,X1000,0.2191
22,19,X1000,0.1236
22,20,X1000,0.2439
22,21,X1000,0.269
22,22,X1000,0.3836
22,23,X1000,0.3161
22,24,X1000,0.2663
22,25,X1000,0.101
22,26,X1000,0.2418
22,27,X1000,0.4398
22,28,X1000,0.5775
22,29,X1000,0.4061
22,30,X1000,0.1589
23,13,X1000,0.5755
23,14,X1000,0.3581
23,15,X1000,0.6107
23,16,X1000,0.4434
23,17,X1000,0.3927
23,18,X1000,0.2012
23,19,X1000,0.3423
23,20,X1000,0.3324
23,21,X1000,0.446
23,22,X1000,0.4363
23,23,X1000,0.4536
23,24,X1000,0.3254
23,25,X1000,0.2704
23,26,X1000,0.3108
23,27,X1000,0.4806
23,28,X1000,0.6035
23,29,X1000,0.4786
23,30,X1000,0.2252
24,13,X1000,0.437
24,14,X1000,0.4365
24,15,X1000,0.5161
24,16,X1000,0.4134
24,17,X1000,0.2774
24,18,X1000,0.2799
24,19,X1000,0.3274
24,20,X1000,0.3489
24,21,X1000,0.3383
24,22,X1000,0.3328
24,23,X1000,0.3524
24,24,X1000,0.4125
24,25,X1000,0.3353
24,26,X1000,0.2883
24,27,X1000,0.3436
24,28,X1000,0.5905
24,29,X1000,0.5827
24,30,X1000,0.3282
25,13,X1000,0.5017
25,14,X1000,0.4828
25,15,X1000,0.6057
25,16,X1000,0.4663
25,17,X1000,0.2672
25,18,X1000,0.4037
25,19,X1000,0.3748
25,20,X1000,0.3446
25,21,X1000,0.3869
25,22,X1000,0.3677
25,23,X1000,0.3775
25,24,X1000,0.3998
25,25,X1000,0.4504
25,26,X1000,0.3722
25,27,X1000,0.381
25,28,X1000,0.6191
25,29,X1000,0.6871
