ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S02404,111,1,2026-04-21,25,28,0.0,val,1,0.0007424776895567
S02406,111,1,2026-04-21,46,30,0.0,val,1,0.0007234333896213
S04403,111,1,2026-04-21,42,21,0.0,val,1,0.0007083744782914
S04410,111,1,2026-04-21,42,17,0.0,val,1,0.0006246973231085
S11730,111,1,2026-04-21,33,29,0.0,val,1,0.0007280626695784
S14708,111,1,2026-04-21,21,26,0.0,val,1,0.0007535324045943
S20086,111,1,2026-04-21,34,28,0.0057801451432824,val,1,0.0007166028832636
S23845,111,1,2026-04-21,50,29,0.0,val,1,0.0007447704359946
S28252,111,1,2026-04-21,18,26,0.0,val,1,0.0007569225747051
S28583,111,1,2026-04-21,50,21,0.0,val,1,0.0007161868159108
S29561,111,1,2026-04-21,61,20,0.0046748311605244,val,1,0.0006258143766422
S29772,111,1,2026-04-21,26,18,0.0,val,1,0.0006996801302671
S38253,111,1,2026-04-21,33,17,0.0081842358772529,val,1,0.0006599497425449
S38914,111,1,2026-04-21,40,27,0.0,val,1,0.0007112971770014
S40935,111,1,2026-04-21,37,31,0.0,val,1,0.0007486650714855
S41268,111,1,2026-04-21,42,18,0.0,val,1,0.0006010636360203
S41526,111,1,2026-04-21,25,21,0.0036000014486927,val,1,0.0007084037635942
S42897,111,1,2026-04-21,30,22,0.0,val,1,0.0007334469453457
S02404,111,1,2026-04-21,23,28,0.0,val,2,0.0007644051909564
S02406,111,1,2026-04-21,45,30,0.0,val,2,0.0007241748723798
S04403,111,1,2026-04-21,44,21,0.0,val,2,0.0006948101364539
S04410,111,1,2026-04-21,44,17,0.0,val,2,0.0006059397368446
S11730,111,1,2026-04-21,35,29,0.0,val,2,0.000705215377607
S14708,111,1,2026-04-21,19,26,0.0,val,2,0.0007521152233115
S20086,111,1,2026-04-21,32,28,0.0057801451432824,val,2,0.0007217128456287
S23845,111,1,2026-04-21,52,29,0.0,val,2,0.0007338312420942
S28252,111,1,2026-04-21,18,27,0.0,val,2,0.0007654177200406
S28583,111,1,2026-04-21,52,21,0.0,val,2,0.0006234426807557
S29561,111,1,2026-04-21,59,20,0.0046748311605244,val,2,0.0005882540305273
S29772,111,1,2026-04-21,24,18,0.0,val,2,0.0006700401996766
S38253,111,1,2026-04-21,36,17,0.0081842358772529,val,2,0.0007077431537634
S38914,111,1,2026-04-21,41,27,0.0,val,2,0.0007149663520209
S40935,111,1,2026-04-21,39,31,0.0,val,2,0.0007534233840179
S41268,111,1,2026-04-21,40,18,0.0,val,2,0.0006723650042058
S41526,111,1,2026-04-21,27,21,0.0036000014486927,val,2,0.0007267141143282
S42897,111,1,2026-04-21,28,22,0.0,val,2,0.0007356187310013
S02404,111,1,2026-04-21,29,28,0.0,val,3,0.0007192045714959
S02406,111,1,2026-04-21,48,30,0.0,val,3,0.0007374015741791
S04403,111,1,2026-04-21,38,21,0.0,val,3,0.0006951228744089
S04410,111,1,2026-04-21,37,17,0.0,val,3,0.0007020375780719
S11730,111,1,2026-04-21,28,29,0.0,val,3,0.0007462234933276
S14708,111,1,2026-04-21,25,26,0.0,val,3,0.000719078222629
