lot,split,total,danger,defect_rate,health_mean,pred_mean
1,train,1284,1284,100.0,0.0006608650550324559,0.0010180281439574259
2,train,1249,1249,100.0,0.0024685446695338242,0.0027629219391029757
3,train,1114,1114,100.0,0.0029933098870171936,0.0029310489322186255
4,train,980,980,100.0,0.003247640564308695,0.0036414063418732413
5,train,1192,1192,100.0,0.003192313544274605,0.003502728284287173
6,train,818,818,100.0,0.0034635837382862218,0.0034762150908136625
7,train,731,731,100.0,0.002949993674366155,0.0031900740630252684
8,train,1348,1348,100.0,0.0035713601273891526,0.0038793164483910594
9,train,844,844,100.0,0.002912076754272556,0.0031561868981555847
10,train,1384,1384,100.0,0.0022307390710295293,0.0026632952041322207
11,train,410,410,100.0,0.0019470802018559518,0.0020807099838154857
12,train,691,691,100.0,0.002105311949057277,0.002936587291907714
13,train,843,843,100.0,0.0029224344859811054,0.0030399826120878297
14,train,1299,1299,100.0,0.0024798415005205902,0.002661149294729763
15,train,1264,1264,100.0,0.0006329776575810899,0.0007987144963749978
16,train,988,988,100.0,0.002228034792011578,0.002354300727708982
17,train,1017,1017,100.0,0.0033699628982212715,0.003341781891807707
18,train,515,515,100.0,0.0024928840764178828,0.0026119182984903804
19,train,230,230,100.0,0.0035082039301513324,0.0032715620232096993
20,train,238,238,100.0,0.0019290861781287116,0.0017542607483763996
21,train,550,550,100.0,0.002223559428258333,0.0026977777877698734
22,train,756,756,100.0,0.0024337198232246412,0.002529799709325744
23,train,1207,1207,100.0,0.001816492276738354,0.0020034431832358646
24,train,1335,1335,100.0,0.0030349557798326717,0.003028815873290845
25,train,1634,1634,100.0,0.003652187656552625,0.004021985637963247
26,train,607,607,100.0,0.0014345293650110146,0.0017671392066698848
27,train,473,473,100.0,0.002360207125877825,0.002151902322277881
28,train,1186,1186,100.0,0.0017581868331126497,0.0022379474875409344
29,val,413,413,100.0,0.0004577911886682864,0.001033201622739261
30,val,458,458,100.0,0.0028531851958588034,0.002769824464638727
31,val,397,397,100.0,0.002262741710445177,0.0029023711437196997
32,val,335,335,100.0,0.003078652428782483,0.0035701505745100934
33,val,421,421,100.0,0.0027293147821107295,0.003518956891941144
34,val,244,244,100.0,0.0035664948404393027,0.003595457104729376
35,val,252,252,100.0,0.0036046488690627226,0.0032258610155037233
36,val,450,450,100.0,0.0037676700753996933,0.0038848592871749943
37,val,263,263,100.0,0.002818098561743261,0.00313934347030324
38,val,467,467,100.0,0.002081117275426849,0.002617334243147276
39,val,161,161,100.0,0.0022431814774614735,0.002056237237439638
40,val,253,253,100.0,0.002806855822620885,0.002940742720679967
41,val,301,301,100.0,0.002952279025927321,0.003044650511684382
42,val,440,440,100.0,0.0028808185258877056,0.0027053321015084587
43,val,398,398,100.0,0.000674341850005206,0.0007495530777882852
44,val,296,296,100.0,0.002312938569409318,0.002387983554055019
45,val,354,354,100.0,0.003264259923286964,0.0033862983577470102
46,val,187,187,100.0,0.0025859139032898097,0.0026917122660190507
47,val,64,64,100.0,0.0016538812132594939,0.0032278490814231565
48,val,81,81,100.0,0.002224574047112608,0.0018661686920755172
49,val,169,169,100.0,0.0019621379406552773,0.0026495997032584804
50,val,205,205,100.0,0.001904368155671286,0.0024132207932578034
51,val,412,412,100.0,0.001972096579192027,0.001994349944435676
52,val,409,409,100.0,0.0033520616170382273,0.002994857779825699
53,val,528,528,100.0,0.0031022640506896603,0.004015649332459746
54,val,226,226,100.0,0.0016343634827634128,0.0017762043486022798
55,val,164,164,100.0,0.0019017453035206826,0.002224082271958744
56,val,379,379,100.0,0.002033536593223344,0.002278695095373816
57,test,426,426,100.0,0.0,0.0010191675037572528
58,test,435,435,100.0,0.0,0.0028264344709147326
59,test,398,398,100.0,0.0,0.0029394231964160033
60,test,317,317,100.0,0.0,0.0036489822316401483
61,test,381,381,100.0,0.0,0.003498937102831341
62,test,250,250,100.0,0.0,0.003498982853074379
63,test,272,272,100.0,0.0,0.0031891691469512367
64,test,443,443,100.0,0.0,0.003924264518953728
65,test,304,304,100.0,0.0,0.003180443382268566
66,test,473,473,100.0,0.0,0.002628162195621223
67,test,126,126,100.0,0.0,0.0021617831630916552
68,test,225,225,100.0,0.0,0.002939962206647537
69,test,277,277,100.0,0.0,0.0030422308375974653
70,test,458,458,100.0,0.0,0.002663304507966896
71,test,421,421,100.0,0.0,0.0007661006834738052
72,test,343,343,100.0,0.0,0.0024060381229666504
73,test,323,323,100.0,0.0,0.00335401716699192
74,test,145,145,100.0,0.0,0.00266417465408898
75,test,67,67,100.0,0.0,0.0032980028849211593
76,test,96,96,100.0,0.0,0.0017771094633234523
77,test,189,189,100.0,0.0,0.0026733141469769263
78,test,255,255,100.0,0.0,0.002456857375795977
79,test,398,398,100.0,0.0,0.0020239872959301355
80,test,423,423,100.0,0.0,0.0030115267056216883
81,test,538,538,100.0,0.0,0.003994430535838066
82,test,200,200,100.0,0.0,0.0017814807859161527
83,test,147,147,100.0,0.0,0.002230395160608402
84,test,399,399,100.0,0.0,0.0021892316170803766
