ufs_serial,run_id,wafer_no,split,health,reg_pred,risk
S00000,1,25,train,0.0,0.0010880699300360038,MED
S00002,1,8,train,0.0,0.0014133156225222526,MED
S00003,1,13,train,0.0,0.000652118767373912,MED
S00004,1,10,train,0.0,0.0007651231026119057,MED
S00009,1,7,train,0.0,0.0015300006288453882,MED
S00012,1,20,train,0.0,0.0006488964858893408,MED
S00013,1,22,train,0.0,0.00039505335639750664,MED
S00015,2,4,train,0.0,0.002267218483934781,MED
S00017,3,3,train,0.0,0.003210713781257576,MED
S00018,4,16,train,0.0,0.003633864438882607,MED
S00020,4,22,train,0.0,0.0035240595563481507,MED
S00021,5,25,train,0.0,0.0035232672775199294,MED
S00022,6,19,train,0.0,0.001418602868385332,MED
S00023,4,5,train,0.0,0.003654810725366801,MED
S00024,4,12,train,0.0,0.004956958441550974,HIGH
S00025,4,13,train,0.0,0.003628168070026448,MED
S00026,4,14,train,0.0,0.004262639105477041,HIGH
S00027,4,5,train,0.0,0.003832013486857766,MED
S00028,4,16,train,0.0,0.004089550513863152,HIGH
S00029,5,7,train,0.0,0.0034025311010643885,MED
S00031,5,8,train,0.0,0.002699856821333739,MED
S00032,5,5,train,0.0024556306573382,0.003843346261418543,MED
S00034,5,7,train,0.0,0.0030223823999460365,MED
S00035,5,7,train,0.0,0.003780732243253406,MED
S00037,5,8,train,0.0024203995363741,0.0021700599131411345,MED
S00038,4,14,train,0.0,0.004311714622318072,HIGH
S00039,7,11,train,0.0024294149851399,0.0028968328957218294,MED
S00041,5,23,train,0.0024488066378919,0.003063010782639146,MED
S00042,8,16,train,0.0024355223631917,0.003335875391139606,MED
S00043,9,3,train,0.0,0.0016271360685162807,MED
S00044,10,3,train,0.0,0.0024682339935888347,MED
S00047,5,21,train,0.0024454088310256,0.0023263491315273243,MED
S00049,4,15,train,0.0,0.00350341432409078,MED
S00051,12,21,train,0.0023918839575332,0.002796435563384049,MED
S00052,12,20,train,0.0,0.002245360663123687,MED
S00056,12,18,train,0.0024112401634015,0.0032340819858939604,MED
S00057,15,24,train,0.0,0.0022669534340502874,MED
S00058,12,18,train,0.0,0.003081520171814832,MED
S00059,14,13,train,0.00240752581914,0.003065509593105742,MED
S00061,16,18,train,0.0,0.0032193686721973896,MED
S00062,16,15,train,0.0,0.002277834253174247,MED
S00063,16,18,train,0.0,0.0031674999547657233,MED
