feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero,lgbm_rank,et_rank,enet_rank
X5,11.6,0.0015293094086949,0.0,False,False,True,337.5,375.0,296.5
X6,7.4,0.001300200922742,0.0,False,False,True,424.5,531.0,296.5
X7,15.4,0.0013117283511824,0.0,False,False,True,284.5,526.0,296.5
X11,6.8,0.0014117945181367,0.0,False,False,True,441.5,461.0,296.5
X13,20.4,0.001636695086779,0.0,False,False,True,217.0,297.0,296.5
X14,10.0,0.0012406114396399,0.0,False,True,True,369.5,551.0,296.5
X16,27.2,0.0017103984843796,0.0,False,False,True,140.0,250.0,296.5
X18,19.8,0.0016969605031287,0.0,False,False,True,223.0,257.0,296.5
X19,52.6,0.0016646528098895,0.0,False,False,True,43.0,284.0,296.5
X20,17.0,0.0015041021677105,0.0,False,False,True,264.5,388.0,296.5
X27,30.4,0.0016792255984945,0.0,False,False,True,117.5,273.0,296.5
X28,27.4,0.0018128414480519,0.0,False,False,True,138.0,186.0,296.5
X29,33.8,0.0019397186162979,0.0,False,False,True,101.0,121.0,296.5
X30,15.8,0.0013943053014259,0.0,False,False,True,280.0,475.0,296.5
X34,23.2,0.0015610009466532,0.0,False,False,True,178.0,347.0,296.5
X35,10.2,0.0017745902448527,0.0,False,False,True,364.0,203.0,296.5
X36,25.4,0.0016020843357422,0.0,False,False,True,156.0,315.0,296.5
X38,12.0,0.001535944425889,0.0,False,False,True,331.5,372.0,296.5
X40,24.4,0.0013979370724361,0.0,False,False,True,165.5,472.0,296.5
X41,42.6,0.0015876610290247,0.0,False,False,True,63.0,328.0,296.5
X42,25.2,0.001496123297237,0.0,False,False,True,157.5,396.0,296.5
X45,27.0,0.0013597821256051,0.0,False,False,True,142.0,494.0,296.5
X46,34.6,0.0017708326480169,0.0,False,False,True,97.5,208.0,296.5
X47,10.6,0.0016024152366296,0.0,False,False,True,353.5,314.0,296.5
X48,38.4,0.002392111571454,0.0,False,False,True,78.0,47.0,296.5
X53,20.8,0.0020352218165663,0.0,False,False,True,208.5,98.0,296.5
X54,18.6,0.0014955227371257,0.0,False,False,True,242.0,397.0,296.5
X55,13.2,0.00178241114231,0.0,False,False,True,316.0,198.0,296.5
X56,20.6,0.0013509514298966,0.0,False,False,True,213.0,497.0,296.5
X57,15.0,0.0015135117392899,0.0,False,False,True,289.5,385.0,296.5
X58,21.2,0.001342255754484,0.0,False,False,True,200.5,505.0,296.5
X59,27.6,0.0016509906065088,0.0,False,False,True,137.0,288.0,296.5
X60,29.2,0.001414440841431,0.0,False,False,True,126.0,460.0,296.5
X61,11.4,0.0013825057253354,0.0,False,False,True,343.5,482.0,296.5
X62,14.0,0.0014947182401685,0.0,False,False,True,304.5,399.0,296.5
X63,12.2,0.0014752300216361,0.0,False,False,True,329.0,413.0,296.5
X64,29.0,0.0017274778163546,0.0,False,False,True,128.0,237.0,296.5
X65,20.6,0.0014399257983592,0.0,False,False,True,213.0,441.0,296.5
X66,17.0,0.00162163638101,0.0,False,False,True,264.5,304.0,296.5
X67,24.0,0.0017899611039936,0.0,False,False,True,169.0,193.0,296.5
X69,42.0,0.0015528840764177,0.0,False,False,True,65.0,355.0,296.5
X70,11.0,0.0017197559003179,0.0,False,False,True,348.0,240.0,296.5
X73,16.8,0.0015369636142312,0.0,False,False,True,269.5,371.0,296.5
X74,14.4,0.0013886698804375,0.0,False,False,True,297.0,480.0,296.5
X75,31.4,0.0018174395361899,0.0,False,False,True,113.5,181.0,296.5
X76,14.0,0.0012989423537381,0.0,False,True,True,304.5,533.0,296.5
X77,18.0,0.0017611323822645,0.0,False,False,True,251.5,213.0,296.5
X78,16.0,0.0016398278291736,0.0,False,False,True,276.5,293.0,296.5
X79,41.4,0.0018889229365367,0.0,False,False,True,67.5,142.0,296.5
X80,18.0,0.0014700719232076,0.0,False,False,True,251.5,418.0,296.5
X81,17.2,0.0017892457679379,0.0,False,False,True,260.0,194.0,296.5
X82,18.8,0.0014807469413965,0.0,False,False,True,238.0,409.0,296.5
X83,13.6,0.0017617201782564,0.0,False,False,True,311.0,212.0,296.5
X85,42.4,0.0016011775343286,0.0,False,False,True,64.0,317.0,296.5
X95,31.6,0.0016035674120808,0.0,False,False,True,111.5,313.0,296.5
X104,4.6,0.0013981739923712,0.0,False,False,True,474.0,471.0,296.5
X105,2.6,0.001524907946897,0.0,False,False,True,501.5,380.0,296.5
X110,32.2,0.0023432993332734,0.0,False,False,True,108.0,50.0,296.5
X111,2.8,0.0014976917471356,0.0,False,False,True,498.0,394.0,296.5
X112,5.2,0.0015407228100476,0.0,False,False,True,466.5,367.0,296.5
X113,18.8,0.0012559530653964,0.0,False,True,True,238.0,545.0,296.5
X116,19.4,0.0017773527915479,0.0,False,False,True,229.0,200.0,296.5
X117,22.0,0.0015598787740323,0.0,False,False,True,189.5,349.0,296.5
X120,14.6,0.0015801125628626,0.0,False,False,True,295.0,331.0,296.5
X121,18.4,0.0016823274308815,0.0,False,False,True,245.5,270.0,296.5
X122,15.0,0.0016844331252499,0.0,False,False,True,289.5,268.0,296.5
X123,13.2,0.0013906435880327,0.0,False,False,True,316.0,478.0,296.5
X125,20.6,0.001785350552481,0.0,False,False,True,213.0,195.0,296.5
X126,20.0,0.0014281374271345,0.0,False,False,True,220.0,446.0,296.5
X127,25.0,0.0016328827831493,0.0,False,False,True,159.5,301.0,296.5
X128,21.0,0.0014006355735651,0.0,False,False,True,204.5,468.0,296.5
X130,14.2,0.0014153365632595,0.0,False,False,True,300.5,458.0,296.5
X132,9.0,0.0014399417326477,0.0,False,False,True,392.0,440.0,296.5
X145,13.8,0.0012158074788042,0.0,False,True,True,307.5,555.0,296.5
X146,20.6,0.0011971380307371,0.0,False,True,True,213.0,560.0,296.5
X150,13.6,0.0014699396180615,0.0,False,False,True,311.0,419.0,296.5
X154,18.4,0.0014843350385962,0.0,False,False,True,245.5,405.0,296.5
X155,38.4,0.0018626380765375,0.0,False,False,True,78.0,147.0,296.5
X160,19.8,0.0013756799241155,0.0,False,False,True,223.0,487.0,296.5
X161,24.6,0.0014647545996454,0.0,False,False,True,162.5,424.0,296.5
X165,30.4,0.0016850095089336,0.0,False,False,True,117.5,267.0,296.5
X166,27.2,0.0015642490563354,0.0,False,False,True,140.0,345.0,296.5
X170,22.4,0.0016914269356638,0.0,False,False,True,184.5,263.0,296.5
X173,20.0,0.0014832614288521,0.0,False,False,True,220.0,406.0,296.5
X177,19.2,0.0013697464446072,0.0,False,False,True,231.5,489.0,296.5
X180,7.2,0.0013042587880965,0.0,False,False,True,431.5,528.0,296.5
X183,23.2,0.0015483770099135,0.0,False,False,True,178.0,359.0,296.5
X184,22.0,0.0014652169144571,0.0,False,False,True,189.5,423.0,296.5
X185,36.8,0.0014248505593576,0.0,False,False,True,84.5,449.0,296.5
X190,38.4,0.0016346286345289,0.0,False,False,True,78.0,299.0,296.5
X191,18.6,0.0017500352567854,0.0,False,False,True,242.0,222.0,296.5
X193,37.2,0.0015384974449081,0.0,False,False,True,83.0,370.0,296.5
X196,19.0,0.001589725848859,0.0,False,False,True,234.0,325.0,296.5
X198,21.4,0.0014766042211667,0.0,False,False,True,196.0,411.0,296.5
X199,15.2,0.001477654912762,0.0,False,False,True,286.5,410.0,296.5
X201,21.8,0.0014447315484147,0.0,False,False,True,192.0,437.0,296.5
X203,24.8,0.001541220818946,0.0,False,False,True,161.0,366.0,296.5
X207,28.6,0.0014409309703698,0.0,False,False,True,129.0,438.0,296.5
X209,23.2,0.0014077036227499,0.0,False,False,True,178.0,463.0,296.5
X210,25.8,0.0015218212703466,0.0,False,False,True,152.5,382.0,296.5
X213,12.0,0.0014330613455614,0.0,False,False,True,331.5,445.0,296.5
X214,21.0,0.00132789301039,0.0,False,False,True,204.5,513.0,296.5
X240,43.6,0.0016919003472474,0.0,False,False,True,60.0,262.0,296.5
X243,50.8,0.0016719883855483,0.0,False,False,True,47.0,281.0,296.5
X250,36.6,0.0014346676705122,0.0,False,False,True,87.0,444.0,296.5
X260,9.2,0.00171473785111,0.0,False,False,True,387.5,246.0,296.5
X262,17.4,0.0017139508419603,0.0,False,False,True,258.0,248.0,296.5
X264,29.4,0.0015513598918106,0.0,False,False,True,124.0,358.0,296.5
X265,33.2,0.0014967368040445,0.0,False,False,True,103.5,395.0,296.5
X266,20.8,0.0014951426391117,0.0,False,False,True,208.5,398.0,296.5
X268,36.6,0.001471528989399,0.0,False,False,True,87.0,416.0,296.5
X269,17.0,0.0019199108643773,0.0,False,False,True,264.5,125.0,296.5
X271,14.2,0.0016494285098206,0.0,False,False,True,300.5,290.0,296.5
X275,9.8,0.0013690417501738,0.0,False,False,True,373.5,491.0,296.5
X279,6.8,0.0017179339562518,0.0,False,False,True,441.5,242.0,296.5
X284,9.4,0.0014407343788892,0.0,False,False,True,382.5,439.0,296.5
X292,28.0,0.0016891620751115,0.0,False,False,True,133.0,264.0,296.5
X293,31.6,0.0021032770863754,0.0,False,False,True,111.5,79.0,296.5
X294,33.4,0.0021092181286118,0.0,False,False,True,102.0,78.0,296.5
X295,40.6,0.001925621216702,0.0,False,False,True,71.0,123.0,296.5
X302,2.0,0.0017706793882163,0.0,False,False,True,511.0,209.0,296.5
X305,24.4,0.0015103523283273,0.0,False,False,True,165.5,386.0,296.5
X314,34.0,0.00190730809947,0.0,False,False,True,100.0,135.0,296.5
X317,28.0,0.0016765168374104,0.0,False,False,True,133.0,275.0,296.5
X318,13.0,0.0021004794047619,0.0,False,False,True,319.5,81.0,296.5
X319,14.8,0.0016724319870498,0.0,False,False,True,293.0,279.0,296.5
X320,21.8,0.0017200426469867,0.0,False,False,True,192.0,239.0,296.5
X329,16.8,0.0019138697570452,0.0,False,False,True,269.5,129.0,296.5
X330,24.4,0.001267428814602,0.0,False,True,True,165.5,540.0,296.5
X332,1.0,0.0024680229622514,0.0,False,False,True,530.5,36.0,296.5
X335,6.0,0.0018189055759311,0.0,False,False,True,456.0,179.0,296.5
X336,8.6,0.0016105995902928,0.0,False,False,True,403.5,310.0,296.5
X337,40.8,0.0012566017691266,0.0,False,True,True,69.5,544.0,296.5
X340,18.4,0.0021009116837187,0.0,False,False,True,245.5,80.0,296.5
X342,25.6,0.0024673500056884,0.0,False,False,True,154.5,37.0,296.5
X344,6.0,0.0016504088720714,0.0,False,False,True,456.0,289.0,296.5
X346,14.4,0.0018778317286966,0.0,False,False,True,297.0,144.0,296.5
X348,6.6,0.0022047386603368,0.0,False,False,True,446.5,68.0,296.5
X355,56.8,0.0022750093228249,0.0,False,False,True,37.5,56.0,296.5
X364,1.2,0.0010845655182086,0.0,False,True,True,525.5,566.0,296.5
X365,13.6,0.0022459906648376,0.0,False,False,True,311.0,60.0,296.5
X366,0.0,0.0009580383330543,0.0,True,True,True,575.5,569.0,296.5
X367,0.0,0.0007521768075288,0.0,True,True,True,575.5,574.0,296.5
X368,0.0,0.0004763680640275,0.0,True,True,True,575.5,577.0,296.5
X369,0.0,0.0008139249790305,0.0,True,True,True,575.5,573.0,296.5
X373,0.0,0.0012850749622624,0.0,True,True,True,575.5,538.0,296.5
X374,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X375,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X376,10.2,0.0022082340082225,0.0,False,False,True,364.0,66.0,296.5
X379,3.0,0.001910700385126,0.0,False,False,True,494.5,132.0,296.5
X380,5.2,0.001437366745052,0.0,False,False,True,466.5,442.0,296.5
X384,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X385,2.4,0.0015778873188394,0.0,False,False,True,505.0,333.0,296.5
X386,0.0,0.0020726224968267,0.0,True,False,True,575.5,86.0,296.5
X387,0.6,0.0020625878390645,0.0,True,False,True,540.5,92.0,296.5
X388,1.2,0.0019940811568682,0.0,False,False,True,525.5,105.0,296.5
X389,9.4,0.0021728552888013,0.0,False,False,True,382.5,71.0,296.5
X390,7.0,0.0020643078862354,0.0,False,False,True,436.5,91.0,296.5
X391,17.0,0.0017549340823895,0.0,False,False,True,264.5,217.0,296.5
X392,11.6,0.0017753203910676,0.0,False,False,True,337.5,202.0,296.5
X393,8.6,0.0020840316278466,0.0,False,False,True,403.5,84.0,296.5
X394,14.8,0.0017677384542632,0.0,False,False,True,293.0,210.0,296.5
X395,7.6,0.0017091292668471,0.0,False,False,True,419.5,252.0,296.5
X396,14.2,0.0020620864470913,0.0,False,False,True,300.5,93.0,296.5
X397,19.0,0.0024764518697435,0.0,False,False,True,234.0,35.0,296.5
X398,9.8,0.0026084908368957,0.0,False,False,True,373.5,30.0,296.5
X399,9.8,0.0024149488315511,0.0,False,False,True,373.5,43.0,296.5
X400,56.2,0.0027096446131925,0.0,False,False,True,39.5,25.0,296.5
X403,11.6,0.0017473385052529,0.0,False,False,True,337.5,224.0,296.5
X405,12.2,0.0021654237124569,0.0,False,False,True,329.0,73.0,296.5
X406,5.2,0.0015563901817927,0.0,False,False,True,466.5,353.0,296.5
X407,10.0,0.001733718853836,0.0,False,False,True,369.5,235.0,296.5
X409,25.6,0.0018038143080645,0.0,False,False,True,154.5,189.0,296.5
X411,28.0,0.0020152254497444,0.0,False,False,True,133.0,102.0,296.5
X415,21.4,0.001761055128827,0.0,False,False,True,196.0,214.0,296.5
X418,5.0,0.001993114957772,0.0,False,False,True,471.0,106.0,296.5
X420,12.6,0.0017404657721935,0.0,False,False,True,324.0,229.0,296.5
X425,2.6,0.0013388750610465,0.0,False,False,True,501.5,509.0,296.5
X428,3.4,0.0013475467015127,0.0,False,False,True,488.5,498.0,296.5
X429,6.2,0.0014485307179479,0.0,False,False,True,452.5,435.0,296.5
X430,4.8,0.0016373101129559,0.0,False,False,True,473.0,296.0,296.5
X431,8.6,0.0014860019349203,0.0,False,False,True,403.5,404.0,296.5
X432,3.2,0.0013019648488811,0.0,False,False,True,491.0,530.0,296.5
X433,5.8,0.0018960368813751,0.0,False,False,True,458.5,140.0,296.5
X434,6.4,0.0015755489825712,0.0,False,False,True,449.0,336.0,296.5
X435,0.8,0.0014072858637503,0.0,True,False,True,534.5,464.0,296.5
X441,7.2,0.0012110839967635,0.0,False,True,True,431.5,556.0,296.5
X442,5.8,0.0014458403338125,0.0,False,False,True,458.5,436.0,296.5
X445,7.4,0.0017160705105944,0.0,False,False,True,424.5,244.0,296.5
X446,7.4,0.00157314202111,0.0,False,False,True,424.5,338.0,296.5
X450,10.6,0.0017504654936607,0.0,False,False,True,353.5,221.0,296.5
X453,7.2,0.0015285277403083,0.0,False,False,True,431.5,376.0,296.5
X454,8.8,0.0019075918308489,0.0,False,False,True,397.0,134.0,296.5
X461,6.2,0.001820714071221,0.0,False,False,True,452.5,174.0,296.5
X462,6.0,0.0016528380855866,0.0,False,False,True,456.0,287.0,296.5
X465,12.2,0.0018064989986998,0.0,False,False,True,329.0,187.0,296.5
X466,1.0,0.0016775417338267,0.0,False,False,True,530.5,274.0,296.5
X467,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X468,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X469,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X470,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X471,0.2,0.0013913391323991,0.0,True,False,True,553.5,477.0,296.5
X472,0.2,0.0013158119970834,0.0,True,False,True,553.5,522.0,296.5
X473,4.0,0.0017723314294772,0.0,False,False,True,481.5,206.0,296.5
X474,0.6,0.0013196422130074,0.0,True,False,True,540.5,517.0,296.5
X475,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X476,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X477,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X479,17.6,0.0014259010059388,0.0,False,False,True,256.5,448.0,296.5
X480,18.2,0.0014194887203549,0.0,False,False,True,248.5,451.0,296.5
X481,18.6,0.0018611735644282,0.0,False,False,True,242.0,149.0,296.5
X482,15.2,0.0014048167275959,0.0,False,False,True,286.5,466.0,296.5
X483,19.8,0.0012989467692119,0.0,False,False,True,223.0,532.0,296.5
X484,11.8,0.0014995183420423,0.0,False,False,True,333.0,392.0,296.5
X485,47.2,0.0018965128315027,0.0,False,False,True,57.0,139.0,296.5
X486,24.0,0.0018042240063504,0.0,False,False,True,169.0,188.0,296.5
X495,1.8,0.0015770663910635,0.0,False,False,True,514.5,334.0,296.5
X496,1.4,0.0015729107060816,0.0,False,False,True,520.0,339.0,296.5
X497,2.4,0.0017350772858056,0.0,False,False,True,505.0,233.0,296.5
X498,6.2,0.0026616004591032,0.0,False,False,True,452.5,28.0,296.5
X499,11.6,0.0018487267717254,0.0,False,False,True,337.5,158.0,296.5
X500,4.4,0.0013303767349929,0.0,False,False,True,476.5,512.0,296.5
X501,9.6,0.0013118464918865,0.0,False,False,True,378.0,525.0,296.5
X502,3.4,0.0016665463286458,0.0,False,False,True,488.5,282.0,296.5
X512,0.0,0.0,0.0,True,True,True,575.5,585.5,296.5
X514,0.0,0.0009283559944875,0.0,True,True,True,575.5,571.0,296.5
X548,4.4,0.0017961935029215,0.0,False,False,True,476.5,191.0,296.5
X549,43.0,0.0013901303993895,0.0,False,False,True,61.0,479.0,296.5
X550,48.8,0.0014666676185289,0.0,False,False,True,52.0,421.0,296.5
X557,78.8,0.0018278669498044,0.0,False,False,True,29.0,167.0,296.5
X558,26.4,0.0015678362209773,0.0,False,False,True,147.5,343.0,296.5
X561,29.6,0.0031659387360662,0.0,False,False,True,123.0,13.0,296.5
X562,31.8,0.0020767936277595,0.0,False,False,True,109.5,85.0,296.5
X563,30.0,0.0016950298568237,0.0,False,False,True,120.5,258.0,296.5
X570,8.8,0.0016722012397437,0.0,False,False,True,397.0,280.0,296.5
X571,23.0,0.0016013552605933,0.0,False,False,True,181.5,316.0,296.5
X572,51.2,0.0017998375247237,0.0,False,False,True,46.0,190.0,296.5
X573,54.6,0.0024306227933487,0.0,False,False,True,42.0,40.0,296.5
X574,30.4,0.0019197007967129,0.0,False,False,True,117.5,126.0,296.5
X576,21.8,0.0018129601600946,0.0,False,False,True,192.0,185.0,296.5
X577,19.6,0.001605521229587,0.0,False,False,True,226.0,312.0,296.5
X578,32.4,0.0018230655804473,0.0,False,False,True,106.5,172.0,296.5
X579,10.4,0.00141874661546,0.0,False,False,True,358.5,452.0,296.5
X580,36.6,0.0015162690157812,0.0,False,False,True,87.0,383.0,296.5
X581,21.4,0.0018624410240852,0.0,False,False,True,196.0,148.0,296.5
X582,19.2,0.0017359212222526,0.0,False,False,True,231.5,232.0,296.5
X583,22.4,0.0016755311546161,0.0,False,False,True,184.5,276.0,296.5
X584,22.2,0.0018163694349239,0.0,False,False,True,187.0,182.0,296.5
X585,9.6,0.0012298929144258,0.0,False,True,True,378.0,553.0,296.5
X586,41.4,0.002423225723975,0.0,False,False,True,67.5,41.0,296.5
X587,73.2,0.0022628574806426,0.0,False,False,True,31.0,57.0,296.5
X588,34.2,0.0018349822395148,0.0,False,False,True,99.0,163.0,296.5
X589,47.6,0.0021659773255817,0.0,False,False,True,55.0,72.0,296.5
X590,40.2,0.0019506764326842,0.0,False,False,True,73.0,116.0,296.5
X592,358.6,0.0027488042686925,0.0,False,False,True,2.0,24.0,296.5
X594,175.2,0.0028153806479695,0.0,False,False,True,12.0,22.0,296.5
X595,0.2,0.0013134568342741,0.0,True,False,True,553.5,524.0,296.5
X601,37.8,0.0020313349366423,0.0,False,False,True,81.0,99.0,296.5
X606,24.6,0.0018273178291072,0.0,False,False,True,162.5,168.0,296.5
X608,10.2,0.0020706091966735,0.0,False,False,True,364.0,87.0,296.5
X611,0.2,0.0012421266970631,0.0,True,True,True,553.5,550.0,296.5
X613,15.6,0.0013431727908161,0.0,False,False,True,282.5,502.0,296.5
X630,13.2,0.0032220901049995,0.0,False,False,True,316.0,12.0,296.5
X632,35.8,0.0023312455480692,0.0,False,False,True,92.0,51.0,296.5
X636,0.0,0.0013027705816357,0.0,True,False,True,575.5,529.0,296.5
X637,6.8,0.0022170431924317,0.0,False,False,True,441.5,65.0,296.5
X639,10.8,0.0026988836138018,0.0,False,False,True,349.5,26.0,296.5
X640,0.0,0.0014639158918888,0.0,True,False,True,575.5,425.0,296.5
