stage,model,split,metric,value
clf,soft_vote,train,auc,0.6569234466249402
clf,soft_vote,train,ap,0.394441359318787
clf,soft_vote,train,f1,0.0893874434721325
clf,soft_vote,train,precision,0.44791053560918187
clf,soft_vote,train,recall,0.04964770354906054
clf,soft_vote,val,auc,0.6520456598362028
clf,soft_vote,val,ap,0.3853863651197345
clf,soft_vote,val,f1,0.07621247113163972
clf,soft_vote,val,precision,0.41329479768786126
clf,soft_vote,val,recall,0.04197651663405088
clf,soft_vote,test,auc,0.6611631885095544
clf,soft_vote,test,ap,0.39251526729268815
clf,soft_vote,test,f1,0.07332918038622407
clf,soft_vote,test,precision,0.4051130776794494
clf,soft_vote,test,recall,0.04031311154598826
clf,lgbm,train,auc,0.6590683572134812
clf,lgbm,val,auc,0.6625199991532744
clf,lgbm,test,auc,0.6700066055655147
clf,et,train,auc,0.6648575349649353
clf,et,val,auc,0.6606039072911289
clf,et,test,auc,0.6675160317067146
clf,logreg_enet,train,auc,0.6037252578747445
clf,logreg_enet,val,auc,0.5966327176037411
clf,logreg_enet,test,auc,0.6032658451427333
reg,lgbm,val,rmse,0.005747954427666624
reg,lgbm,test,rmse,0.008429625498825432
reg,et,val,rmse,0.005746978904036634
reg,et,test,rmse,0.008430622747542584
reg,enet,val,rmse,0.005747075488124792
reg,enet,test,rmse,0.008430984174873384
reg,ensemble,oof,rmse,0.0055288028181100035
reg,ensemble,val,rmse,0.005746889476626555
